gene_id	colors
ENSG00000101144.13	grey
ENSG00000101198.15	turquoise
ENSG00000101204.18	grey
ENSG00000101210.13	turquoise
ENSG00000101230.6	turquoise
ENSG00000101282.9	blue
ENSG00000101292.8	turquoise
ENSG00000101306.11	turquoise
ENSG00000101327.9	grey
ENSG00000101335.10	turquoise
ENSG00000101349.17	blue
ENSG00000101441.4	grey
ENSG00000101443.18	turquoise
ENSG00000101670.12	blue
ENSG00000101746.15	grey
ENSG00000101812.14	turquoise
ENSG00000101890.5	blue
ENSG00000102174.9	turquoise
ENSG00000102230.14	brown
ENSG00000102243.13	turquoise
ENSG00000102271.14	blue
ENSG00000102287.19	blue
ENSG00000102302.8	green
ENSG00000102359.8	yellow
ENSG00000102385.12	brown
ENSG00000102452.18	turquoise
ENSG00000102468.11	blue
ENSG00000102683.8	turquoise
ENSG00000102854.16	yellow
ENSG00000102908.22	green
ENSG00000102970.11	brown
ENSG00000103034.14	blue
ENSG00000103056.12	brown
ENSG00000103253.19	grey
ENSG00000103269.14	blue
ENSG00000103316.12	turquoise
ENSG00000103449.12	turquoise
ENSG00000103460.17	turquoise
ENSG00000103528.17	turquoise
ENSG00000103546.18	blue
ENSG00000103569.10	yellow
ENSG00000104059.4	blue
ENSG00000104112.9	blue
ENSG00000104140.7	blue
ENSG00000104213.13	turquoise
ENSG00000104313.20	turquoise
ENSG00000104321.11	yellow
ENSG00000104332.12	green
ENSG00000104413.18	blue
ENSG00000104415.14	yellow
ENSG00000104722.14	blue
ENSG00000104901.7	turquoise
ENSG00000104921.15	yellow
ENSG00000105048.17	yellow
ENSG00000105131.8	turquoise
ENSG00000105255.11	brown
ENSG00000105261.7	grey
ENSG00000105278.12	grey
ENSG00000105357.19	blue
ENSG00000105369.10	brown
ENSG00000105376.5	turquoise
ENSG00000105409.19	brown
ENSG00000105464.3	turquoise
ENSG00000105509.11	yellow
ENSG00000105523.3	grey
ENSG00000105642.15	turquoise
ENSG00000105664.11	yellow
ENSG00000105696.9	turquoise
ENSG00000105697.9	grey
ENSG00000105855.10	turquoise
ENSG00000105880.7	yellow
ENSG00000105894.12	blue
ENSG00000105989.10	turquoise
ENSG00000105996.7	turquoise
ENSG00000106004.5	grey
ENSG00000106018.14	brown
ENSG00000106025.9	turquoise
ENSG00000106278.12	turquoise
ENSG00000106483.12	turquoise
ENSG00000106511.6	turquoise
ENSG00000106536.21	turquoise
ENSG00000106538.10	turquoise
ENSG00000106541.12	blue
ENSG00000106689.11	yellow
ENSG00000106772.18	turquoise
ENSG00000106809.11	brown
ENSG00000106819.13	yellow
ENSG00000107159.13	blue
ENSG00000107165.13	turquoise
ENSG00000107187.17	grey
ENSG00000107249.23	turquoise
ENSG00000107295.10	blue
ENSG00000107317.13	brown
ENSG00000107447.8	brown
ENSG00000107518.18	turquoise
ENSG00000107807.13	turquoise
ENSG00000107821.15	turquoise
ENSG00000108001.15	turquoise
ENSG00000108018.15	turquoise
ENSG00000108242.13	blue
ENSG00000108244.17	grey
ENSG00000108342.13	yellow
ENSG00000108551.5	brown
ENSG00000108684.15	blue
ENSG00000108759.4	blue
ENSG00000108813.11	turquoise
ENSG00000108821.14	turquoise
ENSG00000108823.16	turquoise
ENSG00000108947.5	turquoise
ENSG00000109061.10	blue
ENSG00000109158.11	turquoise
ENSG00000109265.14	yellow
ENSG00000109472.14	turquoise
ENSG00000109610.6	blue
ENSG00000109625.19	turquoise
ENSG00000109674.4	brown
ENSG00000109705.8	turquoise
ENSG00000109738.11	turquoise
ENSG00000109819.9	blue
ENSG00000109846.9	turquoise
ENSG00000109851.7	turquoise
ENSG00000109906.14	turquoise
ENSG00000109956.13	grey
ENSG00000110195.14	turquoise
ENSG00000110427.17	turquoise
ENSG00000110675.13	blue
ENSG00000110811.20	turquoise
ENSG00000111052.7	turquoise
ENSG00000111058.8	turquoise
ENSG00000111186.13	turquoise
