"AGID","lab_id","catalog_number","set_id","peptide_target","TCGA-W6-AA0S-01A","TCGA-W5-AA2G-01A","TCGA-W5-AA31-01A","TCGA-W5-AA36-01A","TCGA-W5-AA2Q-01A","TCGA-4G-AAZT-01A","TCGA-W5-AA30-01A","TCGA-WD-A7RX-01A","TCGA-W5-AA33-01A","TCGA-3X-AAV9-01A","TCGA-W5-AA39-01A","TCGA-ZH-A8Y2-01A","TCGA-ZH-A8Y6-01A","TCGA-W5-AA2X-01A","TCGA-W5-AA2Z-01A","TCGA-3X-AAVA-01A","TCGA-3X-AAVC-01A","TCGA-W5-AA2O-01A","TCGA-W5-AA2W-01A","TCGA-W5-AA2R-01A","TCGA-W5-AA2I-01A","TCGA-W5-AA38-01A","TCGA-ZH-A8Y8-01A","TCGA-YR-A95A-01A","TCGA-ZH-A8Y5-01A","TCGA-W5-AA2U-01A","TCGA-W5-AA34-01A","TCGA-ZH-A8Y1-01A","TCGA-W5-AA2H-01A","TCGA-ZD-A8I3-01A"
"AGID00548",2530,"3660","Set181","Glucocorticoid-Receptor",0.7101336,0.5718914,0.1702275,1.28667,0.04648585,0.201529169086056,0.9708819,1.948793,0.1966817,-0.440518086160873,-1.511141,0.5965209,0.4031837,-0.4803887,-0.009572108,0.489070611626206,-0.486959338556283,1.074412,0.3358962,0.4834639,-0.7231892,1.496823,-0.6667183,NA,-0.4566415,1.315615,-2.233451,-0.4169829,0.1579244,1.029758
"AGID00037",325,"4872","Old","HSP70",-0.44244,-1.0869,-0.5931,-0.92465,-0.86261,-0.089102,-0.81093,-0.63492,-1.0292,0.26638,-1.1585,-0.7331,-1.1462,0.15485,-0.48909,-1.06,-0.27374,-0.85142,-0.88873,-0.42752,-0.51039,-1.1131,-0.87552,-1.0349,-0.92684,-0.99376,0.12893,-0.31511,0.30631,0.1288
