id	filename	md5	size	state
3b4a8a3e-ab2e-46b9-b12a-aca032f1b9f7	3b4a8a3e-ab2e-46b9-b12a-aca032f1b9f7/12c029cc-c82f-4ae1-b9df-a73d4172ab6e.wxs.aliquot_ensemble_masked.maf.gz	0156bdbb353941ff84d0f1b784e517ae	48111	validated
3c83c895-0aef-4454-befe-2c71213f571a	3c83c895-0aef-4454-befe-2c71213f571a/59996b4a-6bb5-423c-9123-187600babee7.wxs.aliquot_ensemble_masked.maf.gz	17952ef24442237108a56b7819afec51	28580	validated
3cbb6f39-cc83-4e05-bcb6-f8c69d045030	3cbb6f39-cc83-4e05-bcb6-f8c69d045030/983cdd70-92c0-4235-9bd1-e597790dc585.wxs.aliquot_ensemble_masked.maf.gz	cfc296110ef6fa64d65492d7a83e10dc	478331	validated
41e4cd6e-eec4-4db0-81df-4df0567a03d3	41e4cd6e-eec4-4db0-81df-4df0567a03d3/847cc85a-7133-4693-b222-5b2f0aea3c7c.wxs.aliquot_ensemble_masked.maf.gz	2ef69b341c09f06464cce1111fd06249	90840	validated
4aae0a55-1072-44ac-82b0-e6fadebfc5f3	4aae0a55-1072-44ac-82b0-e6fadebfc5f3/1a288f8a-7490-473f-bca2-31d7c6d7f329.wxs.aliquot_ensemble_masked.maf.gz	51b26346b03959afe2ba5fba99829bc5	14624	validated
4c9931f6-8790-497c-8462-9f3ba7bcb9a2	4c9931f6-8790-497c-8462-9f3ba7bcb9a2/4c6fadb5-27cf-4d3e-9a84-f4744a64f9e5.wxs.aliquot_ensemble_masked.maf.gz	57932617334a4157760d6765fc740485	12467	validated
4cde69f4-e022-47b0-8d91-2a7b8e03805f	4cde69f4-e022-47b0-8d91-2a7b8e03805f/b3c1fa95-d593-4391-aff7-5e3bb6b797d9.wxs.aliquot_ensemble_masked.maf.gz	dd0b8d254cac13bc68936fd84dcfbc52	4761	validated
4e13fca5-cc40-4545-918e-9ea9f1aff8cc	4e13fca5-cc40-4545-918e-9ea9f1aff8cc/e759e3ab-982c-4890-ad37-d3685583f13f.wxs.aliquot_ensemble_masked.maf.gz	e27dc04edb6ff6a0dc820489d45a97ef	11381	validated
4e29ff26-9f15-4414-9ff4-7785a5859697	4e29ff26-9f15-4414-9ff4-7785a5859697/1d5de904-d584-4939-aa12-a1acbd11177e.wxs.aliquot_ensemble_masked.maf.gz	577ff8e09f2264b3b61716b6f7a5e877	38076	validated
4fab786a-bb28-4ce1-a9d6-f0b0975255a8	4fab786a-bb28-4ce1-a9d6-f0b0975255a8/b4f0ac22-f6e3-4955-8ad7-495cbdb4316f.wxs.aliquot_ensemble_masked.maf.gz	376eb2bd6e7b81173fe4c7012ea600d1	10131	validated
528628e5-34b8-41c7-a275-623b2bd05c2e	528628e5-34b8-41c7-a275-623b2bd05c2e/affeafc3-20c4-47df-8d28-063e04a07437.wxs.aliquot_ensemble_masked.maf.gz	a6c9f2c3ad9a40b918e934dc86113c37	39292	validated
5323ee30-6ecf-4412-bd11-c31af5d1c96c	5323ee30-6ecf-4412-bd11-c31af5d1c96c/e187e17c-5b05-4357-aa64-5b15f28cbd0c.wxs.aliquot_ensemble_masked.maf.gz	d284b61e334e72cfa507f3aa45660bb3	67262	validated
53812af8-36d1-49f8-b9a1-28faed6505ee	53812af8-36d1-49f8-b9a1-28faed6505ee/9091fdd3-39ae-4e29-81df-a220f9c5ade7.wxs.aliquot_ensemble_masked.maf.gz	ffa6bd951090a782382edb78a2fee897	50483	validated
55cc9b7d-5230-4b7d-abd0-bfab4599705c	55cc9b7d-5230-4b7d-abd0-bfab4599705c/5de25d70-9a61-44d3-8939-e69ec824ac20.wxs.aliquot_ensemble_masked.maf.gz	18679f8eff860072da04112c7ffa9dd5	17841	validated
5c3578de-1c8b-4bf6-9968-2e39cceb55ad	5c3578de-1c8b-4bf6-9968-2e39cceb55ad/016bf20c-8739-420e-a663-cefa0908d435.wxs.aliquot_ensemble_masked.maf.gz	5700c4aa2744f4793dea9ceb9a8feeaf	51940	validated
5e596680-0da3-4bb6-be03-d457db815008	5e596680-0da3-4bb6-be03-d457db815008/60c26956-6114-485e-9f60-5ad3a89fa6e5.wxs.aliquot_ensemble_masked.maf.gz	b7c185f74421b81c33316ffcc96bea59	26927	validated
5f93cb4a-be70-445f-a52e-b75edc186d0c	5f93cb4a-be70-445f-a52e-b75edc186d0c/a3ff80d9-515c-48b3-950e-30851d821670.wxs.aliquot_ensemble_masked.maf.gz	aaa940b83246968e28048ceab1805256	10668	validated
64a90ad6-afa7-409c-8bd4-b9436c0798a6	64a90ad6-afa7-409c-8bd4-b9436c0798a6/c7bcfda8-65bd-4597-ab26-737db8c4416b.wxs.aliquot_ensemble_masked.maf.gz	607203b15e429840f0f12f0ab7ebfd51	33253	validated
656a33ac-3c59-44fd-a69a-8df17cce412a	656a33ac-3c59-44fd-a69a-8df17cce412a/1b074434-1531-4627-a668-62feab898a41.wxs.aliquot_ensemble_masked.maf.gz	296ce898cf953adff209989dbe627e54	57673	validated
65e3e980-e8be-4414-bf03-fb948be6bbc4	65e3e980-e8be-4414-bf03-fb948be6bbc4/c1e6cf94-474d-4e30-928c-a63dde0eb6e3.wxs.aliquot_ensemble_masked.maf.gz	3695d4790265dc4a65c3fe25f4f7a9e8	12503	validated
66459662-4197-4286-a503-3f789c98a287	66459662-4197-4286-a503-3f789c98a287/ed9b710f-c83f-4ab6-8cef-d0cc9f8aeeb4.wxs.aliquot_ensemble_masked.maf.gz	dde60adfe04a945fe71a9ee55345ac0f	356668	validated
