Gene_Name,ENSEMBL_ID,TCGA-XM-A8RC-01A-11R-A42C-07,TCGA-X7-A8M0-01A-11R-A42C-07,TCGA-4V-A9QN-01A-11R-A42C-07,TCGA-ZB-A969-01A-11R-A42S-07,TCGA-XU-A930-01A-11R-A42C-07,TCGA-3G-AB19-01A-21R-A42C-07,TCGA-XU-A92Y-01A-11R-A42C-07,TCGA-XU-A933-01A-11R-A42C-07,TCGA-5U-AB0E-01A-11R-A42C-07,TCGA-4V-A9QM-01A-11R-A42C-07,TCGA-4V-A9QL-01A-11R-A42C-07,TCGA-XM-A8RF-01A-11R-A42C-07,TCGA-XM-A8RE-01A-11R-A42C-07,TCGA-YT-A95G-01A-11R-A42S-07,TCGA-4V-A9QJ-01A-11R-A42C-07,TCGA-ZB-A96L-01A-11R-A42S-07,TCGA-5G-A9ZZ-01A-31R-A42C-07,TCGA-X7-A8DE-01A-11R-A42C-07,TCGA-XU-A936-01A-11R-A42C-07,TCGA-4X-A9FB-01A-11R-A42C-07,TCGA-3S-A8YW-01A-11R-A42C-07,TCGA-ZB-A962-01A-11R-A42S-07,TCGA-4X-A9FD-01A-11R-A42C-07,TCGA-ZB-A96M-01A-11R-A42S-07,TCGA-ZB-A96H-01A-11R-A42S-07,TCGA-4X-A9FA-01A-11R-A42C-07,TCGA-XM-A8RG-01A-11R-A42C-07,TCGA-XM-AAZ2-01A-11R-A42C-07,TCGA-4V-A9QS-01A-11R-A42C-07,TCGA-XM-A8RI-01A-12R-A42C-07,TCGA-X7-A8M3-01A-11R-A42C-07,TCGA-ZB-A963-01A-11R-A42S-07,TCGA-3G-AB0Q-01A-11R-A42C-07,TCGA-XU-AAXV-01A-11R-A42C-07,TCGA-XM-AAZ1-01A-11R-A42C-07,TCGA-4V-A9QX-01A-11R-A42C-07,TCGA-ZB-A96P-01A-11R-A42S-07,TCGA-YT-A95H-01A-11R-A42S-07,TCGA-XM-A8RD-01A-11R-A42C-07,TCGA-X7-A8M5-01A-11R-A42C-07,TCGA-ZB-A966-01A-11R-A42S-07,TCGA-X7-A8D8-01A-11R-A42C-07,TCGA-ZB-A96V-01A-11R-A42S-07,TCGA-4V-A9QT-01A-11R-A42C-07,TCGA-XU-A92X-01A-11R-A42C-07,TCGA-3G-AB14-01A-11R-A42C-07,TCGA-XM-A8RB-01A-11R-A42C-07,TCGA-XU-A92O-01A-11R-A42C-07,TCGA-3S-AAYX-01A-11R-A42C-07,TCGA-XU-A931-01A-11R-A42C-07,TCGA-ZB-A96Q-01A-11R-A42S-07,TCGA-XH-A853-01A-11R-A42C-07,TCGA-ZL-A9V6-01A-11R-A42S-07,TCGA-XU-AAXW-01A-11R-A42C-07,TCGA-X7-A8D9-01A-11R-A42C-07,TCGA-ZB-A964-01A-11R-A42S-07,TCGA-XU-A92T-01A-11R-A42C-07,TCGA-YT-A95F-01A-11R-A42C-07,TCGA-X7-A8D7-01A-11R-A42C-07,TCGA-X7-A8M1-01A-11R-A42C-07,TCGA-ZB-A96F-01A-11R-A42S-07,TCGA-XM-A8RH-01A-11R-A42C-07,TCGA-XU-A92U-01A-11R-A42C-07,TCGA-3G-AB0O-01A-22R-A42C-07,TCGA-X7-A8DJ-01A-11R-A42C-07,TCGA-ZB-A96K-01A-11R-A42S-07,TCGA-XM-AAZ3-01A-11R-A42C-07,TCGA-3G-AB0T-01A-11R-A42C-07,TCGA-ZB-A96B-01A-11R-A42S-07,TCGA-YT-A95E-01A-11R-A42C-07,TCGA-ZB-A96E-01A-11R-A42S-07,TCGA-5K-AAAP-01A-11R-A42C-07,TCGA-4X-A9FC-01A-11R-A42C-07,TCGA-ZB-A96G-01A-11R-A42S-07,TCGA-XU-AAY1-01A-11R-A42C-07,TCGA-XU-A92W-01A-11R-A42C-07,TCGA-ZB-A96R-01A-11R-A42S-07,TCGA-ZB-A96C-01A-11R-A42S-07,TCGA-ZC-AAAA-01A-11R-A42S-07,TCGA-3T-AA9L-01A-11R-A42C-07,TCGA-XU-AAXY-01A-11R-A42C-07,TCGA-XU-A92Z-01A-11R-A42C-07,TCGA-ZB-A96D-01A-11R-A42S-07,TCGA-ZB-A965-01A-11R-A42S-07,TCGA-5V-A9RR-01A-11R-A42C-07,TCGA-XM-A8RL-01A-11R-A42C-07,TCGA-X7-A8DG-01A-11R-A42C-07,TCGA-ZB-A96I-01A-11R-A42S-07,TCGA-XU-AAXX-01A-11R-A42C-07,TCGA-XU-A932-01A-11R-A42C-07,TCGA-ZC-AAAH-01A-11R-A42S-07,TCGA-X7-A8M8-01A-11R-A42C-07,TCGA-XU-A92Q-01A-11R-A42C-07,TCGA-ZB-A96A-01A-11R-A42S-07,TCGA-X7-A8M4-01A-11R-A42C-07,TCGA-4V-A9QR-01A-11R-A42C-07,TCGA-ZB-A961-01A-11R-A42S-07,TCGA-YT-A95D-01A-11R-A42C-07,TCGA-4V-A9QU-01A-11R-A42C-07,TCGA-ZC-AAAF-01A-11R-A42S-07,TCGA-XM-A8R9-01A-31R-A42C-07,TCGA-X7-A8DF-01A-11R-A42C-07,TCGA-X7-A8D6-01A-11R-A42C-07,TCGA-XU-A92V-01A-11R-A42C-07,TCGA-ZB-A96O-01A-11R-A42S-07,TCGA-XM-A8R8-01A-11R-A42C-07,TCGA-4V-A9QW-01A-11R-A42C-07,TCGA-4V-A9QI-01A-11R-A42C-07,TCGA-3Q-A9WF-01A-11R-A42C-07,TCGA-4X-A9F9-01A-11R-A42C-07,TCGA-X7-A8DD-01A-11R-A42C-07,TCGA-5U-AB0F-01A-11R-A42C-07,TCGA-X7-A8DB-01A-11R-A42C-07,TCGA-X7-A8M6-01A-11R-A42C-07,TCGA-ZC-AAA7-01A-11R-A42S-07,TCGA-XU-AAY0-01A-11R-A42C-07,TCGA-ZT-A8OM-01A-11R-A42S-07,TCGA-5U-AB0D-01A-11R-A42C-07,TCGA-XU-AAXZ-01A-11R-A466-07,TCGA-X7-A8M7-01A-11R-A42C-07
HSPD1,ENSG00000144381.18,15.119751712201424,14.085140461701762,14.15046130534298,13.891403996665023,14.461927022589952,14.07422510452085,14.451726268074506,15.54164115415395,13.754991860009431,14.13787170725502,13.694357887221452,13.468878553819426,13.655530723155643,13.924348599604585,13.913543937782999,13.910549045931726,14.444561992104196,13.589885179290201,14.350939181546432,13.546532776425861,15.679480099505446,13.556625795307005,14.042257869018638,13.543031820255237,13.658992433572104,13.129444023031947,14.343393941621423,13.488969836392691,13.877380003213956,13.298062567719017,13.363176553811963,13.895575282380685,13.48167331644727,13.70746698503506,13.721099188707186,13.669992279616398,13.960545013211663,13.709730036543629,13.64092273517345,12.54882190845875,14.519513402326607,13.346098150549802,14.73492126770526,14.005010431073003,12.802516365121223,13.124767535822473,13.512370113670189,12.906890595608518,13.73809225962049,13.318684021961525,13.701414768331626,13.413627929024173,13.32769297724033,13.49460561567122,14.027128472950478,13.252517607762288,13.56652978262417,13.758014958495272,13.479527669256347,13.358513847149661,13.351077258307878,13.791162888555018,13.455070307287963,13.303923412705366,13.660998653822475,13.18239435340453,13.062552139376775,12.89519657256334,13.173208652765974,13.13040968239925,13.2940463132715,12.796648041413844,13.75049764209908,13.0003521774803,12.866699382882029,13.618500215814974,13.211432058298838,12.861862340059151,13.41031884220049,12.485074563698612,12.851358649033513,13.797560209442265,13.25665098428709,12.440350119200563,12.637077657143664,13.727175947540431,12.766942940755785,12.771695789850023,13.66478058593351,13.544119233343695,13.051378899687522,12.98992663055989,12.500592945893834,13.541096615349524,12.985130373466898,12.527965641133955,13.127833153010982,12.766942940755785,12.949644356585717,12.857009025111093,12.544964432789238,12.964521373897238,13.3437409184722,13.106726502039173,12.951284714966972,13.426526848451731,12.408064319914672,11.921097088106793,12.722807531169547,12.124121311829187,12.49760238678349,11.844313461203296,12.713816080234498,11.983349927676457,13.069785394983302,12.218260498797305,12.128638812852598,12.879774677336927,10.733862719678543,12.074476000734501
HSPE1,ENSG00000115541.11,10.995060467032719,10.005624549193879,11.711666973564347,9.467605550082997,10.44190670454224,9.535275376620802,10.579315937580015,10.642051692927977,11.508785162064513,9.766528908598865,9.914385132155443,9.709083812550343,9.754887502163468,9.839203788096944,10.080817527608327,9.194756854422248,9.805743872151618,9.250298417906333,9.4241662888181,9.49585502688717,11.324180546618742,9.216745858195306,10.079484783826816,9.475733430966399,8.965784284662087,9.779719355143405,8.885696373339394,8.909893083770042,10.237209960755022,9.276124405274238,9.72451385311995,9.939579214314692,9.461479447286155,9.52552080909507,10.164906926675688,10.216745858195306,9.888743248898258,9.756556322524087,10.084808387804362,9.521600439723727,10.593391122791736,9.002815015607053,10.382624026574916,10.12670447284319,10.311748315004959,9.902375114486025,9.016808287686555,9.204571144249204,9.590587049915035,9.134426320220927,8.86418614465428,9.413627929024173,8.262094845370179,9.377210530388552,9.64745842645492,8.807354922057604,8.710806433699352,8.974414589805527,9.266786540694902,8.948367231584678,9.784634845557521,9.31741261376487,9.14210705730255,9.259743263690781,9.497851836951117,9.087462841250339,8.184875342908283,10.498849206531725,9.586839787961827,10.052568050804153,9.407267764244732,9.436711542137214,9.656424863277781,9.896332403909941,9.90839262077375,9.823367240046235,9.679480099505446,8.154818109052105,9.731319031025064,10.181152256865566,10.437752072323603,9.184875342908283,9.092757140919852,8.159871336778389,10.330916878114618,9.481799431665753,9.319672120946995,8.939579214314692,9.792790294301064,10.52061868055628,10.52552080909507,9.116343961237469,8.734709620225837,9.929258408636972,9.342074667999139,10.422064766172813,9.672425341971495,7.820178962415188,9.912889336229961,9.569855608330949,9.550746785383243,9.60733031374961,9.152284842306582,8.721099188707186,9.938109326219239,9.818582177480858,9.905387005018131,10.486835021563051,9.03342300153745,9.802516365121223,9.778077129535358,10.00982861736811,9.638435913990472,9.955649907528374,10.421012855779226,9.63117705570398,9.977279923499916,10.087462841250339,8.049848549450562,9.932214751968385
CCT6A,ENSG00000146731.11,14.410186320725094,13.662557120839184,13.624224295062211,13.757077433254294,14.362697264503256,13.725898755240811,14.237956813306198,14.414883394593446,13.451082294024227,13.579080183834757,13.468751303981119,13.404609397837712,13.52368446232303,13.693378054306907,13.275542556086723,13.672425341971495,14.036517070486518,13.41084880640551,13.864669799840307,13.639001477148323,13.783100553122273,13.382624026574916,13.972172081440796,13.259890349895821,13.433455039827054,12.762174381993102,13.775095822585955,13.507175218506605,14.111298714258261,13.350662988372257,13.319672120946995,13.471294170667273,13.166320025266979,13.781462174022618,13.78135971352466,13.444238438078106,13.934796592178403,13.46569393586282,13.782179193831208,12.410981267043796,13.643518018493522,13.279900715802762,14.058583701740266,13.81418188419028,12.918863237274595,12.850968150982439,13.469641817239516,12.935165049603695,13.610794169053182,13.207471955404491,13.325446006995964,13.466458885531265,13.017504401109415,13.360572781480695,13.657430108963014,13.0256586729435,13.291314616229645,13.232121084082221,13.39941145174687,13.351353372192145,13.20670914935865,13.519759092899559,13.214622686302336,13.205793249397157,13.416005780559267,12.746304367701304,12.91513244895065,12.930367747438952,13.03325091409872,13.165535141377925,13.248372354921251,13.002463438892535,13.280770770130603,12.899356922923111,12.814582465906277,13.241089378860856,13.051038962117408,12.650603022215309,13.263562639820615,12.978174174468169,12.921469060531411,13.38302922108422,12.933321820732946,12.809768128710413,12.434888806530395,13.490224135759552,12.923141750621268,11.547376563498101,13.533329732305834,12.972441366563535,12.874597192401634,12.803929287974446,12.67991987851842,13.286413369370345,13.061877431055866,12.55242894852647,12.800697714363126,12.38316426063511,12.730894646541671,12.588011853215088,12.410451351503994,12.934796592178403,13.252961036393684,12.87536540064177,12.785043714779723,12.19506456372082,12.236313227042805,12.946723550747599,12.406470768529283,12.219168520462162,12.17367713630342,11.669770888525518,12.910455355309821,11.869593843240784,12.30463652380727,12.079151405421891,11.2246046815385,11.769424641552753,10.776433032444734,12.047123912114026
HSPA9,ENSG00000113013.16,15.174769673304432,14.223096690347695,15.367141694552364,14.448761604450006,14.626792739822655,14.264222660437946,14.708437298965297,14.56789667469324,13.925925264972856,13.947180316634235,13.58625339806598,13.897467341721892,13.310612781659529,14.2255840312292,13.498101243994853,14.666113021993025,14.162548682199924,13.481042574933754,14.177497401553003,13.682775179067027,13.885886991697456,14.05604493693527,14.644757592516257,13.637870129034443,13.833779559999659,13.267518241801467,14.05418033258104,14.088125692188207,14.144180239058922,14.282509306240836,14.794161991423643,13.597587039586216,13.69152544116604,14.107217075591382,13.431889303895977,13.542185487502183,14.013235425078477,13.525276097867126,14.187197402062221,12.675736555361906,13.378023850925485,13.59735425297161,13.793603309279407,13.563434635710198,12.980675132322368,13.728770849542663,13.247037418788581,12.902751944850161,13.359475048849541,14.275324302127874,13.655642520981333,13.524174383387553,13.339293300180094,13.436321149754669,13.935533412950747,13.622395059485171,13.69631555889282,13.577664851764846,13.44604940671655,13.51582301395463,13.335809032822393,13.489220783521674,13.304779103739282,13.05273784954982,13.68770373021363,13.44449728710381,13.35397382181817,12.98744167293612,12.983171762188007,12.941231050303049,13.54882190845875,13.039775849233681,13.206251272060687,12.712312041780274,12.672867276433793,13.359063183678293,13.241834226335136,13.45955969312279,13.699789318382136,12.776844232402167,12.915505962231931,13.446954039279555,13.113253806651276,13.485200381955432,12.743572188935634,13.33692491418201,12.933875036707343,13.043881707688747,13.315291107023732,13.010528105886484,12.568193653850074,12.717248005827646,13.14306428063141,13.290594888082572,12.95183108688825,12.9264813239664,13.628787262543948,13.080651001949818,12.733439082899434,12.523806958187327,12.342630298678408,12.773345291291271,13.159398347853037,13.311890193850616,12.707790495528823,12.591522346570734,12.12573632939501,12.664225040837929,12.275542556086723,12.332596057789214,11.947271652460348,11.71681946132995,12.885315061049376,12.067770457447823,12.209148710355747,12.101975670949232,11.647008638441648,12.514467502819269,11.350386742312843,11.825753832883112
DNLZ,ENSG00000213221.5,3.321928094887362,4.584962500721156,4.392317422778761,4.087462841250339,4.392317422778761,2.807354922057604,3.807354922057604,4.247927513443585,4.321928094887363,4.459431618637297,2.807354922057604,4,5.321928094887363,3,4.247927513443585,4.247927513443585,2.584962500721156,3.9068905956085187,4.459431618637297,5.087462841250339,3,4.523561956057013,3.584962500721156,4.954196310386875,3.4594316186372973,4,3.584962500721156,4.169925001442312,2.584962500721156,3.584962500721156,1.584962500721156,3.9068905956085187,3.807354922057604,3.9068905956085187,3.169925001442312,4,2,4.954196310386875,2.584962500721156,3.700439718141092,3.700439718141092,3.807354922057604,3.4594316186372973,4,3.700439718141092,3.807354922057604,4.643856189774724,3.321928094887362,3.169925001442312,2.807354922057604,3.321928094887362,3.807354922057604,3.321928094887362,4.700439718141092,4.392317422778761,4.523561956057013,3.700439718141092,3,4.754887502163468,3.584962500721156,3.584962500721156,1,2.321928094887362,3.700439718141092,3,4.392317422778761,2.321928094887362,4.087462841250339,4,3.700439718141092,2.807354922057604,3.4594316186372973,3.4594316186372973,3.4594316186372973,3.700439718141092,3,2.321928094887362,3.9068905956085187,3.321928094887362,4.169925001442312,3.321928094887362,4.584962500721156,3,3.700439718141092,3.700439718141092,3.4594316186372973,3.4594316186372973,4,3.321928094887362,2,3.169925001442312,3.321928094887362,3.584962500721156,4,3,3.169925001442312,2.321928094887362,4,3.4594316186372973,2.584962500721156,3.321928094887362,2.584962500721156,1.584962500721156,2.321928094887362,3.169925001442312,3.4594316186372973,2.807354922057604,3.807354922057604,3,3.321928094887362,3,3.321928094887362,2.584962500721156,3.169925001442312,2,2,3.321928094887362,3.321928094887362,4.087462841250339,2
GRPEL1,ENSG00000109519.13,11.312882955284355,11.33371442609397,11.86457308177364,10.927037168720295,10.947636937951827,10.816183681432342,11.44759985827995,12.117643101389092,11.602698865017965,10.894059846274022,11.095397022792557,10.458406613236532,11.200285605224298,11.002111776479852,10.743992861060175,10.674192268145683,11.406736482691723,10.775610280759539,11.43567026093655,11.223398414711628,12.053247125912426,10.496853777388042,10.881878707600446,10.727920454563199,10.28424574982967,10.281930026955443,10.43567026093655,10.872674880270605,11.180530807344482,10.641148597411233,10.337621901992508,10.881113960675096,10.461479447286155,10.953468962228849,11.181152256865566,10.953468962228849,11.284824100224624,11.200285605224298,11.240791332161956,10.560332834212442,11.00842862207058,10.453270634010623,11.083479327331842,11.410981267043796,10.329796338220701,10.75905593916017,11.094737505048093,10.222794902868111,11.125413470483315,10.867278739709661,10.542064542283443,10.92035285541508,10.17367713630342,10.701306461958625,11.102631888854969,10.122827994807666,10.24198314969433,10.657318449581288,10.879583249612784,10.314016703901357,10.493855449240822,10.977995368612962,10.583082767502933,10.690871009292314,10.747353829478062,10.194756854422248,9.731319031025064,10.764042217306587,10.691743519171276,10.681238411777805,10.373952655370193,10.743992861060175,10.697836357962377,10.61194694181998,10.698704666770345,10.558420713268664,10.902375114486025,10.12023787734196,10.97513145692134,10.30035256032822,10.709945380232497,10.399811959325685,10.253847484987404,9.668884984266247,10.205793249397157,11.133784409179908,10.820178962415188,10.011227255423254,10.7657004876511,10.804937672051908,10.799281621521923,10.491853096329674,9.839203788096944,10.900112062977456,10.732167425663386,10.422064766172813,10.487840033823051,10.057991722759176,10.324180546618742,10.153552031708111,10.020979938904212,10.44086916761087,10.527477006060396,10.3409627642517,10.524541715035848,9.9901039638575,10.521600439723727,9.867278739709661,9.96289600533726,10.391243589427443,10.329796338220701,10.194756854422248,10.499845887083206,10.149747119504681,10.087462841250339,9.867278739709661,9.902375114486025,10.808159772868375,9.927777962082342,10.022367813028454
GRPEL2,ENSG00000164284.15,10.488844346457336,10.59618975614441,10.476746203939467,10.46454575033394,10.635718120331047,10.14210705730255,10.121533517340032,10.530406337099068,9.879583249612784,9.964340867792417,10.194756854422248,10.615629636968098,9.98299357469431,10.586839787961827,10.194756854422248,10.381542951184585,10.187352073200497,10.019590728357882,10.149747119504681,9.957102041562287,9.758223214726724,10.478769619475763,10.164906926675688,10.034798962577268,9.930737337562887,9.90839262077375,10.49585502688717,10.098032082960527,10.395534135462302,10.127994320976393,10.27029532647204,10.219168520462162,9.89026427702111,10.38586240064146,9.656424863277781,10.264442600226602,10.506803437795647,10.246740598493144,9.62935662007961,9.499845887083206,9.792790294301064,9.90839262077375,9.67065624911844,10.298062567719017,9.149747119504681,9.623881490013458,9.688250309133178,9.409390936137703,10.19598729802851,10.414685235807214,9.823367240046235,10.020979938904212,9.961449694398196,9.847057346091336,10.379378367071261,9.77313920671969,9.818582177480858,10.06339508128851,9.957102041562287,9.939579214314692,9.430452551665532,10.1357092861044,9.938109326219239,9.588714635582264,10.023754353299417,9.527477006060396,9.52552080909507,9.594324603924848,9.543031820255237,9.926295994781112,9.625708843064466,9.715961990255144,9.887220615468385,9.43879185257826,9.519636252843213,10.018200178813226,9.411510988012072,9.791162888555018,9.712527000439824,10.044394119358454,9.370687406807217,9.654636028527968,9.489847960439297,9.262094845370179,9.625708843064466,10.154818109052105,9.326429487122303,9.243173983472952,9.544964432789238,9.118941072723507,9.531381460516313,9.63117705570398,9.379378367071261,9.94982671075911,9.951284714966972,9.562242424221072,9.411510988012072,9.31741261376487,9.491853096329674,9.330916878114618,9.29232163280204,9.571752643503546,10.076815597050832,9.878050912728536,9.14210705730255,8.531381460516313,9.499845887083206,9.571752643503546,9.108524456778168,8.997179480937621,9.453270634010623,8.076815597050832,9.287712379549449,8.851749041416058,8.413627929024173,8.948367231584678,8.658211482751796,9.139551352398794,8.459431618637296,8.820178962415188
DNAJA3,ENSG00000103423.14,12.650827374138768,12.229119220658594,12.099347810403193,12.282798858683533,11.766114757586722,12.366048950670628,11.965062756744627,12.436971745049073,11.8649599151426,12.07347215397646,11.727920454563199,11.726643921483994,11.711236767793784,11.948732239819615,11.617467465294196,12.610563503925041,12.147204924942228,11.733439082899434,13.026177596889225,11.879200317947392,13.025831668332026,11.970465440779995,12.122827994807666,11.700006150882865,11.675074920385445,11.375582512490507,12.050528905530555,11.896332403909941,11.3437409184722,11.312882955284355,11.148476582178278,11.757806672197228,11.660441650209172,11.96289600533726,11.63117705570398,11.331476821859619,12.200285605224298,11.642051692927977,11.826548487290914,11.005624549193879,11.44086916761087,11.47269083924278,12.049848549450562,11.848622940429339,10.900866807980748,11.247927513443585,11.574120435009748,11.083479327331842,11.830515206976838,11.613329054371054,11.693922488081014,11.537703747907644,11.527965641133955,11.569855608330949,11.958552715431011,11.71295682169755,11.711666973564347,11.646558710154547,11.484822894262146,11.445532219028312,11.428360172704291,11.452241240430817,11.487840033823051,11.205182326228643,11.60130652612184,11.353698209048035,11.471675214392045,10.325305455089682,11.216139556425135,10.690871009292314,11.556984957594462,11.070120944476823,11.287135186086704,10.831307243802051,10.752380646552893,11.257387842692651,11.119589620741122,11.45994384837493,11.2940463132715,10.723660944409984,10.593391122791736,11.43827205612483,11.386401423640777,10.970105890612182,10.350939181546432,11.51717725268954,11.002111776479852,10.932214751968385,11.326429487122303,11.204571144249204,10.309476353841106,10.894059846274022,11.10459875356437,11.138911718142744,11.138271800172221,10.346513733165635,11.133142212400601,11.175549550636191,10.31628153174622,10.52552080909507,10.323054760341646,10.971543553950772,11.25915476886684,11.381002109550925,10.751544059089099,10.808159772868375,10.121533517340032,9.746514321138463,10.24198314969433,10.222794902868111,10.076815597050832,9.63662462054365,10.546894459887637,9.642051692927977,10.051208940914766,9.89026427702111,9.184875342908283,10.325305455089682,8.154818109052105,9.481799431665753
HSP90AA1,ENSG00000080824.19,17.391084124140278,16.234967080517478,16.800394382888996,15.700006150882865,15.582465445994687,16.311038711409477,16.406819508332173,15.894509907532845,15.089367717438583,16.149231098656667,15.64250302878052,15.572048830049349,15.809692777071293,15.710322154360638,15.757416054319311,15.822670406133344,16.225150939320933,15.662390222733428,15.912000473067227,16.116567334223532,16.545567843664607,15.556506054671928,15.72613831493856,15.618786959806712,15.249706056969705,15.01850447607345,16.431595539138165,15.091889876066029,16.019569011325434,15.461255607553321,16.21089960025962,15.643574385878743,15.262351817222568,15.705659383647768,16.019938156424796,15.588129007386323,16.31495491552319,15.624966760015221,15.561705607455478,14.567064807677916,15.74798314030195,15.026480216349642,15.805869800231033,16.082897478144325,14.960997424718048,14.955876899841394,15.568015473692062,15.047123912114026,15.755617848610903,15.244698304162027,15.893870304785095,15.284173439725608,15.30067429921593,15.771102539299662,15.696913206874319,15.7638347994296,15.711075407550437,15.66316891542611,15.716926609389034,15.17015979598118,15.64883503056119,15.893325234251554,15.517454099533559,15.67763706744639,15.586341371746025,15.180336549458332,14.923930958424808,14.846273911349906,15.230208118001869,15.065752701816972,15.072132604167233,14.605768861445421,15.437882085845152,15.205869596606494,14.881113960675096,15.288974185750485,15.556446180627352,14.757962889739842,15.288217234469302,14.58261245126702,15.007596731612578,15.753556277508256,15.328604810196351,14.789075088509152,14.192292814470767,15.883669496342195,15.131696223597777,14.235041899396835,15.929582053911655,15.293794925747402,15.619532227572051,15.053586543639176,14.371504412043336,15.45034136833186,15.197946151066565,13.7714894695006,14.879774677336927,14.573469679644326,14.420157613476356,14.531442383851592,14.108687796154612,14.774375272802063,15.59845965501286,14.82232186291999,15.142067159211011,15.429472126863349,14.63185912728278,14.286052325538314,14.663724867279191,14.697510607377868,14.621365094314863,14.127591367299253,15.034412106157472,14.38505348834615,14.410716333604269,14.088705437038639,14.516007757744134,13.978710459106358,13.092591987804122,14.187893291636396
HSP90AB1,ENSG00000096384.20,16.83803437298021,16.96728255671359,15.720671786825555,16.345751740232657,15.98695305290744,17.06389008008462,16.42511753437489,16.832568654439424,15.933367930167435,16.92634232930943,16.644842070155377,16.39020255060787,15.936936936007006,16.037568402052045,16.23633191468137,16.932307040152704,15.693650296875768,16.100867625947345,16.154402799885244,15.585490734707978,16.73956967402599,17.01315907844632,15.99256221661156,16.350507606472497,16.480364220109,16.434041752985227,17.913695856389037,16.655083445197977,15.264515906039016,15.637870129034443,15.567510510372582,16.050890214239583,16.840532078112652,15.861256567814639,16.086550923653547,15.62690678686152,15.944025684399449,15.889836649920706,15.531990578127594,15.867399409770112,16.206709149358648,16.16704566288993,16.11703427510276,15.987041905222606,14.991034606223662,14.955513694995497,15.36966549919651,15.968306794430799,15.805139264316736,15.150897578262134,16.159260363534546,15.659382750512131,16.192832182933067,15.373680833411614,16.64062623731459,16.711868588366983,16.70234857346093,16.59844511574662,15.530589222950981,16.263177488303818,15.469578227375445,15.884027387500511,15.92102733259885,14.99249583239248,15.835310271061973,15.962918592445028,16.248261157410177,14.944803553261602,15.5262546938286,15.330671834370353,15.932906769493233,15.95626270482706,15.593770422350646,15.397273531502501,15.335180970057353,15.486489386839255,15.931453149104033,16.192755142640365,15.496666564327992,14.329656209519616,15.15778113133186,16.197619860204405,15.87038880283326,15.662974281652364,15.416500673380158,15.56450678433871,14.840089450644317,15.292932692960791,15.518960445508391,15.353732663523907,14.838416075797337,15.141348804818964,15.896568922926306,15.644616785457625,15.455198769515098,14.354249381945241,14.997488243922403,16.010899571264193,14.688632791203561,15.311287112371492,14.68830495563764,15.449632300561463,15.064953226615994,16.37257602975183,14.706927639617403,14.952968697570993,15.068148472657871,13.52833200886121,14.690871009292314,14.397741472348816,14.444108996147115,14.101811569824003,14.867375276565458,14.223624666580811,13.995767150877802,14.884599828750314,14.039090401998603,13.966235056432943,12.614709844115207,13.929905626598046
