Gene_Name,ENSEMBL_ID,TCGA-ZH-A8Y8-01A-51R-A41I-07,TCGA-W5-AA2U-01A-11R-A41I-07,TCGA-ZH-A8Y5-01A-11R-A41I-07,TCGA-W5-AA31-01A-11R-A41I-07,TCGA-W5-AA2Q-01A-11R-A41I-07,TCGA-ZH-A8Y6-01A-11R-A41I-07,TCGA-W5-AA38-01A-11R-A41I-07,TCGA-ZH-A8Y4-01A-11R-A41I-07,TCGA-W6-AA0S-01A-11R-A41I-07,TCGA-W5-AA2Z-01A-11R-A41I-07,TCGA-3X-AAVE-01A-11R-A41I-07,TCGA-W5-AA2W-01A-11R-A41I-07,TCGA-W5-AA33-01A-11R-A41I-07,TCGA-W5-AA2O-01A-11R-A41I-07,TCGA-W5-AA34-01A-11R-A41I-07,TCGA-W5-AA30-01A-31R-A41I-07,TCGA-3X-AAVA-01A-11R-A41I-07,TCGA-ZD-A8I3-01A-11R-A41I-07,TCGA-3X-AAVC-01A-21R-A41I-07,TCGA-4G-AAZT-01A-11R-A41I-07,TCGA-W5-AA36-01A-11R-A41I-07,TCGA-W5-AA2G-01A-11R-A41I-07,TCGA-ZU-A8S4-01A-11R-A41I-07,TCGA-ZH-A8Y1-01A-11R-A41I-07,TCGA-YR-A95A-01A-12R-A41I-07,TCGA-WD-A7RX-01A-12R-A41I-07,TCGA-3X-AAV9-01A-72R-A41I-07,TCGA-3X-AAVB-01A-31R-A41I-07,TCGA-ZH-A8Y2-01A-11R-A41I-07,TCGA-W5-AA2T-01A-12R-A41I-07,TCGA-W5-AA2X-01A-11R-A41I-07,TCGA-W5-AA2H-01A-31R-A41I-07,TCGA-W5-AA2I-01A-32R-A41I-07,TCGA-4G-AAZO-01A-12R-A41I-07,TCGA-W5-AA39-01A-11R-A41I-07
HSPD1,ENSG00000144381.18,14.553929224280823,14.391512122707118,13.818881709308133,14.332875731152674,14.11561268047117,13.671762186344608,14.126381830542641,14.784328117579138,15.02743089304191,14.096797497745936,14.434041752985229,14.15315615457123,13.828632374977145,15.214622686302336,14.250816534284999,13.807455552967623,14.173286743920876,14.11788655998186,14.38275910405649,12.814582465906277,13.350939181546432,14.809617421496366,14.052228393347402,13.789941128390916,13.98681976417345,13.785656801427193,12.859534786382653,13.159398347853037,13.872674880270605,13.191213472221285,14.746934136372298,12.488844346457336,13.104271128936894,12.440090524950488,13.040974598817305
HSPE1,ENSG00000115541.11,10.657318449581288,9.344295907915816,10.335390354693924,9.562242424221072,9.103287808412022,9.361943773735241,9.977279923499916,9.751544059089099,10.332036548361652,9.348728154231077,9.310612781659529,8.968666793195208,8.622051819456376,11.034111146096592,9.955649907528374,9.845490050944376,9.845490050944376,8.991521846075695,9.726218159332198,9.753216749178955,9.174925682500678,9.471675214392045,9.50382573799575,9.383704292474052,9.859534786382653,9.948367231584678,8.88264304936184,8.396604781181859,8.566054038171092,8.727920454563199,10.231221180711186,8.731319031025064,10.197216693110052,8.400879436282183,8.957102041562287
CCT6A,ENSG00000146731.11,13.431889303895977,13.41679752760606,13.430191170191696,13.589300026152637,12.901055432553273,13.019416982944184,13.705200378063116,14.329165651853986,13.307770031890703,13.082315394198206,13.758223214726724,13.093747662785669,13.043881707688747,13.84891630031937,12.876133200043016,13.225809940623543,12.919235786028347,12.429929741353273,13.639114563179414,12.474466464132632,12.940680648424093,13.88388424169091,12.954014507722544,12.847448903982432,12.83703654351734,12.668220198888895,12.582141981658777,12.88760142450871,13.372865060112588,12.783816759320182,13.888933465134397,12.014020470314934,12.4893462407191,12.165849146176397,11.921469060531411
HSPA9,ENSG00000113013.16,14.079568116392377,15.137111224895392,14.152601744019199,14.546713629490998,13.405407422219204,14.223096690347695,14.161131882984307,14.800495500466813,14.501899368693211,14.159004071924567,14.069533681636962,13.961630562578824,13.347621368568134,13.968036736393465,13.578726480966752,13.312741174040971,14.023494478482739,14.093500096068478,13.372048825272772,12.942331224510577,13.79685079526716,14.502893945002764,13.840679590429295,13.276415241892678,13.871616515792864,13.654636028527968,12.664225040837929,13.427312844134963,13.62296694479051,13.291026768056126,13.223247560417468,12.305206759008723,12.912889336229961,13.011751395316717,14.550446192603555
DNLZ,ENSG00000213221.5,2.584962500721156,2.807354922057604,3.321928094887362,2.584962500721156,4,2.807354922057604,2.807354922057604,1,3.321928094887362,3.807354922057604,3.169925001442312,3,3.169925001442312,4.584962500721156,4.906890595608519,3.4594316186372973,2.807354922057604,4.754887502163468,2.584962500721156,4,2.807354922057604,2.584962500721156,3.169925001442312,1.584962500721156,2.584962500721156,4.087462841250339,2.807354922057604,3.321928094887362,3,2.584962500721156,3.321928094887362,4.392317422778761,3.9068905956085187,3.169925001442312,3
GRPEL1,ENSG00000109519.13,10.432541900388259,10.624795455860237,10.982280604558284,10.169925001442312,10.172427508645482,11.101975670949232,9.847057346091336,11.161131882984307,11.481799431665753,10.26795708440284,10.672425341971495,10.852529509404196,10.4189067312579,10.153552031708111,10.658211482751796,10.266786540694902,10.742309436084,10.519636252843213,10.512740462803498,10.271463027904375,11.234817431117325,10.523561956057012,11.314016703901357,10.079484783826816,10.683871868622603,10.774787059601174,9.850186837645774,10.686500527183219,9.228818690495881,9.948367231584678,10.055282435501189,10.338736382573916,10.071462362556623,9.330916878114618,11.119589620741122
GRPEL2,ENSG00000164284.15,10.140829770773001,10.778077129535358,9.851749041416058,10.314016703901357,10.103287808412022,9.92035285541508,9.821773981970567,9.958552715431011,9.383704292474052,9.923327485419192,10.809768128710413,9.861086905995395,9.791162888555018,9.43879185257826,9.800899899920305,10.124121311829187,9.674192268145683,9.89178370321831,8.92184093707449,9.355351096424812,9.3151495622563,10.057991722759176,9.216745858195306,9.693486957499326,9.519636252843213,9.54882190845875,8.854868383260236,9.400879436282183,9.483815777264256,9.831307243802051,9.30149619498255,9.189824558880018,9.169925001442312,9.276124405274238,8.930737337562887
DNAJA3,ENSG00000103423.14,11.936269857602209,11.977637690405876,11.867278739709661,11.843528534611089,12.047123912114026,12.017156386383112,11.49585502688717,11.756973226165448,11.99964773652837,11.24436383512051,11.27262978497637,11.715961990255144,11.199058823653022,12.080817527608327,11.414685235807214,11.421538906848276,12.055621374781708,11.721099188707186,12.086467993464069,10.808159772868375,11.950920352030098,12.137311390700901,11.43827205612483,11.303780748177102,12.067434360756522,11.50084187955693,10.95637615724967,11.161131882984307,11.233020426474496,10.703038388986418,11.751544059089099,11.094077685671905,11.231821178657404,10.751544059089099,10.957102041562287
HSP90AA1,ENSG00000080824.19,15.7843025539704,14.773860373963345,15.466140205792193,16.037546953962178,15.110931839290036,14.818682028333297,14.899970504321514,14.98049663618346,14.893965078642307,15.075353794032775,14.989483201928493,16.154442358290535,15.622881176445226,15.135188218807931,14.332176446062695,14.933321820732946,14.320448009955344,15.43823956262736,15.638379345478656,13.576720525080246,14.252591521999612,14.544964432789238,16.23043330453316,15.406205005418855,14.904399421380555,13.859243577962982,15.138351805442774,15.861741205957124,14.31628153174622,14.037461158413945,16.030322282644036,13.641713098353947,13.044564882812626,13.720778649167064,14.284607245995558
HSP90AB1,ENSG00000096384.20,15.89273253261186,15.996760339734541,16.393256371748375,16.7288771136786,16.424887980797486,15.63146129138488,15.885815512764607,16.658002227694322,15.643940720210823,15.80021741007229,16.20730035920555,15.722380635163802,15.63308036632924,15.532173263273256,16.12690608764583,15.862419425964996,15.627020824885522,15.61577330164402,19.477187091874796,15.33343491528405,16.047848145934402,15.487965611143137,15.988795618087984,15.41620375805987,15.098320000889558,15.2294947953466,15.763808870098085,15.43113845280836,15.63803988782041,15.454749101666936,16.197715835765806,14.771334709872944,14.769321322539504,14.869593843240784,14.295984117512992
TRAP1,ENSG00000126602.11,11.824958740528523,12.608716854020573,12.800090987624994,11.888743248898258,12.511505595792482,11.247927513443585,11.644757592516257,12.191367713418941,11.762382038710392,12.040289721025717,11.307770031890703,11.869593843240784,12.275251543470327,12.015415052386688,11.066761932386909,11.830911279742782,11.939211882666397,11.922955991908477,11.432541900388259,11.316847183602473,12.028251428162793,11.584492796975875,11.289442575688332,11.887982133058454,12.418643249375899,11.310612781659529,10.787086324551616,10.384783750093353,11.63390340934852,11.39231742277876,11.547858506058416,10.608254821977908,10.696098170955864,11.67991987851842,10.022367813028454
DNAJC19,ENSG00000205981.8,10.048486873992337,10.3409627642517,10.63117705570398,10.703038388986418,10.588714635582264,10.513727595952437,10.41574176829009,10.324180546618742,10.560332834212442,9.926295994781112,10.471675214392045,10.897089128312755,10.260919533662905,10.348728154231077,10.432541900388259,10.714245517666123,11.571752643503546,9.287712379549449,11.204571144249204,10.774787059601174,10.553629293916364,9.881113960675096,10.004220466318195,9.964340867792417,10.634811050171718,10.294620748891626,9.992938336165814,10.037546953962178,9.64745842645492,9.521600439723727,10.651948610723446,9.826548487290914,10.506803437795647,9.326429487122303,9.782998208920414
HSCB,ENSG00000100209.11,9,8.751544059089099,8.778077129535358,9.20212382383046,8.584962500721156,8.071462362556623,9.517669388133811,9.623881490013458,8.055282435501189,8.906890595608518,8.294620748891626,8.169925001442312,8.774787059601174,9.517669388133811,8.049848549450562,8.927777962082342,8.885696373339394,9.257387842692651,8.154818109052105,9.328674927327947,9.859534786382653,9.129283016944967,8.839203788096944,8.098032082960527,9.273795599214264,9.221587121264806,8.686500527183219,8.527477006060396,9.361943773735241,9.20945336562895,9.364134655008051,9.071462362556623,9.523561956057012,7.965784284662087,6.714245517666122
SDHAF1,ENSG00000205138.4,9.417852514885897,9.179909090014934,9.734709620225837,9.461479447286155,9.353146825498083,9.88264304936184,9.236014191900084,8.625708843064466,10.935901682267588,8.72451385311995,9.3151495622563,8.550746785383243,9.684748620421626,9.92184093707449,9.668884984266247,9.335390354693924,9.419960177847889,9.079484783826816,8.375039431346925,10.127994320976393,9.73809225962049,8.483815777264256,8.562242424221072,8.467605550082997,9.285402218862249,9.4655664048094,8.857980995127573,9.164906926675688,9.14210705730255,9.643856189774725,9.00842862207058,9.997179480937621,9.845490050944376,8.339850002884624,7.813781191217037
CLPX,ENSG00000166855.9,11.640696837570093,11.360298426618046,11.497851836951117,11.66622400280318,11.272046524389937,12.532355925288847,10.948367231584678,11.3292357417338,10.857203471508166,11.054604317960672,10.982280604558284,11.64250302878052,11.171176797651771,10.706496018061188,11.016111838220512,10.92035285541508,11.206403913973848,11.074141462752506,11.470150435274359,10.041659151637214,11.037546953962178,11.159871336778389,10.404077136241234,10.73047013718422,10.97513145692134,11.152918576136623,10.344295907915816,10.504818987632841,10.980139577639157,11.262094845370179,11.711236767793784,10.148476582178278,10.394462694610317,10.216745858195306,9.342074667999139
