Project,Cluster,n_patients,pct_of_total,mean_expr,median_expr,min_expr,max_expr,sd_expr
TCGA-ESCA,1,106,57.6,11.929,11.804,-0.134,19.07,3.38
TCGA-ESCA,2,78,42.4,11.351,11.422,-0.134,19.436,3.405
