Gene,Gene_Cluster,Family
HSPD1,1,HSP60
HSPE1,2,HSP10
CCT6A,1,HSP60
HSPA9,1,HSP70
GRPEL1,3,HSP70
GRPEL2,2,HSP70
DNAJA3,3,HSP40
HSP90AA1,4,HSP90
HSP90AB1,4,HSP90
TRAP1,3,HSP90
DNAJC19,2,HSP40
HSCB,2,HSP40
SDHAF1,2,HSP40
CLPX,3,Other
HSPB1,4,sHSP
HSPB8,3,sHSP
HSPB7,5,sHSP
CRYAB,3,sHSP
