gene_id,module
AC005077.4,red
AC005081.1,grey
AC005082.1,lightcyan
AC005083.1,cyan
AC005089.1,brown
AC005099.1,tan
AC005102.1,brown4
AC005104.1,brown
AC005153.1,black
AC005154.1,brown
AC005154.2,yellow
AC005162.1,cyan
AC005162.2,grey
AC005165.1,black
AC005165.2,tan
AC005165.3,black
AC005180.2,magenta
AC005183.1,lightyellow
AC005224.2,royalblue
AC005224.3,grey
AC005225.2,grey
AC005225.4,greenyellow
AC005229.4,salmon
AC005244.1,grey
AC005253.1,brown
AC005256.1,salmon
AC005261.1,sienna3
AC005261.2,salmon
AC005261.5,royalblue
AC005262.1,yellow
AC005264.1,brown
AC005274.1,red
AC005291.1,grey
AC005291.2,green
AC005324.2,grey
AC005324.4,yellow
AC005329.1,turquoise
AC005329.3,brown
AC005330.1,magenta
AC005332.1,yellow
AC005332.2,blue
AC005332.3,grey
AC005332.4,turquoise
AC005332.5,turquoise
AC005332.7,blue
AC005336.1,paleturquoise
AC005336.2,lightyellow
AC005336.3,darkturquoise
AC005343.4,lightyellow
AC005355.1,brown
AC005383.1,magenta
AC005387.1,yellow
AC005387.2,yellow
AC005392.2,pink
AC005393.1,lightcyan
AC005400.1,grey60
AC005410.2,turquoise
AC005476.2,salmon
AC005479.1,grey
AC005479.2,grey
AC005480.1,brown
AC005481.1,grey
AC005498.2,darkmagenta
AC005498.3,darkmagenta
AC005519.1,brown
AC005520.2,purple
AC005520.5,brown
AC005532.1,grey
AC005537.1,grey60
AC005546.1,brown
AC005551.1,red
AC005586.1,pink
AC005606.2,yellow
AC005618.1,grey
AC005618.4,grey
AC005622.1,brown
AC005632.6,turquoise
AC005674.1,yellow
AC005682.1,grey
AC005695.1,turquoise
AC005696.1,turquoise
AC005696.3,yellow
AC005696.4,magenta
AC005699.1,grey
AC005722.3,paleturquoise
AC005722.4,turquoise
AC005725.1,grey
AC005726.1,salmon
AC005730.2,midnightblue
AC005746.1,brown
AC005753.1,grey
AC005753.3,greenyellow
AC005775.1,yellow
AC005776.2,yellow
AC005785.1,yellow
AC005785.2,brown
AC005790.1,grey
AC005796.1,red
AC005821.1,magenta
AC005828.5,cyan
AC005829.1,salmon
AC005829.2,grey
AC005831.1,grey
AC005833.1,darkgreen
AC005833.2,greenyellow
AC005837.1,grey
AC005838.2,brown
AC005840.1,tan
AC005840.2,yellow
AC005840.3,greenyellow
AC005840.4,blue
AC005845.1,red
AC005863.1,turquoise
AC005865.1,turquoise
AC005865.2,turquoise
AC005899.6,yellow
AC005899.7,yellow
AC005899.8,lightyellow
AC005906.2,darkgreen
AC005911.1,turquoise
AC005912.1,darkgrey
AC005914.1,red
AC005962.1,darkred
AC005962.2,salmon
AC005972.3,magenta
AC005993.1,grey
AC006001.2,grey
AC006008.1,purple
AC006017.1,brown
AC006026.3,magenta
AC006033.2,blue
AC006042.1,greenyellow
AC006042.2,brown
AC006058.1,red
AC006058.3,red
AC006058.4,red
AC006059.1,brown
AC006059.5,greenyellow
AC006062.1,green
AC006064.2,grey
AC006064.3,turquoise
AC006077.2,purple
AC006111.2,darkgrey
AC006116.5,grey
AC006116.9,darkmagenta
AC006128.1,yellow
AC006130.3,black
AC006157.1,floralwhite
AC006159.1,lightcyan
AC006160.1,brown
AC006197.2,grey
AC006206.2,grey
AC006207.1,grey
AC006213.1,turquoise
AC006213.2,darkorange2
AC006213.3,darkorange2
AC006213.4,darkorange2
AC006213.5,white
AC006213.6,darkorange2
AC006213.7,darkorange2
AC006230.1,green
AC006237.1,darkturquoise
AC006238.1,salmon
AC006238.2,darkred
AC006252.1,salmon
AC006254.1,black
AC006262.1,lightcyan1
AC006262.2,turquoise
AC006262.4,grey
AC006270.1,purple
AC006273.1,greenyellow
AC006277.1,yellow
AC006299.1,greenyellow
AC006305.1,grey
AC006330.1,brown
AC006348.1,lightyellow
AC006357.1,red
AC006369.1,blue
AC006372.1,darkgreen
AC006372.2,grey
AC006372.3,grey
AC006372.4,grey
AC006378.1,brown
AC006435.2,yellow
AC006449.5,salmon
AC006449.6,salmon
AC006450.3,turquoise
AC006452.1,grey
AC006460.1,grey
AC006460.2,red
AC006480.2,yellow
AC006487.1,grey
AC006504.1,white
AC006504.3,white
AC006504.5,white
AC006504.7,grey
AC006511.3,tan
AC006512.2,red
AC006525.1,grey60
AC006538.1,grey
AC006538.4,turquoise
AC006557.1,brown
AC006557.6,grey
AC006566.1,grey
AC006581.2,cyan
AC006946.2,yellow
AC006946.3,yellow
AC006963.1,turquoise
AC006971.1,purple
AC006972.1,darkturquoise
AC006974.1,grey
AC006974.2,pink
AC006978.1,darkgreen
AC007000.1,yellow
AC007000.2,brown
AC007014.2,blue
AC007036.1,blue
AC007038.1,yellow
AC007040.2,grey
AC007066.2,yellow
AC007066.3,salmon
AC007098.1,turquoise
AC007106.1,yellowgreen
AC007114.1,darkred
AC007114.2,royalblue
AC007126.1,grey
AC007128.1,grey60
AC007128.2,grey60
AC007130.1,red
AC007159.1,greenyellow
AC007182.1,pink
AC007182.2,tan
AC007191.1,brown
AC007216.3,yellow
AC007216.4,brown
AC007220.1,yellow
AC007224.2,yellow
AC007225.1,salmon
AC007240.1,steelblue
AC007240.3,midnightblue
AC007255.1,violet
AC007262.2,red
AC007278.1,blue
AC007292.1,darkred
AC007318.1,yellow
AC007319.1,grey60
AC007336.1,brown
AC007342.3,red
AC007342.4,grey60
AC007342.5,grey60
AC007342.7,brown
AC007342.8,grey60
AC007342.9,grey60
AC007362.1,brown
AC007365.1,paleturquoise
AC007368.1,saddlebrown
AC007376.2,grey
AC007383.1,salmon
AC007384.1,lightgreen
AC007387.2,cyan
AC007389.1,lightyellow
AC007389.2,grey
AC007389.3,grey
AC007390.1,brown
AC007405.1,pink
AC007405.2,grey
AC007405.3,grey
AC007406.3,green
AC007406.4,skyblue3
AC007448.4,purple
AC007448.5,red
AC007485.1,grey
AC007493.2,grey
AC007497.1,tan
AC007529.2,grey60
AC007541.1,pink
AC007546.1,yellow
AC007552.2,grey
AC007566.1,yellow
AC007569.1,lightgreen
AC007601.1,lightyellow
AC007608.3,pink
AC007608.4,lightyellow
AC007610.4,brown
AC007611.1,lightcyan
AC007613.1,grey
AC007614.1,brown
AC007619.1,brown
AC007622.2,brown
AC007637.1,greenyellow
AC007639.1,brown
AC007649.1,lightcyan1
AC007663.1,greenyellow
AC007663.2,red
AC007663.3,salmon
AC007671.1,magenta
AC007681.1,greenyellow
AC007683.1,tan
AC007686.1,greenyellow
AC007686.4,grey
AC007687.1,yellow
AC007688.2,tan
AC007695.1,brown
AC007728.2,blue
AC007728.3,pink
AC007731.1,brown
AC007731.3,lightyellow
AC007731.5,greenyellow
AC007743.1,midnightblue
AC007750.1,magenta
AC007773.1,purple
AC007785.1,lightcyan1
AC007785.3,greenyellow
AC007786.4,grey
AC007787.2,turquoise
AC007823.1,midnightblue
AC007834.1,magenta
AC007834.2,brown
AC007842.1,brown
AC007846.1,grey
AC007848.1,brown
AC007877.1,blue
AC007878.1,brown
AC007879.2,turquoise
AC007879.3,greenyellow
AC007881.3,salmon
AC007881.4,brown
AC007906.2,red
AC007919.1,brown
AC007920.2,grey
AC007923.2,lightyellow
AC007938.1,ivory
AC007938.3,brown
AC007953.1,grey
AC007956.2,purple
AC007991.2,blue
AC007991.4,blue
AC007996.1,turquoise
AC007998.3,green
AC007998.4,turquoise
AC008011.2,greenyellow
AC008013.1,black
AC008014.1,grey
AC008026.1,tan
AC008026.3,lightyellow
AC008033.3,lightgreen
AC008035.1,greenyellow
AC008038.1,tan
AC008050.1,grey
AC008055.2,black
AC008060.1,orangered4
AC008060.4,orangered4
AC008063.1,turquoise
AC008074.2,cyan
AC008079.1,yellow
AC008083.2,ivory
AC008083.3,darkturquoise
AC008105.1,brown
AC008105.2,salmon
AC008105.3,yellow
AC008114.1,cyan
AC008115.3,brown
AC008119.1,brown
AC008124.1,turquoise
AC008147.2,brown
AC008147.3,yellow
AC008149.2,brown
AC008163.1,turquoise
AC008267.3,yellow
AC008269.1,grey
AC008278.1,darkgreen
AC008280.2,grey
AC008393.1,darkred
AC008397.1,magenta
AC008403.3,pink
AC008406.3,cyan
AC008429.1,darkturquoise
AC008443.2,darkgreen
AC008443.3,sienna3
AC008443.4,purple
AC008443.5,darkgreen
AC008443.7,turquoise
AC008453.2,royalblue
AC008464.1,grey
AC008467.1,yellow
AC008481.1,tan
AC008481.2,turquoise
AC008496.3,black
AC008507.4,brown
AC008514.1,grey
AC008514.2,turquoise
AC008517.1,lightcyan1
AC008537.2,turquoise
AC008537.3,turquoise
AC008537.4,yellow
AC008543.1,orange
AC008554.1,mediumpurple3
AC008555.1,grey
AC008555.2,brown
AC008555.3,grey60
AC008555.4,grey60
AC008555.6,lightcyan
AC008556.1,pink
AC008568.1,saddlebrown
AC008592.4,orange
AC008608.2,salmon
AC008610.1,yellow
AC008622.2,darkred
AC008649.1,lightcyan
AC008663.1,pink
AC008663.2,green
AC008663.3,grey
AC008676.1,brown
AC008676.3,green
AC008677.2,tan
AC008687.2,brown
AC008687.3,yellow
AC008687.4,grey
AC008687.6,magenta
AC008691.1,grey
AC008708.1,red
AC008708.2,red
AC008731.1,brown
AC008735.1,brown
AC008735.2,yellow
AC008735.4,brown
AC008736.1,purple
AC008736.2,tan
AC008738.2,turquoise
AC008750.4,brown
AC008752.3,yellow
AC008759.1,red
AC008759.2,magenta
AC008759.3,turquoise
AC008760.1,yellow
AC008760.2,blue
AC008763.1,yellow
AC008764.2,royalblue
AC008764.6,yellow
AC008764.8,yellow
AC008770.3,brown
AC008771.1,green
AC008780.1,grey
AC008786.1,turquoise
AC008798.2,red
AC008799.1,tan
AC008825.1,cyan
AC008870.2,yellow
AC008870.4,brown
AC008875.1,yellow
AC008875.2,grey
AC008875.3,turquoise
AC008883.3,grey
AC008894.2,brown
AC008894.3,yellow
AC008897.1,brown
AC008897.3,darkgrey
AC008906.1,grey
AC008937.3,turquoise
AC008938.1,turquoise
AC008945.2,turquoise
AC008946.1,salmon
AC008957.1,blue
AC008957.3,brown
AC008964.1,darkturquoise
AC008966.1,red
AC008966.3,grey
AC008969.1,darkorange2
AC008982.2,brown
AC009005.1,red
AC009041.3,red
AC009053.3,red
AC009054.2,grey
AC009055.2,lightcyan1
AC009061.2,yellow
AC009065.2,brown
AC009065.4,purple
AC009065.5,brown
AC009065.8,lightcyan
AC009078.2,grey
AC009078.3,brown
AC009081.1,grey60
AC009084.2,brown
AC009090.1,yellow
AC009090.3,brown
AC009090.4,brown
AC009090.6,brown
AC009093.1,green
AC009093.10,grey
AC009093.2,green
AC009093.3,turquoise
AC009093.4,grey
AC009093.6,grey
AC009093.8,green
AC009097.2,yellow
AC009102.2,darkolivegreen
AC009108.3,darkred
AC009113.1,salmon
AC009118.2,turquoise
AC009119.1,pink
AC009120.1,brown
AC009120.2,yellow
AC009120.3,brown
AC009121.2,brown
AC009121.3,turquoise
AC009123.1,turquoise
AC009126.1,greenyellow
AC009133.1,yellow
AC009133.3,blue
AC009148.1,yellow
AC009159.3,grey
AC009163.7,turquoise
AC009171.2,salmon
AC009220.3,orange
AC009226.1,greenyellow
AC009228.1,brown
AC009236.1,midnightblue
AC009237.14,turquoise
AC009237.15,turquoise
AC009237.3,turquoise
AC009237.8,purple
AC009242.1,yellow
AC009244.1,brown
AC009245.1,tan
AC009262.1,grey60
AC009264.1,turquoise
AC009268.2,grey
AC009269.4,grey
AC009271.1,turquoise
AC009271.2,turquoise
AC009275.1,grey
AC009283.1,yellow
AC009292.1,red
AC009299.2,brown
AC009301.1,grey
AC009303.4,grey
AC009309.1,salmon
AC009312.1,grey60
AC009315.1,grey60
AC009318.1,brown
AC009318.4,darkred
AC009319.1,turquoise
AC009336.1,grey
AC009362.1,tan
AC009403.1,yellow
AC009403.2,grey
AC009404.1,yellow
AC009407.1,turquoise
AC009410.1,mediumpurple3
AC009486.1,darkgrey
AC009486.2,darkgrey
AC009495.3,grey
AC009501.2,turquoise
AC009506.1,turquoise
AC009509.1,bisque4
AC009509.4,royalblue
AC009518.1,darkolivegreen
AC009533.1,brown
AC009533.2,yellow
AC009542.1,brown
AC009549.1,black
AC009554.2,yellow
AC009560.1,darkred
AC009562.1,turquoise
AC009570.1,salmon
AC009570.2,lightgreen
AC009630.1,grey
AC009630.4,brown
AC009686.2,magenta
AC009690.1,brown
AC009690.2,brown
AC009704.3,red
AC009716.1,brown
AC009731.1,paleturquoise
AC009779.3,brown
AC009802.1,brown
AC009812.1,midnightblue
AC009812.3,green
AC009812.4,midnightblue
AC009831.1,orange
AC009831.2,darkgreen
AC009878.1,grey60
AC009879.3,brown
AC009899.1,plum1
AC009902.2,pink
AC009902.3,grey
AC009927.1,brown
AC009948.1,grey
AC009948.2,grey
AC009950.1,brown
AC009951.6,black
AC009955.2,grey
AC009961.1,turquoise
AC009961.3,paleturquoise
AC009970.1,brown
AC009974.1,black
AC009977.1,floralwhite
AC009988.1,grey
AC009996.1,yellow
AC010092.1,salmon
AC010148.1,turquoise
AC010149.1,grey
AC010168.1,darkturquoise
AC010168.2,yellow
AC010173.1,darkturquoise
AC010175.1,black
AC010184.1,turquoise
AC010186.2,greenyellow
AC010186.3,greenyellow
AC010198.1,grey
AC010198.2,greenyellow
AC010201.2,yellow
AC010203.1,brown
AC010203.2,turquoise
AC010207.1,grey
AC010210.1,yellow
AC010226.1,greenyellow
AC010245.2,purple
AC010247.1,darkturquoise
AC010247.2,darkturquoise
AC010255.1,magenta
AC010255.2,grey
AC010266.2,pink
AC010271.1,brown
AC010271.2,darkred
AC010273.3,turquoise
AC010275.1,grey60
AC010280.1,turquoise
AC010280.2,grey
AC010285.3,brown
AC010300.1,white
AC010307.2,darkturquoise
AC010307.4,red
AC010319.1,magenta
AC010319.3,magenta
AC010319.4,yellow
AC010325.1,grey
AC010326.3,yellow
AC010326.4,yellow
AC010327.4,lightcyan
AC010327.5,grey
AC010327.6,grey
AC010327.7,lightcyan
AC010327.8,black
AC010328.1,white
AC010329.1,grey60
AC010331.1,salmon
AC010332.1,darkmagenta
AC010332.3,darkmagenta
AC010336.1,grey
AC010336.7,lightcyan
AC010342.1,tan
AC010343.1,tan
AC010343.3,lightcyan
AC010359.2,salmon
AC010378.1,darkturquoise
AC010422.1,grey
AC010422.2,yellow
AC010422.4,yellow
AC010422.8,yellow
AC010424.1,black
AC010424.2,lightcyan
AC010457.1,black
AC010463.3,yellow
AC010469.1,tan
AC010476.2,pink
AC010478.1,grey
AC010487.1,white
AC010491.1,yellow
AC010491.2,grey
AC010501.2,turquoise
AC010503.4,cyan
AC010531.3,brown
AC010531.4,lightyellow
AC010531.5,brown
AC010531.6,salmon
AC010536.1,grey
AC010536.2,brown
AC010538.1,grey
AC010542.5,yellow
AC010547.2,magenta
AC010551.1,grey
AC010595.1,grey60
AC010608.2,magenta
AC010615.1,white
AC010615.2,white
AC010618.2,yellow
AC010618.3,yellow
AC010619.2,blue
AC010624.1,turquoise
AC010624.2,midnightblue
AC010624.3,brown
AC010624.5,turquoise
AC010636.1,red
AC010641.2,red
AC010642.2,yellow
AC010643.1,darkorange
AC010653.3,brown
AC010654.1,salmon
AC010677.1,darkgreen
AC010680.2,grey
AC010719.1,yellow
AC010729.2,grey
AC010731.1,turquoise
AC010735.1,turquoise
AC010735.2,turquoise
AC010754.1,magenta
AC010761.1,yellow
AC010761.3,brown
AC010761.4,brown
AC010768.2,brown
AC010789.1,red
AC010789.2,red
AC010809.2,yellow
AC010834.2,grey
AC010834.3,brown
AC010864.1,salmon
AC010878.1,black
AC010883.1,yellow
AC010889.1,floralwhite
AC010889.2,floralwhite
AC010894.1,salmon
AC010894.2,darkgreen
AC010894.4,grey
AC010896.1,grey
AC010904.2,green
AC010913.1,salmon
AC010931.1,green
AC010947.1,green
AC010969.1,red
AC010969.2,purple
AC010969.3,red
AC010970.1,grey
AC010973.2,yellow
AC010976.1,brown
AC010976.2,turquoise
AC010980.1,turquoise
AC010996.1,yellow
AC010997.4,grey
AC010998.3,turquoise
AC011005.1,tan
AC011005.4,brown
AC011008.2,grey
AC011029.1,grey60
AC011092.3,black
AC011199.1,lightcyan
AC011239.1,red
AC011239.2,green
AC011246.1,darkgreen
AC011287.1,grey60
AC011287.2,grey60
AC011290.2,brown
AC011294.1,lightyellow
AC011297.1,floralwhite
AC011298.1,grey
AC011306.1,brown
AC011317.1,grey
AC011322.1,turquoise
AC011330.1,grey
AC011330.2,grey
AC011337.1,brown
AC011346.1,grey60
AC011352.1,green
AC011352.3,green
AC011369.2,blue
AC011370.1,grey60
AC011374.1,darkturquoise
AC011379.2,grey
AC011388.1,grey
AC011405.1,grey
AC011416.3,turquoise
AC011416.4,greenyellow
AC011442.1,brown
AC011444.1,red
AC011444.4,grey
AC011445.1,salmon
AC011447.3,grey60
AC011447.7,darkmagenta
AC011448.1,yellow
AC011450.1,greenyellow
AC011451.3,darkmagenta
AC011451.4,red
AC011453.1,lightyellow
AC011455.8,grey
AC011461.1,yellow
AC011462.4,yellow
AC011462.5,lightcyan
AC011466.3,brown
AC011467.1,lightyellow
AC011468.1,white
AC011468.5,salmon
AC011471.2,lightyellow
AC011472.1,yellow
AC011472.2,salmon
AC011472.5,brown
AC011473.3,brown
AC011476.2,yellow
AC011476.3,brown
AC011477.1,white
AC011477.2,pink
AC011477.6,green
AC011479.2,brown
AC011479.3,lightyellow
AC011481.1,yellow
AC011481.3,blue
AC011483.1,pink
AC011483.2,pink
AC011483.3,pink
AC011484.1,black
AC011487.2,lightyellow
AC011495.1,tan
AC011498.3,brown
AC011498.4,turquoise
AC011498.6,yellow
AC011498.7,steelblue
AC011503.1,white
AC011503.2,white
AC011511.2,greenyellow
AC011511.5,grey
AC011586.2,grey60
AC011595.2,green
AC011601.1,greenyellow
AC011611.2,grey
AC011632.1,grey60
AC011676.1,darkmagenta
AC011676.5,turquoise
AC011700.1,salmon
AC011751.1,floralwhite
AC011767.1,turquoise
AC011815.1,magenta
AC011815.2,yellow
AC011815.3,brown
AC011825.2,midnightblue
AC011840.1,red
AC011899.2,blue
AC011912.1,green
AC011921.1,yellow
AC011933.3,salmon
AC011944.1,cyan
AC011978.2,pink
AC011979.1,tan
AC011995.2,turquoise
AC011997.1,magenta
AC012020.1,turquoise
