ensembl_base,gene_name,gene_ensembl,logFC,logCPM,F,PValue,FDR,comparison,cluster1,cluster2
ENSG00000124701,APOBEC2,ENSG00000124701.5,-5.586842253833113,2.1758526730825105,1190.7949281777464,1.4122577294814273e-139,9.273964213568183e-137,Cluster2_vs_Cluster1,1,2
ENSG00000285681,AC091576.1,ENSG00000285681.2,-4.2969654177388,-1.799734664460376,835.4968286393113,5.9024209414705164e-139,3.765238638863206e-136,Cluster2_vs_Cluster1,1,2
ENSG00000164309,CMYA5,ENSG00000164309.15,-4.9152631487601,5.451392342174279,1213.1438590795476,2.0281925555755323e-138,1.2578737552315253e-135,Cluster2_vs_Cluster1,1,2
ENSG00000196811,CHRNG,ENSG00000196811.13,-4.360482930188697,-0.5038744409513853,944.5835222740632,3.1163774607185926e-137,1.8805232314990274e-134,Cluster2_vs_Cluster1,1,2
ENSG00000185105,MYADML2,ENSG00000185105.5,-4.374049284175992,-0.45969561463254566,946.4038906637915,5.237003069681362e-137,3.07701493517831e-134,Cluster2_vs_Cluster1,1,2
ENSG00000286658,AC005153.1,ENSG00000286658.1,-4.645628852096511,-2.2765701180168127,866.0443142275645,6.527515651752475e-137,3.7369190245301924e-134,Cluster2_vs_Cluster1,1,2
ENSG00000078328,RBFOX1,ENSG00000078328.22,-4.382063755281832,0.22085856550161223,1045.1021944984795,1.6290356550434371e-136,9.092869767538704e-134,Cluster2_vs_Cluster1,1,2
ENSG00000196296,ATP2A1,ENSG00000196296.14,-5.479314826682652,4.349340950093121,1170.5182267223117,3.0417270802697385e-135,1.6564058663703036e-132,Cluster2_vs_Cluster1,1,2
ENSG00000177354,C10orf71,ENSG00000177354.12,-6.013179066239026,2.208000089622677,1069.0836208544,2.712018751803816e-133,1.4416962540839e-130,Cluster2_vs_Cluster1,1,2
ENSG00000170681,CAVIN4,ENSG00000170681.7,-4.2812137411053,2.9596310514962942,1138.9285157991292,5.05611134595579e-133,2.6252976283989513e-130,Cluster2_vs_Cluster1,1,2
ENSG00000185482,STAC3,ENSG00000185482.8,-4.262123386233285,4.490429489854925,1128.2167149956526,1.1440191209960369e-132,5.8051170260178444e-130,Cluster2_vs_Cluster1,1,2
ENSG00000163380,LMOD3,ENSG00000163380.16,-5.3819005116017085,2.9879362736790203,1122.8019142875899,4.7254601430447036e-132,2.34456330252798e-129,Cluster2_vs_Cluster1,1,2
ENSG00000130433,CACNG6,ENSG00000130433.7,-4.5357924224002515,0.1879152244508814,965.5795372193835,9.777510292144127e-132,4.745705919406563e-129,Cluster2_vs_Cluster1,1,2
ENSG00000197616,MYH6,ENSG00000197616.13,-5.319422709795074,1.0186044311126203,965.1919628030705,4.354652335194904e-130,2.0686451635722686e-127,Cluster2_vs_Cluster1,1,2
ENSG00000177791,MYOZ1,ENSG00000177791.12,-5.677745749977248,3.5398208018722817,1088.3591854818612,1.6699948621226183e-129,7.744699135121431e-127,Cluster2_vs_Cluster1,1,2
ENSG00000160808,MYL3,ENSG00000160808.11,-5.12627960916595,2.2158793031977018,1073.713793029628,1.6996921109909533e-129,7.744699135121431e-127,Cluster2_vs_Cluster1,1,2
ENSG00000101306,MYLK2,ENSG00000101306.11,-3.8628263170957235,1.1408092481169274,1071.3080884598737,2.8384727943474203e-129,1.267491641587897e-126,Cluster2_vs_Cluster1,1,2
ENSG00000163827,LRRC2,ENSG00000163827.13,-4.157984368571365,0.8398078264488583,1021.3246200148561,1.1559759727939021e-127,5.060681479327344e-125,Cluster2_vs_Cluster1,1,2
