ensembl_base,gene_name,gene_ensembl,logFC,logCPM,F,PValue,FDR,comparison,cluster1,cluster2
ENSG00000109205,ODAM,ENSG00000109205.16,1.3809313330311566,0.5831277004075023,42.69672374365069,1.5852665049174862e-10,7.607708300311685e-10,Cluster2_vs_Cluster1,1,2
ENSG00000185414,MRPL30,ENSG00000185414.20,0.19839077790062729,5.324737190673712,42.65603834557174,1.5980028697024065e-10,7.667178532922789e-10,Cluster2_vs_Cluster1,1,2
ENSG00000260807,CEROX1,ENSG00000260807.7,0.6674564057819227,2.5258354772289224,42.64596720143383,1.606639761897773e-10,7.70695822045579e-10,Cluster2_vs_Cluster1,1,2
ENSG00000179399,GPC5,ENSG00000179399.15,0.8514709097925811,-1.1981812025806837,42.60439307299411,1.609837511642206e-10,7.720635144640135e-10,Cluster2_vs_Cluster1,1,2
ENSG00000163820,FYCO1,ENSG00000163820.15,-0.33679264238932705,6.4084445707615405,42.628535865945054,1.6188453244154577e-10,7.762164720620566e-10,Cluster2_vs_Cluster1,1,2
ENSG00000116922,C1orf109,ENSG00000116922.14,0.2674917651166435,4.349085754943781,42.62241909636075,1.6235906123248773e-10,7.783242537284547e-10,Cluster2_vs_Cluster1,1,2
ENSG00000166289,PLEKHF1,ENSG00000166289.6,-0.562768952571448,4.01262191271736,42.619717704475804,1.6257173475742873e-10,7.791761048173924e-10,Cluster2_vs_Cluster1,1,2
ENSG00000106028,SSBP1,ENSG00000106028.11,0.27985649818574376,5.824076242414128,42.6174919116623,1.6272945240642386e-10,7.797642527980005e-10,Cluster2_vs_Cluster1,1,2
ENSG00000135821,GLUL,ENSG00000135821.19,-0.3319343954098314,8.509404336051023,42.614122223151774,1.6298794689185206e-10,7.808349447117824e-10,Cluster2_vs_Cluster1,1,2
ENSG00000272419,LINC01145,ENSG00000272419.6,0.3929605486300473,1.5858558383870105,42.618080966209085,1.6307153846045209e-10,7.810674397513419e-10,Cluster2_vs_Cluster1,1,2
ENSG00000111981,ULBP1,ENSG00000111981.5,0.8207135525883477,-0.8930358486464356,42.620919026954496,1.631206175816717e-10,7.81134565319626e-10,Cluster2_vs_Cluster1,1,2
ENSG00000184178,SCFD2,ENSG00000184178.16,0.22673319782342066,4.052309413083425,42.60937301695097,1.6336536717952636e-10,7.82138466507266e-10,Cluster2_vs_Cluster1,1,2
ENSG00000168237,GLYCTK,ENSG00000168237.18,0.3962043158992089,2.2817126133209746,42.61029699761188,1.6342257583991072e-10,7.822442462367191e-10,Cluster2_vs_Cluster1,1,2
ENSG00000164305,CASP3,ENSG00000164305.19,0.21982833935716012,4.561437196399501,42.603876911992636,1.637811919256237e-10,7.837923979650096e-10,Cluster2_vs_Cluster1,1,2
ENSG00000109519,GRPEL1,ENSG00000109519.13,0.2317478110155881,5.305967500724068,42.59792038166968,1.6423795896699385e-10,7.858094956846481e-10,Cluster2_vs_Cluster1,1,2
ENSG00000064195,DLX3,ENSG00000064195.7,-0.7987914066026754,-0.13975469077621913,42.622720432288695,1.6483658237383583e-10,7.885043043895084e-10,Cluster2_vs_Cluster1,1,2
ENSG00000111412,SPRING1,ENSG00000111412.6,0.3369807291639596,4.959498236438654,42.58825557474694,1.6498863914210473e-10,7.890622400533849e-10,Cluster2_vs_Cluster1,1,2
ENSG00000116128,BCL9,ENSG00000116128.11,0.32497764331372087,6.230661155345754,42.584259863662226,1.6529831519179323e-10,7.903735925150414e-10,Cluster2_vs_Cluster1,1,2
ENSG00000163463,KRTCAP2,ENSG00000163463.13,0.47737381267420825,0.891667132220444,42.58682267576603,1.661191700224389e-10,7.94128058066496e-10,Cluster2_vs_Cluster1,1,2
ENSG00000182013,PNMA8A,ENSG00000182013.18,-0.7263123221983969,3.3167504143150555,42.57193574637599,1.6629590844307658e-10,7.947786360340377e-10,Cluster2_vs_Cluster1,1,2
ENSG00000091513,TF,ENSG00000091513.16,-0.9858079419381348,2.9735900375880306,42.571955887911166,1.663266149477346e-10,7.947786360340377e-10,Cluster2_vs_Cluster1,1,2
ENSG00000239614,HMGN1P7,ENSG00000239614.1,0.5453143270684627,-1.8553534541327719,42.32809425782987,1.677015184098855e-10,8.011766514297703e-10,Cluster2_vs_Cluster1,1,2
ENSG00000205981,DNAJC19,ENSG00000205981.8,0.23317341080125703,5.283312358730357,42.52893647052552,1.696663143129016e-10,8.103894691141743e-10,Cluster2_vs_Cluster1,1,2
ENSG00000146757,ZNF92,ENSG00000146757.14,0.32865013659688525,3.3457399281037716,42.51776845350954,1.7059063608737303e-10,8.146297106363148e-10,Cluster2_vs_Cluster1,1,2
ENSG00000137274,BPHL,ENSG00000137274.13,0.32995464066282537,3.860786115237118,42.494192435399214,1.7248358312182464e-10,8.234926663533835e-10,Cluster2_vs_Cluster1,1,2
ENSG00000263740,RN7SL4P,ENSG00000263740.2,-1.3436510391953442,-1.4843510570024485,42.29640444640572,1.7326277101146628e-10,8.270355152822872e-10,Cluster2_vs_Cluster1,1,2
ENSG00000086696,HSD17B2,ENSG00000086696.11,-1.0233163294715013,-0.6533419143791745,42.49174194404075,1.7376625811498005e-10,8.292611251129842e-10,Cluster2_vs_Cluster1,1,2
ENSG00000143314,MRPL24,ENSG00000143314.12,0.3816393844621477,6.376943047581889,42.476347581826936,1.739247101161219e-10,8.297722765098225e-10,Cluster2_vs_Cluster1,1,2
ENSG00000254851,AP005018.2,ENSG00000254851.1,-1.4877507924416402,0.9456362754837234,42.49261039484716,1.7394786242765504e-10,8.297722765098225e-10,Cluster2_vs_Cluster1,1,2
ENSG00000184432,COPB2,ENSG00000184432.11,0.2920794118746899,8.172266341159299,42.46565647325371,1.7480354286167905e-10,8.336755564824714e-10,Cluster2_vs_Cluster1,1,2
ENSG00000110074,FOXRED1,ENSG00000110074.11,0.2581173867392319,4.862489754891988,42.45827589574213,1.7541470573951884e-10,8.364112585101158e-10,Cluster2_vs_Cluster1,1,2
ENSG00000166794,PPIB,ENSG00000166794.5,0.36289314212653523,7.694936680245371,42.45689592228739,1.7552706074460428e-10,8.367678861989192e-10,Cluster2_vs_Cluster1,1,2
ENSG00000152672,CLEC4F,ENSG00000152672.8,-0.6946868680160794,-0.06340998420860054,42.46354686286525,1.776560118275335e-10,8.467357671121019e-10,Cluster2_vs_Cluster1,1,2
ENSG00000170638,TRABD,ENSG00000170638.10,0.3370351963590089,5.444244255002235,42.42337784601324,1.7832356766348088e-10,8.497356399656391e-10,Cluster2_vs_Cluster1,1,2
ENSG00000112149,CD83,ENSG00000112149.10,-0.44633612608624995,3.605830644070528,42.41388153196739,1.7914632867885635e-10,8.534736449912067e-10,Cluster2_vs_Cluster1,1,2
ENSG00000101444,AHCY,ENSG00000101444.13,0.28360747168468875,7.918079783566757,42.410667256789814,1.7939511008608782e-10,8.544761315774595e-10,Cluster2_vs_Cluster1,1,2
