ensembl_base,gene_name,gene_ensembl,logFC,logCPM,F,PValue,FDR,comparison,cluster1,cluster2
ENSG00000168936,TMEM129,ENSG00000168936.11,0.17501964681342283,5.426703219918632,11.043923359445566,9.530300414896504e-4,0.002005290976670197,Cluster2_vs_Cluster1,1,2
ENSG00000105245,NUMBL,ENSG00000105245.9,0.24950618452722387,5.3435329994218685,11.042232595882862,9.53881235465666e-4,0.002006900602046155,Cluster2_vs_Cluster1,1,2
ENSG00000171587,DSCAM,ENSG00000171587.15,-0.7720255555155444,-0.6455537235639034,11.039327831031098,9.543568050154089e-4,0.002007719719931205,Cluster2_vs_Cluster1,1,2
ENSG00000185112,FAM43A,ENSG00000185112.6,0.39591230568316405,5.333143769896122,11.040931615636207,9.545366720186585e-4,0.0020079166643710462,Cluster2_vs_Cluster1,1,2
ENSG00000157303,SUSD3,ENSG00000157303.11,-0.3352243670623079,2.198579392456045,11.04107854765142,9.546645291504775e-4,0.0020080041776855,Cluster2_vs_Cluster1,1,2
ENSG00000204186,ZDBF2,ENSG00000204186.10,0.3521564745900929,3.7678445542012975,11.040018203098166,9.550309131056424e-4,0.0020085933378895435,Cluster2_vs_Cluster1,1,2
ENSG00000165568,AKR1E2,ENSG00000165568.18,0.41667023601214714,2.149309497665849,11.039723455186378,9.553590950357691e-4,0.002009102053516956,Cluster2_vs_Cluster1,1,2
ENSG00000128573,FOXP2,ENSG00000128573.26,0.4343951070645786,3.3495759611504203,11.035631627467332,9.572636705695489e-4,0.002012925503645479,Cluster2_vs_Cluster1,1,2
ENSG00000121552,CSTA,ENSG00000121552.4,0.5196461757975667,7.779764199720546,11.033992011346623,9.58039685131399e-4,0.002014375349517609,Cluster2_vs_Cluster1,1,2
ENSG00000162068,NTN3,ENSG00000162068.2,-0.4617443396040721,-1.5815910835951454,11.017205126928632,9.587256327899826e-4,0.0020156355758467258,Cluster2_vs_Cluster1,1,2
ENSG00000149547,EI24,ENSG00000149547.15,0.1674444182482301,7.375052030406835,11.030425037244365,9.598457713360597e-4,0.0020178083399587745,Cluster2_vs_Cluster1,1,2
ENSG00000269376,AL356740.3,ENSG00000269376.1,-0.5346822135469101,-1.3167228602467764,11.017988350348284,9.60604132457003e-4,0.002019220244117294,Cluster2_vs_Cluster1,1,2
ENSG00000107960,STN1,ENSG00000107960.11,-0.2011304342872865,4.610477388527778,11.026180537594236,9.620071479540744e-4,0.0020219868548547178,Cluster2_vs_Cluster1,1,2
ENSG00000081692,JMJD4,ENSG00000081692.12,0.16627012348495862,2.788321171191917,11.02532649728164,9.625329143109728e-4,0.0020229092935956892,Cluster2_vs_Cluster1,1,2
ENSG00000265590,CFAP298-TCP10L,ENSG00000265590.10,0.297926465825286,-0.5329449012731298,11.025024674522856,9.627456723027013e-4,0.0020231737905043227,Cluster2_vs_Cluster1,1,2
ENSG00000198556,ZNF789,ENSG00000198556.14,0.21656834739305722,3.2136720835829404,11.012969213516284,9.687952498447571e-4,0.0020355480170334765,Cluster2_vs_Cluster1,1,2
ENSG00000251000,GGCTP1,ENSG00000251000.1,-0.30061155550321006,-1.5906099880399844,10.996973322353199,9.688089359420498e-4,0.0020355480170334765,Cluster2_vs_Cluster1,1,2
ENSG00000152705,CATSPER3,ENSG00000152705.8,0.25577279797579633,-1.459058465725782,10.996932021729444,9.707926054385507e-4,0.002039531798087669,Cluster2_vs_Cluster1,1,2
ENSG00000164251,F2RL1,ENSG00000164251.5,0.34790905804289607,5.2528789147749135,11.007196943291921,9.716927896753061e-4,0.002041238778527443,Cluster2_vs_Cluster1,1,2
ENSG00000248810,LINC02432,ENSG00000248810.2,-0.8405835536474303,1.233143818710615,11.007520498982307,9.720827194194475e-4,0.0020418736540724295,Cluster2_vs_Cluster1,1,2
