ensembl_base,gene_name,gene_ensembl,logFC,logCPM,F,PValue,FDR,comparison,cluster1,cluster2
ENSG00000184047,DIABLO,ENSG00000184047.20,-0.4235411135355826,0.5689629697060586,9.40175928787702,0.0023525417246128438,0.006399577880137455,Cluster3_vs_Cluster1,1,3
ENSG00000101150,TPD52L2,ENSG00000101150.18,0.20212344388913392,7.46294933719867,9.397620444651917,0.002356271834512207,0.006408902123623177,Cluster3_vs_Cluster1,1,3
ENSG00000215146,BX322639.1,ENSG00000215146.5,0.789167994526323,-0.056461769859303616,9.39290844220254,0.002356867153682407,0.006409698646520006,Cluster3_vs_Cluster1,1,3
ENSG00000140326,CDAN1,ENSG00000140326.13,-0.19662490285553233,3.7974635424303784,9.395016870406408,0.0023597050326313205,0.006416593012509984,Cluster3_vs_Cluster1,1,3
ENSG00000255833,TIFAB,ENSG00000255833.2,0.4698828550035542,-0.5520423791093986,9.380910963255644,0.0023623095670721288,0.006422851172161339,Cluster3_vs_Cluster1,1,3
ENSG00000227258,SMIM2-AS1,ENSG00000227258.6,-0.5704717706965992,2.000560033973482,9.39321506073875,0.0023631861235860556,0.006424410153292124,Cluster3_vs_Cluster1,1,3
ENSG00000124171,PARD6B,ENSG00000124171.9,-0.3239231806014501,4.565598161446648,9.389594950142591,0.0023663824591938524,0.006432274332064768,Cluster3_vs_Cluster1,1,3
ENSG00000168288,MMADHC,ENSG00000168288.13,-0.17195865932717186,6.498363779499233,9.385999726825583,0.0023708257409321286,0.006443525493919807,Cluster3_vs_Cluster1,1,3
ENSG00000169683,LRRC45,ENSG00000169683.8,-0.30993811902951307,4.9697151652322455,9.382881103496494,0.002374781955645947,0.0064534501695426095,Cluster3_vs_Cluster1,1,3
ENSG00000127084,FGD3,ENSG00000127084.19,0.29083172534340435,3.5330506937322834,9.382490790954382,0.00237549714503593,0.006454565970054673,Cluster3_vs_Cluster1,1,3
ENSG00000266783,AP005136.3,ENSG00000266783.1,-0.46465852562952703,-1.3279763696743614,9.345438084521353,0.0023767560131904074,0.006457158548143324,Cluster3_vs_Cluster1,1,3
ENSG00000135697,BCO1,ENSG00000135697.10,-0.41010519346428465,1.8963197353324939,9.380993736771735,0.0023786442698445686,0.006460676783290299,Cluster3_vs_Cluster1,1,3
ENSG00000259985,AC017100.1,ENSG00000259985.1,-0.2659468573412654,0.6099507770100094,9.381155234349011,0.002378660764627951,0.006460676783290299,Cluster3_vs_Cluster1,1,3
ENSG00000142168,SOD1,ENSG00000142168.15,-0.266353198935603,7.7641535142538425,9.379220074546133,0.0023793561127231555,0.006461737201680942,Cluster3_vs_Cluster1,1,3
ENSG00000258366,RTEL1,ENSG00000258366.9,-0.3277990813055613,0.06203770606257882,9.376755548811591,0.0023805619113073054,0.006464183426770004,Cluster3_vs_Cluster1,1,3
ENSG00000104218,CSPP1,ENSG00000104218.16,-0.36543966493758995,4.840630155762302,9.377605614026102,0.0023814391756714712,0.006465737036726989,Cluster3_vs_Cluster1,1,3
ENSG00000128694,OSGEPL1,ENSG00000128694.12,-0.1833943862165692,2.6295536931355685,9.37641540210408,0.002383632061511021,0.006470861774978229,Cluster3_vs_Cluster1,1,3
