ensembl_base,gene_name,gene_ensembl,logFC,logCPM,F,PValue,FDR,comparison,cluster1,cluster2
ENSG00000018625,ATP1A2,ENSG00000018625.15,3.4391016887895627,0.5648554504107649,245.24962454646447,6.978250316105766e-35,4.8102721370167895e-32,Cluster2_vs_Cluster1,1,2
ENSG00000173641,HSPB7,ENSG00000173641.18,3.532477990575194,2.903675879148169,246.71112808650645,8.000704214829014e-35,5.357500133798502e-32,Cluster2_vs_Cluster1,1,2
ENSG00000121577,POPDC2,ENSG00000121577.14,2.247725259676674,0.9692473471166556,247.15712675298366,9.191533683425491e-35,5.98394374829009e-32,Cluster2_vs_Cluster1,1,2
ENSG00000059915,PSD,ENSG00000059915.17,3.177237005568597,2.353280639997115,245.26333805626572,1.1502286949969529e-34,7.285921601255023e-32,Cluster2_vs_Cluster1,1,2
ENSG00000173114,LRRN3,ENSG00000173114.13,3.477808695287821,-0.15138168890814696,231.4281043434125,1.3061455897873672e-34,8.055824786275402e-32,Cluster2_vs_Cluster1,1,2
ENSG00000123119,NECAB1,ENSG00000123119.12,2.3881151504226907,-0.8317687631924996,223.44009101538572,3.4504598513569196e-34,2.0735494240064646e-31,Cluster2_vs_Cluster1,1,2
ENSG00000022267,FHL1,ENSG00000022267.19,2.509085564103812,4.890401852648724,237.0782555194912,5.1108835277007895e-34,2.994594430968085e-31,Cluster2_vs_Cluster1,1,2
ENSG00000050030,NEXMIF,ENSG00000050030.16,2.557709366075939,-2.032277864606629,186.81661469539011,1.1287297785236386e-33,6.452204833965492e-31,Cluster2_vs_Cluster1,1,2
ENSG00000065534,MYLK,ENSG00000065534.19,2.5431239095638714,6.585029213813469,230.70294091872307,1.9519373277286088e-33,1.0650401192020622e-30,Cluster2_vs_Cluster1,1,2
ENSG00000136842,TMOD1,ENSG00000136842.14,2.7582491909534723,0.5539216727818616,231.28361713925193,1.9540352914489343e-33,1.0650401192020622e-30,Cluster2_vs_Cluster1,1,2
ENSG00000128591,FLNC,ENSG00000128591.16,2.8610001197000208,5.585355495457578,230.41615440086045,2.078568578713315e-33,1.1071684495296355e-30,Cluster2_vs_Cluster1,1,2
ENSG00000143028,SYPL2,ENSG00000143028.9,2.270046236243492,-0.7133793554338128,218.59791410996533,2.2579091630069846e-33,1.1634911822566667e-30,Cluster2_vs_Cluster1,1,2
ENSG00000165966,PDZRN4,ENSG00000165966.16,3.31947136392294,-0.12383487971046901,221.31382990311465,2.2835940770493947e-33,1.1634911822566667e-30,Cluster2_vs_Cluster1,1,2
ENSG00000163017,ACTG2,ENSG00000163017.14,3.563508018568132,7.172015290977136,228.6980785572771,2.9924049826874802e-33,1.4921913953031166e-30,Cluster2_vs_Cluster1,1,2
ENSG00000131471,AOC3,ENSG00000131471.7,2.699250152313785,4.59302652235538,228.11420163293877,3.415440320346267e-33,1.641864879252456e-30,Cluster2_vs_Cluster1,1,2
ENSG00000159176,CSRP1,ENSG00000159176.14,1.4129083109401417,7.917999083437918,228.0087850681234,3.4673959688960106e-33,1.641864879252456e-30,Cluster2_vs_Cluster1,1,2
ENSG00000127472,PLA2G5,ENSG00000127472.11,2.808268076054685,0.21440974886374292,226.1843772375754,3.502719800427648e-33,1.641864879252456e-30,Cluster2_vs_Cluster1,1,2
ENSG00000108823,SGCA,ENSG00000108823.16,3.2492908589187666,1.1044747290009589,226.35660037827364,6.532473557867471e-33,3.0019918191321554e-30,Cluster2_vs_Cluster1,1,2
ENSG00000109063,MYH3,ENSG00000109063.15,2.9503316775829886,1.008037817767963,224.30404700240132,1.0416489844500863e-32,4.694832163183976e-30,Cluster2_vs_Cluster1,1,2
ENSG00000164326,CARTPT,ENSG00000164326.5,3.7869900876650306,-0.34350415480153645,202.69362949107824,1.6692079381434265e-32,7.381363480427829e-30,Cluster2_vs_Cluster1,1,2
ENSG00000143318,CASQ1,ENSG00000143318.13,2.2615057267649576,-1.8623786775332765,181.19039827389776,2.4913066855652504e-32,1.0812732368443106e-29,Cluster2_vs_Cluster1,1,2
ENSG00000229619,MBNL1-AS1,ENSG00000229619.4,2.0890241283750597,1.5171132819785087,218.48217948481192,3.4972816306297954e-32,1.490287083219464e-29,Cluster2_vs_Cluster1,1,2
ENSG00000226237,GAS1RR,ENSG00000226237.2,2.809183395042339,-2.228752606111313,171.2331570406264,3.7134244213089824e-32,1.5541344314681896e-29,Cluster2_vs_Cluster1,1,2
ENSG00000118407,FILIP1,ENSG00000118407.15,2.2794182599712625,0.22729330132548572,212.35607967589425,1.0781564292347669e-31,4.4331144266623214e-29,Cluster2_vs_Cluster1,1,2
ENSG00000198523,PLN,ENSG00000198523.6,3.354727387562017,2.9171068905769113,211.09205987619,1.5541414874780077e-31,6.280071386555529e-29,Cluster2_vs_Cluster1,1,2
ENSG00000158445,KCNB1,ENSG00000158445.10,2.191770620874538,-0.8596028929197569,197.80606679899034,1.7242406129539803e-31,6.849326651830923e-29,Cluster2_vs_Cluster1,1,2
ENSG00000231123,SPATA20P1,ENSG00000231123.1,3.397372262994,-2.1243742746646093,165.49547505998657,1.9398189154410608e-31,7.577255986865357e-29,Cluster2_vs_Cluster1,1,2
ENSG00000187714,SLC18A3,ENSG00000187714.7,3.754371449657674,-2.7442930349439423,168.83564343484355,2.9469235770325694e-31,1.1322466864739725e-28,Cluster2_vs_Cluster1,1,2
ENSG00000175946,KLHL38,ENSG00000175946.8,2.3761240890680857,-1.9936494234258932,170.2247933505544,3.0137527303999016e-31,1.139247141006169e-28,Cluster2_vs_Cluster1,1,2
ENSG00000053328,METTL24,ENSG00000053328.8,2.274156812922672,-1.4655936898005286,180.61553116277054,4.755879907435587e-31,1.769262815723299e-28,Cluster2_vs_Cluster1,1,2
ENSG00000112276,BVES,ENSG00000112276.14,2.296769034232054,1.0346681775115645,205.05989861912676,7.367417764334093e-31,2.697971408479658e-28,Cluster2_vs_Cluster1,1,2
ENSG00000254510,AP001107.5,ENSG00000254510.2,2.1840460148680325,-1.8073034484876465,167.10924777151058,3.5272617061920656e-30,1.2614091808509892e-27,Cluster2_vs_Cluster1,1,2
ENSG00000156475,PPP2R2B,ENSG00000156475.18,2.243313028687034,-0.5829447283141469,190.13403253634846,3.552204033629103e-30,1.2614091808509892e-27,Cluster2_vs_Cluster1,1,2
ENSG00000113196,HAND1,ENSG00000113196.3,4.023951653666041,-0.02190932732051947,182.61450900625454,7.072199503150509e-30,2.473897608288634e-27,Cluster2_vs_Cluster1,1,2
ENSG00000079308,TNS1,ENSG00000079308.19,2.520552669502528,6.576691584080079,191.6435637125721,1.2205044957291948e-29,4.206612333294874e-27,Cluster2_vs_Cluster1,1,2
ENSG00000170323,FABP4,ENSG00000170323.9,4.324828535512073,1.4178161769799806,186.34181841186162,4.629557265819986e-29,1.572506284623522e-26,Cluster2_vs_Cluster1,1,2
ENSG00000133878,DUSP26,ENSG00000133878.9,2.3645639031551515,-1.5203999582445087,161.7649587853759,6.168460480444633e-29,2.0652886897168695e-26,Cluster2_vs_Cluster1,1,2
ENSG00000261616,AC036108.3,ENSG00000261616.1,2.034589760527146,-1.4330727255323399,165.2082211983796,8.041407510166964e-29,2.654457293180044e-26,Cluster2_vs_Cluster1,1,2
ENSG00000241158,ADAMTS9-AS1,ENSG00000241158.7,2.6724502451110053,-1.4283499234828958,160.48213623622357,1.2992681720823145e-28,4.229298354040723e-26,Cluster2_vs_Cluster1,1,2
ENSG00000080644,CHRNA3,ENSG00000080644.16,2.906288622961487,1.0889073797836366,180.6043606267858,2.1972438998781583e-28,7.054356887869095e-26,Cluster2_vs_Cluster1,1,2
ENSG00000171872,KLF17,ENSG00000171872.5,2.6751686222454434,-2.649280131473831,143.87233859643462,3.159405639633822e-28,1.0006349996769984e-25,Cluster2_vs_Cluster1,1,2
ENSG00000261625,AP003071.4,ENSG00000261625.1,2.274259087617494,-0.9293001172266911,165.75313879132435,4.727018404875066e-28,1.4771617380674257e-25,Cluster2_vs_Cluster1,1,2
ENSG00000174697,LEP,ENSG00000174697.5,3.557379976836358,-1.6521763406617178,146.31113383937995,5.5312277563330295e-28,1.7057287490154898e-25,Cluster2_vs_Cluster1,1,2
ENSG00000164107,HAND2,ENSG00000164107.9,3.036428567634103,0.526688665549766,175.31689683892125,6.080730495989502e-28,1.850832216032545e-25,Cluster2_vs_Cluster1,1,2
ENSG00000237125,HAND2-AS1,ENSG00000237125.11,2.996229345532372,0.2900409590546262,172.6429049116957,9.637958274288312e-28,2.895959334288399e-25,Cluster2_vs_Cluster1,1,2
ENSG00000087258,GNAO1,ENSG00000087258.16,2.381230961726885,1.7897502799671754,174.19508537526107,9.769887382156925e-28,2.898441146526732e-25,Cluster2_vs_Cluster1,1,2
ENSG00000175084,DES,ENSG00000175084.12,4.359022793692728,7.457108807891643,173.262590122089,1.0444983070535606e-27,3.059988352801787e-25,Cluster2_vs_Cluster1,1,2
ENSG00000025423,HSD17B6,ENSG00000025423.11,2.02496948149099,1.6254774076554963,173.1489149320895,1.2723229497209499e-27,3.6814114780999875e-25,Cluster2_vs_Cluster1,1,2
ENSG00000138650,PCDH10,ENSG00000138650.9,2.921812058618385,-1.978286414029807,143.08736681019536,1.3333109443651706e-27,3.8108303174495735e-25,Cluster2_vs_Cluster1,1,2
ENSG00000135842,NIBAN1,ENSG00000135842.17,2.342429774050981,3.7893465091929497,171.90610685887478,1.4838497099436836e-27,4.189998271319291e-25,Cluster2_vs_Cluster1,1,2
