original_id,final_id,mean_expr
ENSG00000226981.2,ABHD17AP6,3.8665324297539865
ENSG00000107362.14,ABHD17B,10.77489908085308
ENSG00000136379.12,ABHD17C,12.332469138567768
ENSG00000164074.15,ABHD18,9.981091717564336
ENSG00000140526.18,ABHD2,13.81051925435929
ENSG00000158201.10,ABHD3,11.498580233487772
ENSG00000100439.10,ABHD4,12.377809226610797
ENSG00000011198.10,ABHD5,11.043350114363408
ENSG00000163686.15,ABHD6,9.494740004726236
ENSG00000127220.6,ABHD8,9.364596193141715
ENSG00000136754.18,ABI1,12.808787329863494
ENSG00000271484.1,ABI1P1,2.495724514422539
ENSG00000138443.17,ABI2,11.687237826438722
ENSG00000108798.9,ABI3,9.03905228866204
ENSG00000154175.18,ABI3BP,9.304671141533952
ENSG00000119328.12,ABITRAM,10.92015919691783
ENSG00000097007.19,ABL1,13.40754643598736
ENSG00000143322.21,ABL2,12.495020300685038
ENSG00000099204.20,ABLIM1,13.823181936824453
ENSG00000163995.21,ABLIM2,9.271795374327747
ENSG00000173210.20,ABLIM3,9.623562708400685
ENSG00000175164.15,ABO,10.59060274045713
ENSG00000159842.15,ABR,13.101816013135668
ENSG00000174429.4,ABRA,3.1605833048238203
ENSG00000146386.8,ABRACL,11.387929234947629
ENSG00000163322.14,ABRAXAS1,8.403082618226678
ENSG00000165660.8,ABRAXAS2,10.769052888613073
ENSG00000146109.5,ABT1,11.023545973261648
ENSG00000114626.18,ABTB1,10.614271783899364
ENSG00000166016.6,ABTB2,10.453071319251173
ENSG00000286508.1,AC000050.2,3.1391571447869624
ENSG00000083622.8,AC000061.1,1.6094642597541706
ENSG00000286742.1,AC000065.1,5.334699401677289
ENSG00000287932.1,AC000065.2,4.162073965870987
ENSG00000185065.6,AC000068.1,5.694798371518612
ENSG00000273212.1,AC000068.2,3.196297797559343
ENSG00000286367.1,AC000072.1,3.3892774943059885
ENSG00000232926.1,AC000078.1,4.335176200632902
ENSG00000287652.1,AC000082.1,2.1779873931429803
ENSG00000287146.1,AC000085.1,3.334679619110106
ENSG00000235776.2,AC000089.1,7.511196120131704
ENSG00000284874.1,AC000093.1,4.612764680550903
ENSG00000237974.1,AC000111.2,1.3972195248685733
ENSG00000243107.1,AC000120.1,5.025113224536372
ENSG00000224138.1,AC000123.1,5.378567842692305
ENSG00000279265.1,AC000123.2,4.766168438010707
ENSG00000280347.1,AC000123.3,8.124363113946469
ENSG00000278727.1,AC000403.1,5.678772745392797
ENSG00000274898.1,AC001226.1,2.6930162086547123
ENSG00000283208.2,AC001226.2,4.961678654571859
ENSG00000272330.1,AC002044.1,4.389166691126406
ENSG00000279591.1,AC002044.2,4.759989370895095
ENSG00000280092.1,AC002044.3,3.375798975472048
ENSG00000213683.4,AC002056.1,4.268486828778815
ENSG00000273216.1,AC002059.1,3.1887119876688588
ENSG00000285697.1,AC002059.3,4.470077498890954
ENSG00000225498.1,AC002064.1,2.145034495458268
ENSG00000234459.1,AC002064.2,3.7017876506932175
ENSG00000237813.4,AC002066.1,4.408944186340257
ENSG00000233420.2,AC002069.2,1.8484546586519917
ENSG00000248636.7,AC002070.1,3.53481829364019
ENSG00000285090.1,AC002074.1,3.415442654348579
