source	target	weight	module1	module2
CACNG1	DES	0.9590984883039062	black	black
RPL10P6	RPL10P9	0.9590966657034441	grey	grey
ITGAL	SASH3	0.9590552888116048	blue	blue
ACTA1	ACTC1	0.9590069706343859	black	black
CAV3	LMOD3	0.9589591896433695	black	black
MYL2	SLN	0.95895574972614	black	black
ASB5	MYLPF	0.9589031192569674	black	black
ACTN2	ARPP21	0.9588829008970218	black	black
CACNG1	TNNC1	0.9588794084015518	black	black
LMOD2	PPP1R3A	0.9588544403552007	black	black
DES	STYXL2	0.9588529058123335	black	black
MYH2	SLN	0.9588361551085939	black	black
HHATL	MYPN	0.958756067704451	black	black
ATP1B4	CAV3	0.9587528210083374	black	black
ARPP21	SMPX	0.958752764932782	black	black
LMOD2	TRDN	0.9586576519565873	black	black
FCRL5	MZB1	0.9586553692490419	lightgreen	lightgreen
ANKRD1	ASB5	0.9586290404219159	black	black
CHRND	DES	0.9586158294927672	black	black
HHATL	STAC3	0.9585928947420961	black	black
LCE2B	LCE2C	0.9585475852231583	pink	pink
CHRND	MYL1	0.958525042746858	black	black
CASQ2	CSRP3	0.958523255538812	black	black
ASB5	HSPB7	0.9584869395123883	black	black
CACNG1	MYOG	0.9584790520412004	black	black
APOBEC2	CKM	0.9584438377798262	black	black
MYLPF	TNNC1	0.9584201888980933	black	black
CHRND	HHATL	0.9584126322196588	black	black
ACTC1	SMPX	0.9583957386442306	black	black
NMRK2	SMYD1	0.9583925067602879	black	black
COX6A2	KLHL41	0.9583773368266228	black	black
ATP1A2	LMOD3	0.958376574229924	black	black
HJV	TCAP	0.9583369939214323	black	black
CACNA1S	TTN	0.9583347290840578	black	black
DES	MYH1	0.9583008072916304	black	black
ATP1A2	MYPN	0.9582861601299452	black	black
CACNG1	MYPN	0.9582492253725023	black	black
DES	NRAP	0.9582364321118948	black	black
LMOD3	NMRK2	0.9582049836558147	black	black
ATP1A2	HJV	0.9581801826029895	black	black
CAVIN4	LMOD3	0.9581530640412167	black	black
ATP1B4	LMOD3	0.9581458863038769	black	black
C10orf71	HSPB7	0.9581363253687345	black	black
CACNG1	HJV	0.9580910182612815	black	black
HHATL	MIR1-1HG	0.9580623897622527	black	black
CAV3	MYL1	0.958025518838758	black	black
AC244102.4	MAGEA6	0.9580049205160642	mediumpurple3	mediumpurple3
CAV3	STYXL2	0.9579596310119047	black	black
ACTC1	ATP1B4	0.9579464724913255	black	black
LMOD3	MYOZ2	0.9579133149162978	black	black
ATP1B4	CSRP3	0.9578918431994863	black	black
CD84	NCKAP1L	0.9578211397591391	blue	blue
MYPN	NRAP	0.9578151704710611	black	black
ATP1B4	HJV	0.9577936857975192	black	black
AC091182.2	LINC01605	0.9577596476236931	lightcyan	lightcyan
ATP1B4	C10orf71	0.9577227938981938	black	black
C10orf71	TNNI1	0.9576915343424093	black	black
ARPP21	MYBPH	0.957669569633132	black	black
IKZF1	PTPRC	0.9576298781812219	blue	blue
APOBEC2	CHRND	0.9576189865237263	black	black
IGKC	MZB1	0.957601778847017	lightgreen	lightgreen
HSPB7	MYPN	0.9575971255365094	black	black
C10orf71	MYF6	0.9575804088998668	black	black
DDX3Y	NLGN4Y	0.9575605457240588	floralwhite	floralwhite
DDX3Y	TXLNGY	0.9575441776612703	floralwhite	floralwhite
TNNC1	TNNI1	0.9575424245213073	black	black
COL3A1	COL6A3	0.957525076607311	green	green
C10orf71	MYL1	0.957509305585778	black	black
AC068506.1	HJV	0.9574916822707307	black	black
APOBEC2	SMPX	0.9574810922931867	black	black
LMOD2	MYOT	0.9574806087851472	black	black
MYL1	TNNI1	0.9574720339551578	black	black
ARPP21	MYOG	0.9574617097464034	black	black
ACTA1	MYOZ2	0.9574339405828728	black	black
APOBEC2	HHATL	0.9574338749783806	black	black
APOBEC2	C10orf71	0.9574254732610188	black	black
LMOD3	NRAP	0.957410203269685	black	black
NRAP	SMPX	0.9574023160908471	black	black
CKM	LMOD3	0.9574001212388018	black	black
MYBPH	SMYD1	0.9573450867377015	black	black
CACNA1S	COX6A2	0.9573198478770509	black	black
MYBPH	MYH1	0.9573008787374668	black	black
CD74	HLA-DPB1	0.9572474242373294	blue	blue
CACNA1S	MYOT	0.9572406991699387	black	black
MYLPF	SMPX	0.9572099200942334	black	black
SMYD1	UNC45B	0.9572014199694624	black	black
HHATL	MYF6	0.9571971539514055	black	black
KLHL40	TNNC1	0.9571912302838633	black	black
MYBPH	MYLPF	0.9571878718694182	black	black
APOBEC2	MYPN	0.957177735293413	black	black
CASQ2	SMPX	0.9571444344070782	black	black
DES	SLN	0.9571310911578922	black	black
ACTA1	HRC	0.9570444760507041	black	black
CACNA1S	SMPX	0.9570177706054445	black	black
CHRNA1	CHRND	0.9570078552277778	black	black
CCR5	SASH3	0.9570062381195078	blue	blue
MYOZ2	SMPX	0.9569753644690954	black	black
C10orf71	SLN	0.956935470170606	black	black
CAV3	HRC	0.9569173102311433	black	black
CHRND	MYH1	0.9569105166296892	black	black
HJV	HSPB7	0.9569094367051123	black	black
CSRP3	NMRK2	0.9568937766548458	black	black
ATP1A2	SMYD1	0.9568209613523189	black	black
ARPP21	HJV	0.9568181652589759	black	black
MYF6	MYH1	0.9568176484676206	black	black
SOX21	SOX21-AS1	0.9567963742862768	turquoise	turquoise
ACTN2	MYH7	0.9567465301540168	black	black
CACNA1S	NMRK2	0.9567366117353179	black	black
MYL2	TCAP	0.9567141782755514	black	black
COX6A2	TNNC1	0.956706305649935	black	black
HHATL	STYXL2	0.956694287948303	black	black
MYPN	PPP1R3A	0.9566920814005919	black	black
CHRND	TNNI1	0.9566909015424334	black	black
ATP1A2	LMOD2	0.9566325828731257	black	black
MYOT	TTN	0.9566207761456785	black	black
CACNG1	MYBPH	0.9566172164606231	black	black
MYF6	SLN	0.9566020288837347	black	black
CACNG1	HSPB7	0.9565066544231824	black	black
ACTN2	CKM	0.9565055666829265	black	black
KLHL41	NMRK2	0.9564885182918099	black	black
ACTC1	MYH1	0.9564580405036739	black	black
KLHL41	XIRP2	0.9564479020596433	black	black
CKM	HSPB7	0.9564405997949605	black	black
SPI1	TYROBP	0.9564219241449018	blue	blue
CACNG1	KLHL40	0.95640561859073	black	black
ACTN2	NMRK2	0.9563835890819061	black	black
CSRP3	XIRP2	0.9563485362033834	black	black
CD2	CD3G	0.9563355141103794	blue	blue
ATP1B4	MYLPF	0.9563154412192065	black	black
TCAP	XIRP2	0.9562869588011035	black	black
C10orf71	HHATL	0.9562484576270439	black	black
DES	LMOD3	0.9562173793166883	black	black
AC068506.1	HHATL	0.9562050353002498	black	black
KLHL40	MYL2	0.9562025585300432	black	black
MYL2	TNNI1	0.9561623939649806	black	black
LMOD2	TTN	0.9561611797165792	black	black
TCAP	TNNI1	0.9561467546828454	black	black
STAC3	TMOD4	0.9561067912927201	black	black
COX6A2	NMRK2	0.956103694511661	black	black
ATP1B4	SMPX	0.9561006830261521	black	black
CHRND	MYOG	0.9560801100514051	black	black
ACTA1	HSPB7	0.956059291649213	black	black
STYXL2	TRDN	0.9560209060534622	black	black
ACTN2	COX6A2	0.9559737732053534	black	black
ACTN2	ATP1A2	0.9559313026475916	black	black
C10orf71	CHRND	0.9559201823068496	black	black
ACTA1	ATP1B4	0.9559142650083031	black	black
ACTC1	CHRND	0.9559032609073019	black	black
MYF6	TNNI1	0.9558910666366437	black	black
APOBEC2	STYXL2	0.9558835078028968	black	black
CCR5	ITGAL	0.9558472381515912	blue	blue
CKM	TNNC1	0.9558111110443134	black	black
CHRND	PPP1R27	0.9557955878235858	black	black
ATP1A2	COX6A2	0.9557561766575262	black	black
CASQ2	LMOD2	0.9557013750658908	black	black
STYXL2	TCAP	0.9555843310291282	black	black
APOBEC2	NMRK2	0.955578725985877	black	black
MYL1	TCAP	0.955561755308577	black	black
CAV3	HJV	0.9555528573570404	black	black
CHRND	MYBPH	0.9554955806061747	black	black
ARPP21	HRC	0.9554408170643566	black	black
ACTN2	MYBPH	0.9553919719597798	black	black
CASQ2	KLHL41	0.9553380120336252	black	black
ACTC1	ARPP21	0.9552568100175468	black	black
C10orf71	MYH2	0.9551969127161246	black	black
MYH2	TCAP	0.9551920018753685	black	black
AC007342.5	AC007342.9	0.9551722688174485	grey60	grey60
HLA-DPA1	HLA-DRA	0.9551565830585999	blue	blue
HHATL	PPP1R3A	0.9551135882012457	black	black
MYOZ1	MYOZ2	0.9550915863009368	black	black
HJV	NRAP	0.9550310324701089	black	black
CYBB	NCKAP1L	0.9550309152917383	blue	blue
ACTC1	CAV3	0.9550104244830455	black	black
CACNA1S	CKM	0.9549030944352567	black	black
SLN	TNNC1	0.9548635025663799	black	black
ATP1A2	PPP1R3A	0.95480678708372	black	black
LCE3D	LCE3E	0.9547872339358752	pink	pink
LMOD3	PPP1R27	0.9547500968439032	black	black
HSPB7	STYXL2	0.9547125613309105	black	black
CKM	KLHL41	0.9546718159064241	black	black
MYF6	NMRK2	0.9546555980419309	black	black
SMYD1	TCAP	0.9546374929087627	black	black
DES	TNNC1	0.9546028826919892	black	black
CACNA1S	TRDN	0.9545920411355052	black	black
CACNG1	NMRK2	0.9545415074658182	black	black
ATP1A2	HHATL	0.9544975176966043	black	black
KLHL40	STYXL2	0.9544950081145029	black	black
ACTA1	APOBEC2	0.954472084579651	black	black
APOBEC2	TNNI1	0.9544565685178862	black	black
CACNA1S	TCAP	0.954344698848515	black	black
PPP1R3A	TTN	0.9543155640808343	black	black
MYOZ2	TNNC1	0.9542877070280977	black	black
MYL2	XIRP2	0.9542270692885844	black	black
TCAP	TNNC1	0.9542219499519239	black	black
COX6A2	SMYD1	0.9542063024197134	black	black
TXLNGY	USP9Y	0.9541992606280356	floralwhite	floralwhite
HSPB7	MYL1	0.954191447775918	black	black
CSRP3	HHATL	0.9540931791700192	black	black
ASB5	TNNI1	0.9540758215938293	black	black
AC068506.1	APOBEC2	0.9540703289658695	black	black
NMRK2	STYXL2	0.9540690583424715	black	black
ACTC1	STYXL2	0.9540397996268974	black	black
HJV	MYOZ1	0.9540357292658159	black	black
ANKRD1	MYLPF	0.9539555205033696	black	black
