Gene,Mean,Variance,CV
ENSG00000100764.14,8.601354649928512,0.8387661045232199,0.10647645443245743
ENSG00000100767.17,7.475391277869071,4.510393439166938,0.2841013411646921
ENSG00000100784.12,6.732053126557001,0.8088069166506153,0.13359029032523614
ENSG00000100796.17,11.002327300770308,0.20796629747214962,0.041448795989779824
ENSG00000100802.15,8.26090870959291,0.3016179061549811,0.06648148894596645
ENSG00000100804.19,12.217451239946874,0.2538549549406539,0.04123938764721594
ENSG00000100811.14,11.793615410974812,0.12127999054980063,0.02952892357866536
ENSG00000100813.14,11.755026988142342,0.15355438131888716,0.03333553854911612
ENSG00000100814.18,10.198414425117726,1.4823590864393255,0.11938343038414394
ENSG00000100815.12,10.064597756309496,0.3487277351217509,0.0586741520723667
ENSG00000100823.12,12.121527385188875,0.22730553643361384,0.039332147572573986
ENSG00000100836.10,8.223200992379068,0.843055621190341,0.11165732233088432
ENSG00000100842.13,4.759665769756215,1.9755753593308378,0.2953046892375556
ENSG00000100852.13,8.620798487708353,1.7118269483623743,0.15176877752233411
ENSG00000100865.15,10.031629861238068,0.439304952563428,0.06607110195033888
ENSG00000100867.15,8.748401448932178,10.96468047227054,0.37850296531330974
ENSG00000100883.13,11.04425061927571,0.24305743490384335,0.04463938492436384
ENSG00000100884.9,3.4662286273492846,1.450376654836302,0.3474427034702254
ENSG00000100888.15,10.670670326069093,0.19423752474807168,0.04130235974329118
ENSG00000100889.12,13.473029068262047,3.0274796488188347,0.1291443377111339
ENSG00000100890.16,6.9754177979012395,0.2740341722465381,0.07504679270001316
ENSG00000100897.18,12.160709943030563,0.8391405538133855,0.07532834488750899
ENSG00000100902.11,6.778737657283,0.6025948421573276,0.11451539576532255
ENSG00000100906.11,12.21422260719536,0.5187726152282202,0.058968854364060214
ENSG00000100908.14,8.856934858905229,0.6639254820315557,0.09199754078650473
ENSG00000100911.16,12.754292611268223,0.7050145017052002,0.06583284878072215
ENSG00000100916.14,7.646448626062196,0.22573619554302735,0.0621356471163496
ENSG00000100918.13,6.910203167921199,0.9312566735414357,0.13965094622711757
ENSG00000100926.15,6.80142780314135,0.2666924173455052,0.07592857365059334
ENSG00000100934.15,11.343996752226989,0.5948133779913445,0.0679867483484402
ENSG00000100938.18,10.993540733984334,0.19267526541835572,0.03992780106336828
ENSG00000100941.9,11.064203964130698,0.3069419145713656,0.05007349737086657
ENSG00000100949.14,10.001624063636804,0.29758113402593084,0.05454213961955695
ENSG00000100968.14,7.681306175476943,1.689932317594254,0.16923866050218023
ENSG00000100979.15,9.453977649403582,2.78011848711445,0.17636690009567624
ENSG00000100982.12,10.37299338247551,0.14145138359737233,0.0362576372044656
ENSG00000100983.12,11.332124326286877,0.38076430626777213,0.05445236968498985
ENSG00000100985.7,7.631641995971618,4.410953822366351,0.27519989661381816
ENSG00000100987.15,3.8435323484892283,1.9659397970424985,0.3647997790031424
ENSG00000100991.12,11.817574373332816,0.1214278326619044,0.02948701274742882
ENSG00000100994.12,11.58131557195965,0.7737196512871154,0.07595107376404493
ENSG00000100997.20,11.71109937969614,0.39673698137744584,0.05378407154029341
ENSG00000101000.6,7.166849703083331,1.413228733834314,0.16587385291265624
ENSG00000101003.10,8.235326997236438,1.5942740739192809,0.15332064711696466
ENSG00000101004.15,9.044222611391294,1.3165399362118573,0.12686615434582726
ENSG00000101017.14,9.31727886933978,1.7313261116217478,0.14122134559653296
ENSG00000101019.22,10.382297958570538,0.23561123983636056,0.046752465014395575
ENSG00000101040.19,9.910790185539854,0.47505034379929106,0.06954429939130007
ENSG00000101049.17,10.35092964615481,1.652688062327072,0.12419842495812139
ENSG00000101052.13,8.94086120765053,0.3862581747299147,0.06951195270579244
ENSG00000101057.16,9.046453942817035,3.606393551073156,0.20992210973995418
ENSG00000101074.5,2.8410329139487795,0.7525978020220463,0.30535512091476885
ENSG00000101076.17,13.312552253703318,2.5522422254449277,0.12000507683097054
ENSG00000101079.21,10.053062877538922,0.5085885799931407,0.07093897404485065
ENSG00000101082.14,5.666678673338054,1.3603482943790735,0.20582421672861234
ENSG00000101084.18,5.725454184247768,1.2883592883730093,0.19824788039607436
ENSG00000101096.20,8.836698805472883,1.1207624447070448,0.11980273490258195
ENSG00000101098.13,2.4012577087007414,0.6076651334325012,0.3246335395530239
ENSG00000101104.13,9.540420603679722,1.2991454837378578,0.1194706900961656
ENSG00000101109.12,10.035562694934281,0.2111102816978928,0.045783918961315
ENSG00000101115.13,5.569778279643731,4.772411143944029,0.3922211586979897
ENSG00000101126.18,11.368326813088279,0.20871774119011205,0.04018677292964729
ENSG00000101132.10,9.026019186015382,0.6228467997591219,0.08743682241912772
ENSG00000101134.12,5.379069944395116,1.488735134970553,0.22683054046143894
ENSG00000101138.12,10.206689537234121,0.2092313887706471,0.04481552764617831
ENSG00000101144.13,3.250140002365333,3.56161137407669,0.5806590454580436
ENSG00000101146.13,10.055179943174865,0.2354999349975713,0.04826202595188285
ENSG00000101150.18,11.699177110205964,0.3077739359267819,0.04741989670010087
ENSG00000101152.11,11.324117930840588,0.34567263137159937,0.05191921462222525
ENSG00000101158.15,11.833351266535487,0.26389177635030825,0.04341153793073893
ENSG00000101160.14,13.608502348116428,0.5777291015069683,0.05585367963445607
ENSG00000101161.8,12.436934879925788,0.32250905003936803,0.04566227998476745
ENSG00000101162.4,3.506278140286638,0.5403233079428722,0.20964305845095807
ENSG00000101166.16,10.7656087323298,0.23299510726665906,0.044836820595960225
ENSG00000101181.17,10.861555820859548,0.4062047160899388,0.05867869438772241
ENSG00000101182.15,12.833966315032828,0.3774453145152245,0.04787029724586626
ENSG00000101187.16,5.1793158569185715,2.9922486225806306,0.3339845991580519
ENSG00000101188.5,3.536101100719323,1.4915128128926962,0.34537334818297283
ENSG00000101189.7,9.693565567053122,0.3529996262435667,0.06129196862123798
ENSG00000101190.13,8.576766143566132,0.3512080448771149,0.06909691522173017
ENSG00000101191.17,10.88870055896513,0.23944291033286763,0.044939158563165785
ENSG00000101193.8,11.501132719638129,0.25061286631431684,0.043527233653611476
