Project,Gene,P_Value,N_Patients,Significant
TCGA-CESC,DNAJC19,0.025403253605650433,291,TRUE
TCGA-CESC,DNLZ,0.950996329771493,291,FALSE
TCGA-CHOL,HSP90AA1,0.4703255290784243,36,FALSE
TCGA-CHOL,HSP90AB1,0.16053516852357375,36,FALSE
TCGA-CHOL,HSCB,0.2590753544695976,36,FALSE
TCGA-CHOL,DNAJA3,0.6788234318176848,36,FALSE
TCGA-CHOL,DNAJB6,0.8259076199271466,36,FALSE
TCGA-CHOL,HSPB1,0.7779623731549579,36,FALSE
TCGA-CHOL,GRPEL1,0.7899442456791997,36,FALSE
TCGA-CHOL,CRYAB,0.2971202823074872,36,FALSE
TCGA-CHOL,HSPA9,0.1514180801735171,36,FALSE
TCGA-CHOL,HSPE1,0.32012372078558604,36,FALSE
TCGA-CHOL,DNAJC15,0.22575386788789442,36,FALSE
TCGA-CHOL,TRAP1,0.185650692211068,36,FALSE
TCGA-CHOL,DNAJB2,0.34945135125949367,36,FALSE
TCGA-CHOL,HSPD1,0.7900138440923634,36,FALSE
TCGA-CHOL,CCT6A,0.42827714590428645,36,FALSE
TCGA-CHOL,HSPB8,0.12426251396418153,36,FALSE
TCGA-CHOL,GRPEL2,0.4422128243165905,36,FALSE
TCGA-CHOL,CLPX,0.4250058380163835,36,FALSE
TCGA-CHOL,HSPB7,0.4764595817692753,36,FALSE
TCGA-CHOL,SDHAF1,0.5639089245710418,36,FALSE
TCGA-CHOL,DNAJC19,0.10251853416645917,36,FALSE
TCGA-CHOL,DNLZ,0.9189645864765569,36,FALSE
TCGA-COAD,HSP90AA1,0.8918195690434375,434,FALSE
TCGA-COAD,HSP90AB1,0.5173984085287264,434,FALSE
TCGA-COAD,HSCB,0.6342276672821818,434,FALSE
TCGA-COAD,DNAJA3,0.13664400492021744,434,FALSE
TCGA-COAD,DNAJB6,0.05222868158756255,434,FALSE
TCGA-COAD,HSPB1,0.13907314566530726,434,FALSE
TCGA-COAD,GRPEL1,0.33354122596682223,434,FALSE
TCGA-COAD,CRYAB,0.050705369611353635,434,FALSE
TCGA-COAD,HSPA9,0.29211372030768223,434,FALSE
TCGA-COAD,HSPE1,0.5352204645657149,434,FALSE
TCGA-COAD,DNAJC15,0.05274590317961292,434,FALSE
TCGA-COAD,TRAP1,0.011918856824255641,434,TRUE
TCGA-COAD,DNAJB2,0.017440177563229575,434,TRUE
TCGA-COAD,HSPD1,0.4932085648953163,434,FALSE
TCGA-COAD,CCT6A,0.5045746586233918,434,FALSE
TCGA-COAD,HSPB8,0.40473702643700027,434,FALSE
TCGA-COAD,GRPEL2,0.07773515122335084,434,FALSE
TCGA-COAD,CLPX,0.7898944552018277,434,FALSE
TCGA-COAD,HSPB7,0.03892513793935781,434,TRUE
TCGA-COAD,SDHAF1,0.790450005232502,434,FALSE
TCGA-COAD,DNAJC19,0.35824896260145955,434,FALSE
TCGA-COAD,DNLZ,0.1532862208755439,434,FALSE
TCGA-DLBC,HSP90AA1,0.8677463719137197,47,FALSE
TCGA-DLBC,HSP90AB1,0.09031677875014876,47,FALSE
TCGA-DLBC,HSCB,0.6454268299622601,47,FALSE
TCGA-DLBC,DNAJA3,0.7879869108679388,47,FALSE
TCGA-DLBC,DNAJB6,0.6949373174744911,47,FALSE
