gene_id,module
AC005180.1,green
AC005180.2,green
AC005224.2,lightyellow
AC005224.3,blue
AC005225.2,grey
AC005225.4,turquoise
AC005229.4,magenta
AC005256.1,grey
AC005261.2,royalblue
AC005261.5,grey
AC005264.1,turquoise
AC005280.1,pink
AC005281.1,grey
AC005291.2,green
AC005324.2,grey
AC005324.4,lightgreen
AC005329.1,grey
AC005329.3,yellow
AC005330.1,darkgreen
AC005332.2,brown
AC005332.3,grey60
AC005332.4,lightyellow
AC005332.5,brown
AC005332.7,lightyellow
AC005336.1,darkgrey
AC005336.2,saddlebrown
AC005336.3,grey
AC005355.1,saddlebrown
AC005355.2,brown
AC005383.1,midnightblue
AC005392.2,grey
AC005393.1,brown
AC005400.1,darkred
AC005476.2,grey
AC005479.1,red
AC005479.2,brown4
AC005481.1,green
AC005498.2,royalblue
AC005498.3,royalblue
AC005519.1,yellow
AC005520.2,magenta
AC005523.1,darkgreen
AC005532.1,grey
AC005534.1,darkorange
AC005537.1,darkturquoise
AC005550.2,pink
AC005551.1,pink
AC005586.1,turquoise
AC005606.2,turquoise
AC005609.5,sienna3
AC005618.1,sienna3
AC005618.4,turquoise
AC005622.1,skyblue
AC005632.3,lightyellow
AC005674.1,brown
AC005682.1,red
AC005695.1,turquoise
AC005696.1,grey
AC005696.3,brown
AC005696.4,magenta
AC005699.1,steelblue
AC005722.3,grey
AC005722.4,darkgrey
AC005725.1,grey
AC005726.1,grey
AC005730.2,grey
AC005740.4,brown
AC005740.5,grey
AC005746.1,yellow
AC005753.1,cyan
AC005753.2,cyan
AC005753.3,cyan
AC005759.1,red
AC005776.2,brown
AC005785.1,brown
AC005790.1,yellowgreen
AC005796.1,turquoise
AC005821.1,purple
AC005828.5,grey
AC005829.1,darkorange
AC005829.2,grey
AC005831.1,turquoise
AC005837.1,grey
AC005838.2,white
AC005840.2,brown
AC005840.3,grey
AC005840.4,blue
AC005863.1,paleturquoise
AC005865.1,darkgreen
AC005865.2,purple
AC005899.6,lightyellow
AC005899.7,brown
AC005899.8,midnightblue
AC005906.2,green
AC005911.1,darkred
AC005912.1,greenyellow
AC005914.1,turquoise
AC005920.1,pink
AC005962.1,lightgreen
AC005962.2,ivory
AC005972.3,white
AC005993.1,grey
AC006001.2,lightcyan
AC006008.1,yellow
AC006017.1,yellow
AC006026.3,grey
AC006033.2,blue
AC006042.1,turquoise
AC006042.2,blue
AC006058.1,brown
AC006058.3,grey
AC006058.4,grey
AC006059.1,yellow
AC006059.5,grey
AC006062.1,green
AC006064.2,blue
AC006064.3,turquoise
AC006077.2,black
AC006111.2,brown
AC006111.3,grey
AC006116.5,turquoise
AC006116.9,royalblue
AC006128.1,yellow
AC006148.1,pink
AC006160.1,blue
AC006197.2,darkmagenta
AC006206.2,turquoise
AC006213.1,royalblue
AC006213.2,sienna3
AC006213.3,sienna3
AC006213.4,royalblue
AC006213.5,royalblue
AC006213.6,grey
AC006230.1,steelblue
AC006237.1,cyan
AC006238.1,lightcyan
AC006238.2,cyan
AC006252.1,darkred
AC006254.1,blue
AC006262.1,white
AC006262.2,white
AC006262.3,grey
AC006262.4,grey
AC006270.1,lightgreen
AC006272.1,blue
AC006273.1,grey
AC006277.1,brown
AC006299.1,grey
AC006357.1,grey
AC006369.1,blue
AC006372.1,orange
AC006372.2,brown
AC006378.1,yellow
AC006435.2,yellow
AC006449.3,grey
AC006449.5,blue
AC006449.6,magenta
AC006450.2,lightyellow
AC006450.3,grey
AC006452.1,yellow
AC006460.1,grey
AC006460.2,saddlebrown
AC006480.2,brown
AC006483.1,grey60
AC006487.1,grey
AC006504.1,royalblue
AC006504.3,royalblue
AC006504.5,royalblue
