gene_id,module
AC010491.2,purple
AC010501.2,grey
AC010503.4,midnightblue
AC010519.1,purple
AC010524.1,salmon
AC010531.5,black
AC010531.6,lightyellow
AC010536.1,brown
AC010536.2,black
AC010538.1,violet
AC010542.5,brown
AC010595.1,magenta
AC010608.2,magenta
AC010615.1,darkgreen
AC010615.2,darkgreen
AC010618.3,midnightblue
AC010623.1,tan
AC010624.1,grey
AC010624.2,salmon
AC010624.3,black
AC010624.5,grey
AC010636.1,yellow
AC010641.2,antiquewhite4
AC010643.1,salmon
AC010654.1,lightyellow
AC010677.1,orangered4
AC010680.2,grey
AC010719.1,brown
AC010729.2,royalblue
AC010731.1,grey60
AC010735.1,grey60
AC010735.2,grey60
AC010737.1,bisque4
AC010745.2,green
AC010754.1,purple
AC010761.1,brown
AC010761.3,black
AC010761.4,brown
AC010789.1,grey
AC010789.2,ivory
AC010809.2,brown
AC010834.2,midnightblue
AC010834.3,black
AC010864.1,cyan
AC010872.1,red
AC010883.2,turquoise
AC010889.1,bisque4
AC010889.2,bisque4
AC010894.1,brown
AC010894.2,grey
AC010894.4,turquoise
AC010896.1,yellow
AC010904.2,lightgreen
AC010913.1,lightyellow
AC010931.1,blue
AC010969.1,lightcyan1
AC010969.2,purple
AC010969.3,turquoise
AC010970.1,thistle1
AC010973.1,black
AC010973.2,brown
AC010976.1,black
AC010976.2,blue
AC010980.1,salmon
AC010996.1,violet
AC010997.4,brown
AC010998.3,yellow
AC011005.1,darkturquoise
AC011005.4,brown
AC011008.2,salmon
AC011029.1,magenta
AC011092.3,pink
AC011124.2,grey
AC011199.1,brown
AC011239.1,sienna3
AC011239.2,blue
AC011246.1,yellowgreen
AC011287.1,magenta
AC011287.2,magenta
AC011290.2,brown
AC011294.1,grey60
AC011297.1,bisque4
AC011298.1,purple
AC011306.1,magenta
AC011317.1,darkmagenta
AC011322.1,grey
AC011330.1,grey
AC011330.2,tan
AC011337.1,pink
AC011346.1,magenta
AC011352.1,grey
AC011352.3,grey
AC011363.1,magenta
AC011369.1,pink
AC011369.2,pink
AC011370.1,magenta
AC011374.1,pink
AC011379.1,grey
AC011379.2,black
AC011388.1,saddlebrown
AC011405.1,magenta
AC011407.1,blue
AC011416.3,darkred
AC011416.4,darkred
AC011442.1,black
AC011444.1,brown
AC011445.1,lightyellow
AC011447.2,yellow
AC011447.3,yellow
AC011447.6,darkgreen
AC011447.7,darkgreen
AC011448.1,brown
AC011450.1,salmon
AC011451.2,black
AC011451.3,darkgreen
AC011451.4,brown
AC011453.1,magenta
AC011455.8,yellow
AC011461.1,brown
AC011462.4,brown
AC011462.5,grey
AC011466.4,grey
AC011468.1,coral1
AC011468.4,purple
AC011468.5,green
AC011472.1,brown
AC011472.2,pink
AC011472.4,red
AC011476.2,greenyellow
AC011476.3,grey
AC011477.1,darkgreen
AC011477.2,darkgreen
AC011477.6,royalblue
AC011479.2,black
AC011479.3,grey
AC011481.1,brown
AC011481.3,grey
AC011483.1,pink
AC011484.1,turquoise
AC011487.1,yellow
AC011487.2,yellow
AC011495.1,darkturquoise
AC011498.4,yellow
AC011498.6,brown
AC011498.7,brown
AC011503.1,yellow
AC011503.2,darkgreen
AC011503.3,darkgreen
AC011504.1,cyan
AC011511.5,turquoise
AC011523.1,cyan
AC011586.2,magenta
AC011601.1,pink
AC011611.2,pink
AC011632.1,magenta
AC011676.1,darkmagenta
AC011676.5,black
AC011700.1,brown
AC011747.1,sienna3
AC011751.1,bisque4
AC011767.1,grey
AC011773.1,grey
AC011773.3,grey
AC011773.4,green
AC011815.1,grey
AC011815.2,brown
AC011815.3,black
AC011816.2,lightgreen
AC011825.2,black
AC011825.4,lightyellow
AC011899.2,turquoise
AC011912.1,blue
AC011921.1,brown
AC011933.3,lightyellow
AC011944.1,purple
AC011997.1,magenta
AC012020.1,yellow
AC012063.1,grey60
AC012065.2,greenyellow
AC012073.1,red
AC012076.1,red
AC012081.2,pink
AC012085.1,green
AC012085.2,blue
AC012101.2,blue
AC012103.1,lightcyan
AC012123.1,lightgreen
AC012146.2,salmon
AC012150.1,darkgreen
AC012158.1,cyan
AC012174.1,grey
AC012181.1,brown
AC012184.3,lightyellow
AC012186.2,yellow
AC012213.1,yellow
AC012213.4,grey
AC012236.1,turquoise
AC012254.3,darkolivegreen
AC012254.5,brown
AC012291.3,brown
AC012306.3,lightyellow
AC012307.1,yellow
AC012313.1,grey
AC012313.10,salmon
AC012313.2,salmon
AC012313.3,salmon
AC012313.4,greenyellow
AC012313.5,coral1
AC012313.6,floralwhite
AC012313.8,brown
AC012313.9,brown
AC012317.1,red
AC012317.2,red
AC012339.1,lightcyan
AC012354.1,green
AC012354.2,green
AC012354.4,green
AC012354.7,green
AC012358.1,black
AC012358.2,grey
AC012360.1,lightyellow
AC012360.2,turquoise
AC012360.3,green
AC012368.1,turquoise
AC012368.2,grey
AC012378.2,royalblue
AC012409.1,yellow
AC012409.3,blue
AC012414.2,grey
AC012414.4,grey60
AC012442.1,grey
AC012442.2,cyan
AC012443.2,black
AC012447.1,midnightblue
AC012459.1,black
AC012462.1,purple
AC012464.1,darkolivegreen
AC012464.3,brown
AC012467.1,darkred
AC012467.2,green
AC012485.1,cyan
AC012485.3,black
AC012494.1,steelblue
AC012501.2,grey60
AC012511.1,yellow
AC012511.2,darkred
AC012513.3,tan
AC012531.1,salmon
AC012569.1,grey
AC012574.2,midnightblue
AC012615.1,lightyellow
AC012615.6,black
AC012618.1,darkturquoise
AC012618.2,black
AC012618.3,darkgreen
AC012625.1,magenta
AC012640.1,thistle1
AC012640.2,cyan
AC012640.4,midnightblue
AC012640.5,midnightblue
AC012645.1,lightyellow
AC012645.2,grey
AC012645.3,turquoise
AC012645.4,darkorange2
