chaperone_ensembl,chaperone_gene_name,chaperone_uniprot,interactor_ensembl,interactor_gene_name,interactor_uniprot
ENSG00000146731,CCT6A,P40227,ENSG00000139990,DCAF5,Q96JK2
ENSG00000146731,CCT6A,P40227,ENSG00000284796,DCAF11,Q8TEB1
ENSG00000146731,CCT6A,P40227,ENSG00000165516,KLHDC2,Q9Y2U9
ENSG00000146731,CCT6A,P40227,ENSG00000163517,HDAC11,Q96DB2
ENSG00000146731,CCT6A,P40227,ENSG00000051596,THOC3,Q96J01
ENSG00000146731,CCT6A,P40227,ENSG00000032389,EIPR1,Q53HC9
ENSG00000146731,CCT6A,P40227,ENSG00000166596,CFAP52,Q8N1V2
ENSG00000146731,CCT6A,P40227,ENSG00000123728,RAP2C,Q9Y3L5
ENSG00000146731,CCT6A,P40227,ENSG00000163820,FYCO1,Q9BQS8
ENSG00000146731,CCT6A,P40227,ENSG00000107829,FBXW4,P57775
ENSG00000146731,CCT6A,P40227,ENSG00000037042,TUBG2,Q9NRH3
ENSG00000146731,CCT6A,P40227,ENSG00000112357,PEX7,O00628
ENSG00000146731,CCT6A,P40227,ENSG00000171819,ANGPTL7,O43827
ENSG00000146731,CCT6A,P40227,ENSG00000138131,LOXL4,Q96JB6
ENSG00000146731,CCT6A,P40227,ENSG00000160208,RRP1B,Q14684
ENSG00000146731,CCT6A,P40227,ENSG00000187742,SECISBP2,Q96T21
ENSG00000146731,CCT6A,P40227,ENSG00000163904,SENP2,Q9HC62
ENSG00000146731,CCT6A,P40227,ENSG00000145982,FARS2,O95363
ENSG00000146731,CCT6A,P40227,ENSG00000038210,PI4K2B,Q8TCG2
ENSG00000146731,CCT6A,P40227,ENSG00000206562,METTL6,Q8TCB7
ENSG00000146731,CCT6A,P40227,ENSG00000119333,DYNC2I2,Q96EX3
ENSG00000146731,CCT6A,P40227,ENSG00000123154,WDR83,Q9BRX9
ENSG00000146731,CCT6A,P40227,ENSG00000081692,JMJD4,Q9H9V9
ENSG00000146731,CCT6A,P40227,ENSG00000243789,JMJD7,P0C870
ENSG00000146731,CCT6A,P40227,ENSG00000144021,CIAO1,O76071
ENSG00000146731,CCT6A,P40227,ENSG00000074211,PPP2R2C,Q9Y2T4
ENSG00000146731,CCT6A,P40227,ENSG00000090372,STRN4,Q9NRL3
ENSG00000146731,CCT6A,P40227,ENSG00000281766,RYBP,Q8N488
ENSG00000146731,CCT6A,P40227,ENSG00000100599,RIN3,Q8TB24
ENSG00000146731,CCT6A,P40227,ENSG00000149923,PPP4C,P60510
ENSG00000146731,CCT6A,P40227,ENSG00000089289,IGBP1,P78318
ENSG00000146731,CCT6A,P40227,ENSG00000162526,TSSK3,Q96PN8
ENSG00000146731,CCT6A,P40227,ENSG00000115592,PRKAG3,Q9UGI9
ENSG00000146731,CCT6A,P40227,ENSG00000169302,STK32A,Q8WU08
ENSG00000146731,CCT6A,P40227,ENSG00000082146,STRADB,Q9C0K7
ENSG00000146731,CCT6A,P40227,ENSG00000141639,MAPK4,P31152
ENSG00000146731,CCT6A,P40227,ENSG00000117266,CDK18,Q07002
ENSG00000146731,CCT6A,P40227,ENSG00000285369,BLK,P51451
ENSG00000146731,CCT6A,P40227,ENSG00000152256,PDK1,Q15118
ENSG00000146731,CCT6A,P40227,ENSG00000067992,PDK3,Q15120
ENSG00000146731,CCT6A,P40227,ENSG00000004799,PDK4,Q16654
ENSG00000146731,CCT6A,P40227,ENSG00000162878,PKDCC,Q504Y2
ENSG00000146731,CCT6A,P40227,ENSG00000115539,PDCL3,Q9H2J4
ENSG00000146731,CCT6A,P40227,ENSG00000142330,CAPN10,Q9HC96
ENSG00000146731,CCT6A,P40227,ENSG00000133627,ACTR3B,Q9P1U1
ENSG00000146731,CCT6A,P40227,ENSG00000078814,MYH7B,A7E2Y1
ENSG00000146731,CCT6A,P40227,ENSG00000164088,PPM1M,Q96MI6
ENSG00000146731,CCT6A,P40227,ENSG00000167123,CERCAM,Q5T4B2
ENSG00000146731,CCT6A,P40227,ENSG00000186094,AGBL4,Q5VU57
ENSG00000146731,CCT6A,P40227,ENSG00000159069,FBXW5,Q969U6
ENSG00000146731,CCT6A,P40227,ENSG00000075826,SEC31B,Q9NQW1
ENSG00000146731,CCT6A,P40227,ENSG00000214021,TTLL3,Q9Y4R7
ENSG00000146731,CCT6A,P40227,ENSG00000171595,DNAI2,Q9GZS0
ENSG00000146731,CCT6A,P40227,ENSG00000292140,RAB6C,Q9H0N0
ENSG00000146731,CCT6A,P40227,ENSG00000154473,BUB3,O43684
ENSG00000146731,CCT6A,P40227,ENSG00000174013,FBXO45,P0C2W1
ENSG00000146731,CCT6A,P40227,ENSG00000112578,BYSL,Q13895
ENSG00000146731,CCT6A,P40227,ENSG00000152818,UTRN,P46939
ENSG00000146731,CCT6A,P40227,ENSG00000100503,NIN,Q8N4C6
ENSG00000146731,CCT6A,P40227,ENSG00000291834,PFDN5,Q99471
ENSG00000146731,CCT6A,P40227,ENSG00000185721,DRG1,Q9Y295
ENSG00000146731,CCT6A,P40227,ENSG00000136940,PDCL,Q13371
ENSG00000146731,CCT6A,P40227,ENSG00000065548,ZC3H15,Q8WU90
ENSG00000146731,CCT6A,P40227,ENSG00000077549,CAPZB,P47756
ENSG00000146731,CCT6A,P40227,ENSG00000167721,TSR1,Q2NL82
ENSG00000146731,CCT6A,P40227,ENSG00000132716,DCAF8,Q5TAQ9
ENSG00000146731,CCT6A,P40227,ENSG00000145375,AFG2A,Q8NB90
ENSG00000146731,CCT6A,P40227,ENSG00000119953,SMNDC1,O75940
ENSG00000146731,CCT6A,P40227,ENSG00000132763,MMACHC,Q9Y4U1
ENSG00000146731,CCT6A,P40227,ENSG00000131044,TTLL9,Q3SXZ7
ENSG00000146731,CCT6A,P40227,ENSG00000100253,MIOX,Q9UGB7
ENSG00000146731,CCT6A,P40227,ENSG00000106003,LFNG,Q8NES3
ENSG00000146731,CCT6A,P40227,ENSG00000138107,ACTR1A,P61163
ENSG00000146731,CCT6A,P40227,ENSG00000291597,ACTR1B,P42025
ENSG00000146731,CCT6A,P40227,ENSG00000129968,ABHD17A,Q96GS6
ENSG00000146731,CCT6A,P40227,ENSG00000166166,TRMT61A,Q96FX7
ENSG00000146731,CCT6A,P40227,ENSG00000140623,SEPTIN12,Q8IYM1
ENSG00000146731,CCT6A,P40227,ENSG00000099910,KLHL22,Q53GT1
ENSG00000146731,CCT6A,P40227,ENSG00000141401,IMPA2,O14732
ENSG00000146731,CCT6A,P40227,ENSG00000086967,MYBPC2,Q14324
ENSG00000146731,CCT6A,P40227,ENSG00000111732,AICDA,Q9GZX7
ENSG00000146731,CCT6A,P40227,ENSG00000100395,L3MBTL2,Q969R5
ENSG00000146731,CCT6A,P40227,ENSG00000185619,PCGF3,Q3KNV8
ENSG00000146731,CCT6A,P40227,ENSG00000180628,PCGF5,Q86SE9
ENSG00000146731,CCT6A,P40227,ENSG00000156374,PCGF6,Q9BYE7
ENSG00000100209,HSCB,Q8IWL3,ENSG00000100209,HSCB,Q8IWL3
ENSG00000100209,HSCB,Q8IWL3,ENSG00000177674,AGTRAP,Q6RW13
ENSG00000146731,CCT6A,P40227,ENSG00000141499,WRAP53,Q9BUR4
ENSG00000146731,CCT6A,P40227,ENSG00000263528,IKBKE,Q14164
ENSG00000146731,CCT6A,P40227,ENSG00000101049,SGK2,Q9HBY8
ENSG00000146731,CCT6A,P40227,ENSG00000178093,TSSK6,Q9BXA6
ENSG00000146731,CCT6A,P40227,ENSG00000139350,NEDD1,Q8NHV4
ENSG00000146731,CCT6A,P40227,ENSG00000035681,NSMAF,Q92636
ENSG00000146731,CCT6A,P40227,ENSG00000168411,RFWD3,Q6PCD5
ENSG00000146731,CCT6A,P40227,ENSG00000115808,STRN,O43815
ENSG00000146731,CCT6A,P40227,ENSG00000196792,STRN3,Q13033
