chaperone_ensembl,chaperone_gene_name,chaperone_uniprot,interactor_ensembl,interactor_gene_name,interactor_uniprot
ENSG00000164284,GRPEL2,Q8TAA5,ENSG00000109519,GRPEL1,Q9HAV7
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000164284,GRPEL2,Q8TAA5
ENSG00000205138,SDHAF1,A6NFY7,ENSG00000113013,HSPA9,P38646
ENSG00000113013,HSPA9,P38646,ENSG00000205138,SDHAF1,A6NFY7
ENSG00000205138,SDHAF1,A6NFY7,ENSG00000100209,HSCB,Q8IWL3
ENSG00000100209,HSCB,Q8IWL3,ENSG00000205138,SDHAF1,A6NFY7
ENSG00000152137,HSPB8,Q9UJY1,ENSG00000173641,HSPB7,Q9UBY9
ENSG00000173641,HSPB7,Q9UBY9,ENSG00000152137,HSPB8,Q9UJY1
ENSG00000100209,HSCB,Q8IWL3,ENSG00000164284,GRPEL2,Q8TAA5
ENSG00000164284,GRPEL2,Q8TAA5,ENSG00000100209,HSCB,Q8IWL3
ENSG00000113013,HSPA9,P38646,ENSG00000205981,DNAJC19,Q96DA6
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000113013,HSPA9,P38646
ENSG00000113013,HSPA9,P38646,ENSG00000213221,DNLZ,Q5SXM8
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000113013,HSPA9,P38646
ENSG00000152137,HSPB8,Q9UJY1,ENSG00000109846,CRYAB,P02511
ENSG00000109846,CRYAB,P02511,ENSG00000152137,HSPB8,Q9UJY1
ENSG00000113013,HSPA9,P38646,ENSG00000109519,GRPEL1,Q9HAV7
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000113013,HSPA9,P38646
ENSG00000126602,TRAP1,Q12931,ENSG00000113013,HSPA9,P38646
ENSG00000113013,HSPA9,P38646,ENSG00000126602,TRAP1,Q12931
ENSG00000100209,HSCB,Q8IWL3,ENSG00000109519,GRPEL1,Q9HAV7
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000100209,HSCB,Q8IWL3
ENSG00000144381,HSPD1,P10809,ENSG00000115541,HSPE1,P61604
ENSG00000115541,HSPE1,P61604,ENSG00000144381,HSPD1,P10809
ENSG00000144381,HSPD1,P10809,ENSG00000166855,CLPX,O76031
ENSG00000166855,CLPX,O76031,ENSG00000144381,HSPD1,P10809
ENSG00000100209,HSCB,Q8IWL3,ENSG00000126602,TRAP1,Q12931
ENSG00000126602,TRAP1,Q12931,ENSG00000100209,HSCB,Q8IWL3
ENSG00000109846,CRYAB,P02511,ENSG00000106211,HSPB1,P04792
ENSG00000106211,HSPB1,P04792,ENSG00000109846,CRYAB,P02511
ENSG00000100209,HSCB,Q8IWL3,ENSG00000113013,HSPA9,P38646
ENSG00000113013,HSPA9,P38646,ENSG00000100209,HSCB,Q8IWL3
ENSG00000152137,HSPB8,Q9UJY1,ENSG00000106211,HSPB1,P04792
ENSG00000106211,HSPB1,P04792,ENSG00000152137,HSPB8,Q9UJY1
ENSG00000144381,HSPD1,P10809,ENSG00000276726,DNAJA3,Q96EY1
ENSG00000144381,HSPD1,P10809,ENSG00000113013,HSPA9,P38646
ENSG00000113013,HSPA9,P38646,ENSG00000144381,HSPD1,P10809
ENSG00000080824,HSP90AA1,P07900,ENSG00000096384,HSP90AB1,P08238
ENSG00000096384,HSP90AB1,P08238,ENSG00000080824,HSP90AA1,P07900
ENSG00000096384,HSP90AB1,P08238,ENSG00000106211,HSPB1,P04792
ENSG00000106211,HSPB1,P04792,ENSG00000096384,HSP90AB1,P08238
ENSG00000106211,HSPB1,P04792,ENSG00000080824,HSP90AA1,P07900
ENSG00000080824,HSP90AA1,P07900,ENSG00000106211,HSPB1,P04792
ENSG00000205138,SDHAF1,A6NFY7,ENSG00000117118,SDHB,P21912
ENSG00000205138,SDHAF1,A6NFY7,ENSG00000136003,ISCU,Q9H1K1
ENSG00000164284,GRPEL2,Q8TAA5,ENSG00000188522,FAM83G,A6ND36
ENSG00000164284,GRPEL2,Q8TAA5,ENSG00000168268,NT5DC2,Q9H857
ENSG00000164284,GRPEL2,Q8TAA5,ENSG00000204237,OXLD1,Q5BKU9
ENSG00000164284,GRPEL2,Q8TAA5,ENSG00000164898,FMC1,Q96HJ9
ENSG00000164284,GRPEL2,Q8TAA5,ENSG00000274853,MRM1,Q6IN84
ENSG00000164284,GRPEL2,Q8TAA5,ENSG00000101247,NDUFAF5,Q5TEU4
ENSG00000164284,GRPEL2,Q8TAA5,ENSG00000134548,SPX,Q9BT56
ENSG00000164284,GRPEL2,Q8TAA5,ENSG00000115523,GNLY,P22749
ENSG00000164284,GRPEL2,Q8TAA5,ENSG00000115760,BIRC6,Q9NR09
ENSG00000164284,GRPEL2,Q8TAA5,ENSG00000146085,MMUT,P22033
ENSG00000164284,GRPEL2,Q8TAA5,ENSG00000123064,DDX54,Q8TDD1
ENSG00000164284,GRPEL2,Q8TAA5,ENSG00000137992,DBT,P11182
ENSG00000164284,GRPEL2,Q8TAA5,ENSG00000066926,FECH,P22830
ENSG00000205138,SDHAF1,A6NFY7,ENSG00000073578,SDHA,P31040
ENSG00000205138,SDHAF1,A6NFY7,ENSG00000004779,NDUFAB1,O14561
ENSG00000205138,SDHAF1,A6NFY7,ENSG00000171446,KRT27,Q7Z3Y8
ENSG00000205138,SDHAF1,A6NFY7,ENSG00000285199,CIDEB,Q9UHD4
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000166788,SAAL1,Q96ER3
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000156009,MAGEA8,P43361
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000157800,SLC37A3,Q8NCC5
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000166016,ABTB2,Q8N961
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000118434,SPACA1,Q9HBV2
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000163346,PBXIP1,Q96AQ6
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000196950,SLC39A10,Q9ULF5
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000133195,SLC39A11,Q8N1S5
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000115194,SLC30A3,Q99726
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000129128,SPCS3,P61009
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000137040,RANBP6,O60518
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000140274,DUOXA2,Q1HG44
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000168785,TSPAN5,P62079
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000144407,PTH2R,P49190
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000146411,SLC2A12,Q8TD20
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000288705,UGT1A5,P35504
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000134216,CHIA,Q9BZP6
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000188996,HUS1B,Q8NHY5
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000121310,ECHDC2,Q86YB7
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000063241,ISOC2,Q96AB3
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000178127,NDUFV2,P19404
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000143119,CD53,P19397
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000088386,SLC15A1,P46059
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000137252,HCRTR2,O43614
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000282725,CORO7,P57737
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000099282,TSPAN15,O95858
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000137860,SLC28A2,O43868
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000164073,MFSD8,Q8NHS3
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000171953,ATPAF2,Q8N5M1
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000206072,SERPINB11,Q96P15
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000171989,LDHAL6B,Q9BYZ2
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000169067,ACTBL2,Q562R1
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000166816,LDHD,Q86WU2
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000103264,FBXO31,Q5XUX0
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000112303,VNN2,O95498
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000147145,LPAR4,Q99677
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000160124,MIX23,Q4VC31
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000184903,IMMP2L,Q96T52
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000197208,SLC22A4,Q9H015
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000217930,PAM16,Q9Y3D7
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000138074,SLC5A6,Q9Y289
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000165272,AQP3,Q92482
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000088682,COQ9,O75208
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000162972,MAIP1,Q8WWC4
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000131477,RAMP2,O60895
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000171051,FPR1,P21462
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000112695,COX7A2,P14406
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000104324,CPQ,Q9Y646
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000117266,CDK18,Q07002
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000054983,GALC,P54803
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000174840,PDE12,Q6L8Q7
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000144837,PLA1A,Q53H76
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000141385,AFG3L2,Q9Y4W6
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000163482,STK36,Q9NRP7
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000067992,PDK3,Q15120
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000277236,CCL14,Q16627
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000142173,COL6A2,P12110
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000137133,HINT2,Q9BX68
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000277494,GPIHBP1,Q8IV16
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000136143,SUCLA2,Q9P2R7
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000177542,SLC25A22,Q9H936
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000116670,MAD2L2,Q9UI95
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000114739,ACVR2B,Q13705
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000196296,ATP2A1,O14983
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000135124,P2RX4,Q99571
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000157017,GHRL,Q9UBU3
ENSG00000205981,DNAJC19,Q96DA6,ENSG00000106688,SLC1A1,P43005
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000101162,TUBB1,Q9H4B7
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000197548,ATG7,O95352
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000134248,LAMTOR5,O43504
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000104205,SGK3,Q96BR1
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000175756,AURKAIP1,Q9NWT8
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000116221,MRPL37,Q9BZE1
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000181092,ADIPOQ,Q15848
ENSG00000213221,DNLZ,Q5SXM8,ENSG00000278567,CCL3,P10147
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000109519,GRPEL1,Q9HAV7
ENSG00000109846,CRYAB,P02511,ENSG00000160202,CRYAA,P02489
ENSG00000173641,HSPB7,Q9UBY9,ENSG00000128591,FLNC,Q14315
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000124370,MCEE,Q96PE7
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000171103,TRMT61B,Q9BVS5
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000120526,NUDCD1,Q96RS6
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000158863,FHIP2B,Q86V87
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000189325,BNIP5,P0C671
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000148426,PROSER2,Q86WR7
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000122203,KIAA1191,Q96A73
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000182810,DDX28,Q9NUL7
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000151650,VENTX,O95231
ENSG00000173641,HSPB7,Q9UBY9,ENSG00000171772,SYCE1,Q8N0S2
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000162777,DENND2D,Q9H6A0
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000164466,SFXN1,Q9H9B4
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000162624,LHX8,Q68G74
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000170469,SPATA24,Q86W54
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000135916,ITM2C,Q9NQX7
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000120937,NPPB,P16860
ENSG00000109846,CRYAB,P02511,ENSG00000109846,CRYAB,P02511
ENSG00000173641,HSPB7,Q9UBY9,ENSG00000101624,CEP76,Q8TAP6
ENSG00000173641,HSPB7,Q9UBY9,ENSG00000145358,DDIT4L,Q96D03
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000151466,SCLT1,Q96NL6
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000105829,BET1,O15155
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000143198,MGST3,O14880
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000100216,TOMM22,Q9NS69
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000156599,ZDHHC5,Q9C0B5
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000100599,RIN3,Q8TB24
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000121454,LHX4,Q969G2
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000176678,FOXL1,Q12952
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000111145,ELK3,P41970
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000158711,ELK4,P28324
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000244405,ETV5,P41161
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000120690,ELF1,P32519
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000132749,TESMIN,Q9Y4I5
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000134594,RAB33A,Q14088
ENSG00000173641,HSPB7,Q9UBY9,ENSG00000147596,PRDM14,Q9GZV8
ENSG00000173641,HSPB7,Q9UBY9,ENSG00000162924,REL,Q04864
ENSG00000173641,HSPB7,Q9UBY9,ENSG00000175895,PLEKHF2,Q9H8W4
ENSG00000173641,HSPB7,Q9UBY9,ENSG00000167302,TEPSIN,Q96N21
ENSG00000173641,HSPB7,Q9UBY9,ENSG00000196923,PDLIM7,Q9NR12
ENSG00000173641,HSPB7,Q9UBY9,ENSG00000136068,FLNB,O75369
ENSG00000173641,HSPB7,Q9UBY9,ENSG00000171634,BPTF,Q12830
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000123595,RAB9A,P51151
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000102189,EEA1,Q15075
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000185745,IFIT1,P09914
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000175832,ETV4,P43268
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000175193,PARL,Q9H300
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000184903,IMMP2L,Q96T52
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000101843,PSMD10,O75832
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000185896,LAMP1,P11279
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000163435,ELF3,P78545
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000129116,PALLD,Q8WX93
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000162433,AK4,P27144
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000066926,FECH,P22830
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000147168,IL2RG,P31785
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000171368,TPPP,O94811
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000167110,GOLGA2,Q08379
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000106153,CHCHD2,Q9Y6H1
ENSG00000115541,HSPE1,P61604,ENSG00000151553,FHIP2A,Q5W0V3
ENSG00000115541,HSPE1,P61604,ENSG00000158863,FHIP2B,Q86V87
ENSG00000115541,HSPE1,P61604,ENSG00000114544,SLC41A3,Q96GZ6
ENSG00000173641,HSPB7,Q9UBY9,ENSG00000113595,TRIM23,P36406
ENSG00000173641,HSPB7,Q9UBY9,ENSG00000143368,SF3B4,Q15427
ENSG00000173641,HSPB7,Q9UBY9,ENSG00000161405,IKZF3,Q9UKT9
ENSG00000173641,HSPB7,Q9UBY9,ENSG00000146425,DYNLT1,P63172
ENSG00000173641,HSPB7,Q9UBY9,ENSG00000151929,BAG3,O95817
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000285485,NFATC4,Q14934
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000104313,EYA1,Q99502
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000113658,SMAD5,Q99717
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000139083,ETV6,P41212
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000157933,SKI,P12755
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000149792,MRPL49,Q13405
ENSG00000115541,HSPE1,P61604,ENSG00000162520,SYNC,Q9H7C4
ENSG00000115541,HSPE1,P61604,ENSG00000051009,FHIP1B,Q8N612
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000156515,HK1,P19367
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000144566,RAB5A,P20339
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000156709,AIFM1,O95831
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000156475,PPP2R2B,Q00005
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000095370,SH2D3C,Q8N5H7
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000074047,GLI2,P10070
ENSG00000115541,HSPE1,P61604,ENSG00000171103,TRMT61B,Q9BVS5
ENSG00000115541,HSPE1,P61604,ENSG00000102287,GABRE,P78334
ENSG00000115541,HSPE1,P61604,ENSG00000090857,PDPR,Q8NCN5
ENSG00000115541,HSPE1,P61604,ENSG00000062485,CS,O75390
ENSG00000115541,HSPE1,P61604,ENSG00000277949,RTP5,Q14D33
ENSG00000115541,HSPE1,P61604,ENSG00000152409,JMY,Q8N9B5
ENSG00000115541,HSPE1,P61604,ENSG00000156599,ZDHHC5,Q9C0B5
ENSG00000115541,HSPE1,P61604,ENSG00000164438,TLX3,O43711
ENSG00000115541,HSPE1,P61604,ENSG00000148950,IMMP1L,Q96LU5
ENSG00000115541,HSPE1,P61604,ENSG00000102032,RENBP,P51606
ENSG00000115541,HSPE1,P61604,ENSG00000177542,SLC25A22,Q9H936
ENSG00000115541,HSPE1,P61604,ENSG00000118246,FASTKD2,Q9NYY8
ENSG00000115541,HSPE1,P61604,ENSG00000187772,LIN28B,Q6ZN17
ENSG00000115541,HSPE1,P61604,ENSG00000137656,BUD13,Q9BRD0
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000111725,PRKAB1,Q9Y478
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000177606,JUN,P05412
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000172531,PPP1CA,P62136
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000121691,CAT,P04040
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000147010,SH3KBP1,Q96B97
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000126767,ELK1,P19419
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000167862,MRPL58,Q14197
ENSG00000115541,HSPE1,P61604,ENSG00000173085,COQ2,Q96H96
ENSG00000115541,HSPE1,P61604,ENSG00000148773,MKI67,P46013
ENSG00000115541,HSPE1,P61604,ENSG00000099364,FBXL19,Q6PCT2
ENSG00000115541,HSPE1,P61604,ENSG00000184903,IMMP2L,Q96T52
ENSG00000115541,HSPE1,P61604,ENSG00000175193,PARL,Q9H300
ENSG00000115541,HSPE1,P61604,ENSG00000011009,LYPLA2,O95372
ENSG00000115541,HSPE1,P61604,ENSG00000126524,SBDS,Q9Y3A5
ENSG00000115541,HSPE1,P61604,ENSG00000058673,ZC3H11A,O75152
ENSG00000115541,HSPE1,P61604,ENSG00000136270,TBRG4,Q969Z0
ENSG00000115541,HSPE1,P61604,ENSG00000115875,SRSF7,Q16629
ENSG00000115541,HSPE1,P61604,ENSG00000129245,FXR2,P51116
ENSG00000115541,HSPE1,P61604,ENSG00000173868,PHOSPHO1,Q8TCT1
ENSG00000115541,HSPE1,P61604,ENSG00000125741,OPA3,Q9H6K4
ENSG00000115541,HSPE1,P61604,ENSG00000165443,PHYHIPL,Q96FC7
ENSG00000115541,HSPE1,P61604,ENSG00000140968,IRF8,Q02556
ENSG00000115541,HSPE1,P61604,ENSG00000116017,ARID3A,Q99856
ENSG00000115541,HSPE1,P61604,ENSG00000139112,GABARAPL1,Q9H0R8
ENSG00000115541,HSPE1,P61604,ENSG00000077549,CAPZB,P47756
ENSG00000115541,HSPE1,P61604,ENSG00000112619,PRPH2,P23942
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000160789,LMNA,P02545
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000103769,RAB11A,P62491
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000213930,GALT,P07902
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000090487,SPG21,Q9NZD8
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000106070,GRB10,Q13322
ENSG00000115541,HSPE1,P61604,ENSG00000057252,SOAT1,P35610
ENSG00000115541,HSPE1,P61604,ENSG00000126217,MCF2L,O15068
ENSG00000115541,HSPE1,P61604,ENSG00000151414,NEK7,Q8TDX7
ENSG00000115541,HSPE1,P61604,ENSG00000034713,GABARAPL2,P60520
ENSG00000115541,HSPE1,P61604,ENSG00000291939,NOXO1,Q8NFA2
ENSG00000115541,HSPE1,P61604,ENSG00000116747,RO60,P10155
ENSG00000115541,HSPE1,P61604,ENSG00000174720,LARP7,Q4G0J3
ENSG00000115541,HSPE1,P61604,ENSG00000162692,VCAM1,P19320
ENSG00000173641,HSPB7,Q9UBY9,ENSG00000196628,TCF4,P15884
ENSG00000173641,HSPB7,Q9UBY9,ENSG00000132646,PCNA,P12004
ENSG00000173641,HSPB7,Q9UBY9,ENSG00000196924,FLNA,P21333
ENSG00000115541,HSPE1,P61604,ENSG00000196792,STRN3,Q13033
ENSG00000115541,HSPE1,P61604,ENSG00000213619,NDUFS3,O75489
ENSG00000115541,HSPE1,P61604,ENSG00000119723,COQ6,Q9Y2Z9
ENSG00000115541,HSPE1,P61604,ENSG00000137074,APTX,Q7Z2E3
ENSG00000115541,HSPE1,P61604,ENSG00000130707,ASS1,P00966
ENSG00000115541,HSPE1,P61604,ENSG00000110367,DDX6,P26196
ENSG00000115541,HSPE1,P61604,ENSG00000133935,ERG28,Q9UKR5
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000178999,AURKB,Q96GD4
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000171453,POLR1C,O15160
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000001626,CFTR,P13569
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000136997,MYC,P01106
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000285479,CACNA1C,Q13936
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000115966,ATF2,P15336
ENSG00000115541,HSPE1,P61604,ENSG00000068438,FTSJ1,Q9UET6
ENSG00000115541,HSPE1,P61604,ENSG00000081307,UBA5,Q9GZZ9
ENSG00000115541,HSPE1,P61604,ENSG00000167770,OTUB1,Q96FW1
ENSG00000115541,HSPE1,P61604,ENSG00000145388,METTL14,Q9HCE5
ENSG00000115541,HSPE1,P61604,ENSG00000156709,AIFM1,O95831
ENSG00000115541,HSPE1,P61604,ENSG00000198832,SELENOM,Q8WWX9
ENSG00000115541,HSPE1,P61604,ENSG00000089220,PEBP1,P30086
ENSG00000115541,HSPE1,P61604,ENSG00000168283,BMI1,P35226
ENSG00000115541,HSPE1,P61604,ENSG00000181449,SOX2,P48431
ENSG00000115541,HSPE1,P61604,ENSG00000285485,NFATC4,Q14934
ENSG00000115541,HSPE1,P61604,ENSG00000170296,GABARAP,O95166
ENSG00000115541,HSPE1,P61604,ENSG00000170027,YWHAG,P61981
ENSG00000115541,HSPE1,P61604,ENSG00000129351,ILF3,Q12906
ENSG00000115541,HSPE1,P61604,ENSG00000165156,ZHX1,Q9UKY1
ENSG00000115541,HSPE1,P61604,ENSG00000072832,CRMP1,Q14194
ENSG00000115541,HSPE1,P61604,ENSG00000080345,RIF1,Q5UIP0
ENSG00000115541,HSPE1,P61604,ENSG00000196781,TLE1,Q04724
ENSG00000115541,HSPE1,P61604,ENSG00000109103,UNC119,Q13432
ENSG00000115541,HSPE1,P61604,ENSG00000130066,SAT1,P21673
ENSG00000166855,CLPX,O76031,ENSG00000059769,DNAJC25,Q9H1X3
ENSG00000166855,CLPX,O76031,ENSG00000188315,C3orf62,Q6ZUJ4
ENSG00000166855,CLPX,O76031,ENSG00000232388,SMIM26,A0A096LP01
ENSG00000166855,CLPX,O76031,ENSG00000105676,ARMC6,Q6NXE6
ENSG00000152137,HSPB8,Q9UJY1,ENSG00000152137,HSPB8,Q9UJY1
ENSG00000109519,GRPEL1,Q9HAV7,ENSG00000242372,EIF6,P56537
ENSG00000115541,HSPE1,P61604,ENSG00000173530,TNFRSF10D,Q9UBN6
ENSG00000115541,HSPE1,P61604,ENSG00000273936,TNFRSF14,Q92956
ENSG00000115541,HSPE1,P61604,ENSG00000133059,DSTYK,Q6XUX3
ENSG00000115541,HSPE1,P61604,ENSG00000103152,MPG,P29372
ENSG00000115541,HSPE1,P61604,ENSG00000156795,NTAQ1,Q96HA8
ENSG00000115541,HSPE1,P61604,ENSG00000291608,SH3GL3,Q99963
ENSG00000115541,HSPE1,P61604,ENSG00000122779,TRIM24,O15164
ENSG00000115541,HSPE1,P61604,ENSG00000067606,PRKCZ,Q05513
ENSG00000115541,HSPE1,P61604,ENSG00000105290,APLP1,P51693
ENSG00000115541,HSPE1,P61604,ENSG00000162645,GBP2,P32456
ENSG00000166855,CLPX,O76031,ENSG00000124279,FASTKD3,Q14CZ7
ENSG00000166855,CLPX,O76031,ENSG00000158863,FHIP2B,Q86V87
ENSG00000166855,CLPX,O76031,ENSG00000166123,GPT2,Q8TD30
ENSG00000166855,CLPX,O76031,ENSG00000127585,FBXL16,Q8N461
ENSG00000166855,CLPX,O76031,ENSG00000178449,COX14,Q96I36
