Gene,TCGA-CI-6619-01B-11R-1830-07_C1,TCGA-CI-6624-01C-11R-1830-07_C1,TCGA-AG-A011-01A-01R-A002-07_C1,TCGA-DC-6681-01A-11R-A32Z-07_C2,TCGA-DT-5265-01A-21R-1830-07_C2,TCGA-EI-6514-01A-11R-1736-07_C2,TCGA-EI-6883-01A-31R-1928-07_C1,TCGA-EF-5831-01A-01R-1660-07_C1,TCGA-AG-3898-01A-01R-1119-07_C1,TCGA-AG-3583-01A-01R-0821-07_C1,TCGA-AF-6136-01A-11R-1830-07_C1,TCGA-AG-3575-01A-01R-0821-07_C1,TCGA-AF-4110-01A-02R-1736-07_C1,TCGA-AG-3999-01A-01R-1119-07_C1,TCGA-AF-6672-01A-11R-1830-07_C1,TCGA-DC-6157-01A-11R-1660-07_C1,TCGA-DC-4745-01A-01R-A32Z-07_C1,TCGA-EI-6509-01A-11R-1736-07_C1,TCGA-AG-4021-01A-01R-1736-07_C1,TCGA-AG-3731-01A-11R-1736-07_C1,TCGA-F5-6863-01A-11R-1928-07_C2,TCGA-AG-A01W-01A-21R-A083-07_C1,TCGA-AG-3909-01A-01R-1119-07_C1,TCGA-CL-5917-01A-11R-1660-07_C1,TCGA-AF-A56N-01A-12R-A39D-07_C1,TCGA-DY-A1DD-01A-21R-A155-07_C2,TCGA-AF-2691-01A-01R-0821-07_C1,TCGA-AH-6544-01A-11R-1830-07_C1,TCGA-AG-A01L-01A-01R-A002-07_C1,TCGA-AG-4005-01A-01R-1119-07_C1,TCGA-DY-A1DG-01A-11R-A32Y-07_C1,TCGA-AG-A02N-01A-11R-A083-07_C1,TCGA-F5-6464-01A-11R-1736-07_C2,TCGA-AG-3887-01A-01R-1119-07_C1,TCGA-AG-4007-01A-01R-1119-07_C1,TCGA-F5-6814-01A-31R-1928-07_C1,TCGA-AG-4022-01A-01R-1736-07_C1,TCGA-AG-3882-01A-01R-0905-07_C1,TCGA-F5-6813-01A-11R-1830-07_C2,TCGA-AG-3896-01A-01R-1119-07_C1,TCGA-AG-A016-01A-01R-A002-07_C1,TCGA-AG-A025-01A-01R-A00A-07_C1,TCGA-DY-A0XA-01A-11R-A155-07_C1,TCGA-AG-A01J-01A-01R-A00A-07_C1,TCGA-CL-4957-01A-01R-1736-07_C1,TCGA-AG-3732-01A-11R-1660-07_C1,TCGA-AG-3586-01A-02R-0821-07_C1,TCGA-AG-A01Y-01A-41R-A083-07_C1,TCGA-CI-6623-01B-11R-1830-07_C1,TCGA-AG-3893-01A-01R-1119-07_C1,TCGA-DY-A1DF-01A-11R-A155-07_C2,TCGA-EI-6884-01A-11R-1928-07_C1,TCGA-AG-3584-01A-01R-0821-07_C1,TCGA-EI-7004-01A-11R-1928-07_C2,TCGA-AG-3883-01A-02R-0905-07_C1,TCGA-AH-6643-01A-11R-1830-07_C1,TCGA-CI-6622-01A-11R-1830-07_C1,TCGA-DC-4749-01A-01R-1736-07_C1,TCGA-DY-A1H8-01A-21R-A155-07_C1,TCGA-AG-3608-01A-01R-0826-07_C1,TCGA-EI-6507-01A-11R-1736-07_C1,TCGA-AG-A00Y-01A-02R-A002-07_C1,TCGA-AF-A56L-01A-31R-A39D-07_C1,TCGA-AG-3594-01A-02R-0821-07_C1,TCGA-AF-3400-01A-01R-0821-07_C1,TCGA-DC-5869-01A-01R-1660-07_C1,TCGA-AF-6655-01A-11R-1830-07_C1,TCGA-EI-6511-01A-11R-1736-07_C1,TCGA-F5-6465-01A-11R-1736-07_C1,TCGA-EI-6508-01A-11R-1736-07_C1,TCGA-AH-6644-01A-21R-1830-07_C1,TCGA-AG-3892-01A-01R-1119-07_C1,TCGA-EI-6882-01A-11R-1928-07_C1,TCGA-F5-6812-01A-11R-1830-07_C2,TCGA-AG-3885-01A-01R-0905-07_C1,TCGA-AG-3727-01A-01R-0905-07_C1,TCGA-AG-A008-01A-01R-A002-07_C1,TCGA-DC-6155-01A-11R-1660-07_C1,TCGA-F5-6702-01A-11R-1830-07_C2,TCGA-CL-5918-01A-11R-1660-07_C1,TCGA-AF-2687-01A-02R-1736-07_C2,TCGA-AG-3742-01A-11R-1660-07_C1,TCGA-AG-3725-01A-11R-1736-07_C1,TCGA-AG-A00C-01A-01R-A002-07_C1,TCGA-G5-6572-01A-11R-1830-07_C1,TCGA-AG-3612-01A-01R-0826-07_C1,TCGA-AG-A00H-01A-01R-A00A-07_C1,TCGA-AF-2692-01A-01R-0821-07_C1,TCGA-AG-A014-01A-02R-A002-07_C1,TCGA-AG-3728-01A-01R-0905-07_C1,TCGA-AG-A01N-01A-01R-A00A-07_C1,TCGA-AG-3611-01A-01R-0826-07_C1,TCGA-AG-3580-01A-01R-0821-07_C1,TCGA-G5-6233-01A-11R-1736-07_C1,TCGA-AF-2693-01A-02R-1736-07_C1,TCGA-AG-A015-01A-01R-A002-07_C1,TCGA-G5-6641-01A-11R-A32Z-07_C1,TCGA-BM-6198-01A-11R-1736-07_C1,TCGA-AG-4008-01A-01R-1119-07_C1,TCGA-EI-6506-01A-11R-1736-07_C1,TCGA-AG-3609-01A-02R-0826-07_C1,TCGA-F5-6811-01A-11R-1830-07_C1,TCGA-AG-A002-01A-01R-A002-07_C1,TCGA-AG-3581-01A-01R-0821-07_C1,TCGA-AH-6547-01A-11R-1830-07_C1,TCGA-F5-6861-01A-11R-1928-07_C1,TCGA-AG-A020-01A-21R-A083-07_C1,TCGA-AG-4001-01A-02R-1119-07_C1,TCGA-DC-6160-01A-11R-1660-07_C1,TCGA-AG-3582-01A-01R-0821-07_C1,TCGA-AG-4015-01A-01R-1119-07_C1,TCGA-AG-3901-01A-01R-1119-07_C2,TCGA-DY-A1DE-01A-11R-A155-07_C1,TCGA-AG-3881-01A-01R-0905-07_C2,TCGA-DC-6158-01A-11R-1660-07_C1,TCGA-DC-5337-01A-01R-1660-07_C1,TCGA-AG-3578-01A-01R-0821-07_C1,TCGA-AG-3894-01A-01R-1119-07_C1,TCGA-EI-6510-01A-11R-1736-07_C1,TCGA-EF-5830-01A-01R-1660-07_C1,TCGA-EI-6917-01A-11R-1928-07_C1,TCGA-AG-3574-01A-01R-0821-07_C1,TCGA-CI-6621-01A-11R-1830-07_C1,TCGA-AG-A02G-01A-01R-A00A-07_C1,TCGA-AF-3911-01A-01R-1736-07_C1,TCGA-AH-6897-01A-11R-1928-07_C1,TCGA-AH-6903-01A-11R-1928-07_C1,TCGA-AG-3726-01A-02R-0905-07_C1,TCGA-DC-6156-01A-11R-1660-07_C1,TCGA-AG-3599-01A-02R-0826-07_C1,TCGA-EI-6885-01A-11R-1928-07_C1,TCGA-F5-6864-01A-11R-1928-07_C2,TCGA-F5-6810-01A-11R-1830-07_C2,TCGA-EI-6881-01A-11R-A32Z-07_C1,TCGA-G5-6235-01A-11R-1736-07_C1,TCGA-AG-A023-01A-01R-A00A-07_C1,TCGA-AG-3602-01A-02R-0826-07_C1,TCGA-AG-3890-01A-01R-1119-07_C1,TCGA-AF-3913-01A-02R-1119-07_C1,TCGA-CI-6620-01A-11R-1830-07_C1,TCGA-DC-6682-01A-11R-1830-07_C1,TCGA-AF-2690-01A-02R-1736-07_C2,TCGA-AG-A036-01A-12R-A083-07_C1,TCGA-EI-6513-01A-21R-1736-07_C1,TCGA-AF-A56K-01A-32R-A39D-07_C1,TCGA-AG-3598-01A-01R-0826-07_C1,TCGA-AG-3587-01A-01R-0821-07_C1,TCGA-AG-A02X-01A-01R-A00A-07_C1,TCGA-AG-A026-01A-01R-A00A-07_C2,TCGA-AG-3591-01A-01R-1736-07_C1,TCGA-DC-6683-01A-11R-1830-07_C1,TCGA-AG-3605-01A-01R-0826-07_C1,TCGA-AG-3902-01A-01R-A32Z-07_C1,TCGA-AG-3878-01A-02R-0905-07_C1,TCGA-F5-6571-01A-12R-1830-07_C1,TCGA-AF-5654-01A-01R-1660-07_C1,TCGA-AG-3600-01A-01R-0826-07_C1,TCGA-AG-3601-01A-01R-0826-07_C1,TCGA-AG-A032-01A-01R-A00A-07_C1,TCGA-AG-3593-01A-01R-0821-07_C1,TCGA-AH-6549-01A-11R-1830-07_C1,TCGA-AG-3592-01A-02R-1736-07_C1,TCGA-DY-A1DC-01A-31R-A155-07_C1,TCGA-EI-6512-01A-11R-1736-07_C1,TCGA-EI-7002-01A-11R-1928-07_C1,TCGA-DC-6154-01A-31R-1928-07_C1
HSPD1,14.88760203486037,14.090398978315951,14.535958515478665,14.650038142227082,14.061977175779793,14.705206846256454,14.625394066556161,15.070824644318005,14.980252184660124,14.324880593523224,14.556396679432197,13.405510895574285,13.613742184358895,14.685989698268374,13.756016402137275,14.936070984539391,14.805432866886688,14.638090684951454,14.262063671990987,14.76099643248816,14.906948160118107,15.530738877301001,13.954433098821944,15.322519392923512,14.714471342278364,14.104186429456826,13.70834808756281,15.290192471366293,14.164524865035435,14.234665864083146,14.309611625905355,14.393278040771424,13.716965345829532,14.301635199161963,13.944946598893672,15.242237901242337,14.17906493312275,12.924110018724038,14.158275225503271,14.728098412424393,14.65607432614724,14.11172165681059,14.706116385502002,14.470961030790953,15.473111473069093,13.320900427522202,14.429620362902657,14.562051670648312,15.201836189091914,13.385959941808496,13.485315421273675,14.275622426151697,14.08098234660994,13.66772231832819,13.674850343903513,14.76990566393072,15.795327369681898,14.83238258724745,14.852601508184906,14.429550684126554,13.565175049608078,14.27904432218372,14.82422674418903,13.73946253055138,13.683073472497568,15.604477404181226,14.704683035255098,15.094623938842437,14.685473455285164,14.508411457017866,14.889942196411088,14.005649030718073,14.409620252177819,13.892990083915878,12.676984803344602,12.98704997102985,14.409484827147722,15.410523784292137,14.158351354264983,15.559620766231712,14.546004159847538,15.24796742968906,14.440558439790351,14.387611367406983,15.11735102425346,14.429865647257165,13.78369916334084,14.588835118686632,14.160527521321221,12.557011898065472,15.003553571454091,12.662128750023673,14.313094249580818,14.764658789988715,14.630030312002416,13.907003406057497,13.842309695149119,14.786160859885298,14.093060385255287,13.406756654062013,14.544162951950138,14.34933205333897,13.732081986567128,13.768586933246679,13.460361501984085,14.772625229932771,14.889521761358413,13.404489007545939,15.262288907258602,14.604262800036402,14.199341150701153,13.66137335343189,14.472680123242009,12.547626893738837,14.896116177254719,14.98620215918621,14.125557903890197,14.078667740814542,14.090627450369295,14.956722438947288,15.4179819292136,15.10624899227917,14.917229315318046,13.975265428242887,14.276063229526859,15.552750141892162,14.908375506177496,13.170165801761655,13.913903236475178,14.023683377574644,15.189982040019837,14.389091371276898,14.482348442004136,14.718030929046684,14.864954639999313,14.256850844158526,13.797957551654378,13.50219331753459,14.575810222315026,15.21431365188303,15.504688070585427,14.012689369426525,14.728045995339919,14.692547013185942,14.394724339282021,14.489163883650246,14.183799938813602,14.102277393423106,14.207091839032781,14.31305780467026,15.241125631554906,14.570414175584972,14.563054328519968,12.338669296028478,13.926404627753486,16.262884601652257,15.000262643321012,14.080412596851529,14.049321815433462,14.263804321301102,15.297411049844715,14.60761817569298,15.155942004438758,14.737760259149411,14.547030093166846,14.83213425520791
HSPE1,10.686785110961505,10.031232365747464,10.748229331518155,10.188657863428322,10.861946060595917,10.571367198316588,9.614844219485198,11.134585591337844,11.682659621284282,11.027447958399438,10.685614025718188,11.070521763676128,10.003379414830404,10.892399170458635,9.832064802258984,10.866135718761422,11.083852214577162,10.4629063188903,10.061526175360125,10.281368116492402,10.342911030874586,12.282295660396741,9.924092411228767,10.788094516006481,10.704821066785748,10.512097038884841,9.8679552201473,11.315681248217933,10.486246435671626,10.118500353094474,11.053184449270766,11.029816567263401,9.510977287384675,10.704568525467664,10.393647063699735,10.284113961515892,10.154888373931902,10.205217210392275,10.486512223763565,11.046095356930058,10.42263703953324,10.109478186788852,10.816796546213876,10.767217589970846,11.230887458972651,9.449596581607045,10.559047078116551,10.716258530510197,10.611062001606285,9.769330749413504,11.01184168599549,9.166976003269816,10.594310640589171,8.538362371825032,11.870163213771141,10.682377490357558,11.098885530318201,11.611999077680155,12.304970158676673,11.1117426532406,9.440113093798558,10.231766570646492,10.447882535445979,10.067231096117181,10.592764739717145,11.46774972506038,10.308882020607973,10.732111460332261,10.330649528626504,10.407469487560016,10.464891354368746,11.271432909279154,9.392957801223059,10.14583475466123,9.754131459961723,10.085750975041712,10.838035221631362,13.755488953855291,10.270196920384324,12.231423140948639,10.311633597766345,10.725902114811229,10.680182148929179,11.038253129981882,10.581162932290413,10.651696261294065,10.397471186154478,11.201011791055066,10.580075493592528,9.557565872340673,11.485999558093727,10.46152262390999,10.747087740180916,10.968710692522192,10.55888940440907,10.040737413652653,10.300824741286423,11.178812902885637,10.32958272555864,9.794964939165256,10.993461722917795,10.219886066234372,10.291873946508547,10.175388091681937,9.320406694910346,9.507047452182851,11.644728647927058,10.023827625711496,10.815177201786195,10.599799286116323,10.513828686458062,10.367253223335533,11.194290447705969,10.11898177159005,10.223468429394375,11.917826868519603,10.707948264159613,10.386039324510522,10.027508269811204,10.770170496313709,10.101282668849127,11.394872850655558,10.43792594276579,10.333569640989221,10.375477442940834,10.544107141365151,10.023640553856058,9.957305628845477,9.660112908183583,10.58742826746692,9.883847352776076,9.932036271783257,10.84251821760408,10.567888264668872,10.68890132428851,9.99683379710409,12.22546176395003,10.196384771964055,11.150516575270117,10.682668588189077,10.979184633199855,10.180977849651546,11.861686662032017,10.408635322970484,9.88118603454566,11.616760930984212,10.290653591341364,10.319501409672831,10.721015831131565,11.162233569158301,11.15207437282269,11.165859925735512,10.112251112668059,9.63214752742747,9.202949263226149,11.544674128921347,11.492584400793094,11.340606791040738,10.901617931054815,10.780464497376427,10.681876976176317,10.709724400886824,11.56025504262668,10.453307895762997,9.464857009665089,10.195227530940503
CCT6A,13.716244407411727,13.206187483807087,12.5892636795715,12.761489103480764,13.093598685448521,13.648489892683715,13.682350502313362,14.082214337123727,13.669503004233237,13.198804537506094,13.38328956753109,13.11632636562394,13.113310203875749,13.469176550255735,12.739685607964635,13.785862419103157,14.395320783862298,13.192121652685504,12.954066973933063,13.090793364261483,13.385358256957101,13.36872306691065,13.235809525819041,13.524253430676032,12.967821791605655,13.513370034140415,12.536442253080978,13.603161984681863,12.969159419489378,12.875184825372635,12.97757391887026,13.101108140518505,13.188461726158842,12.857997338120715,13.52400132866578,13.557502853038834,13.170480554121617,12.169191164266401,13.360036028219481,13.075151055254661,13.55496069123418,12.790345326907797,13.730087180226022,13.238357893561124,13.333213222990283,12.517191306834597,13.159382686449241,13.233666203291799,14.02187068462947,12.652037148463286,13.024195637695504,13.21261031213388,12.986220897369938,13.19265166623203,12.738546760440409,13.82506198566276,13.391686517803846,13.704295080482675,13.078707440817876,13.29838225892383,12.600323276160482,13.117500498082016,13.556869437740552,12.71901487995102,13.090101950519104,13.859147881619343,13.471943237473221,13.599953645884819,12.686653487938063,13.626082766515662,13.93168568581489,12.935711188155265,12.962610883587137,13.439889253139976,12.745449698208532,12.450018346716973,12.682915089850097,12.722776624429125,13.216207427481844,13.822212208954827,13.162368511464075,13.548948633649395,13.622574401489887,12.818947973671898,13.112540392123178,13.653717231422172,13.049137187477843,12.907792085675895,13.52518797097026,12.439335663062042,13.762609240360359,12.630260611394831,13.188896426726247,13.23519302974737,13.164266650677616,13.537489333255992,12.769917099916938,13.37855972252258,12.975760001564124,12.704274873232523,13.857646202504894,13.368104646715924,12.864766502155854,13.226353041423677,12.410970996836884,13.196502635688153,13.383462091212877,14.070375890514917,13.616569138611487,13.546237201489614,13.655378828548205,12.637495402274979,13.307409329656112,12.56983082061175,13.563976243675116,13.630187788669469,12.897168371467181,13.130418479485575,13.063187242618955,13.998050333374422,13.281237735450256,13.219205783728688,13.249015096790453,13.177006158903115,13.842030282541355,13.609584645567027,13.295198172580287,12.57946660917569,12.94151110371602,13.223489689891029,13.75227219748314,13.153989678044852,13.491546189487613,13.416105448960579,13.295804484953758,12.538975636067565,12.87584395650671,12.408289069185239,13.670463808275754,13.376776230198084,13.934151377466073,12.999807921042356,14.082691918085464,14.321099219286577,13.1871484456357,13.225509495548403,13.348927768355312,13.073202725977788,13.470764256509202,12.805722849024681,13.56879937536096,13.491150135653594,12.972785423473091,12.41833818705548,12.973484981347475,13.905395526266025,13.606404441416757,13.805289302392104,12.687926838682806,13.042079743557558,13.112322708904424,14.17693154117499,13.560612995496339,13.496936660601772,13.134460688927902,13.336466785953123
HSPA9,13.738542046110203,13.265965804262633,14.265340484631821,13.789432204315627,13.011189676148089,13.81155509340241,14.025541212360471,13.932422744723008,13.464135606858205,13.689532539400227,13.323452573544083,12.44899773531673,12.796105918129165,12.838006277541082,12.707087347256646,13.289137627017062,13.525046193442483,13.672249943359061,12.697867539401106,13.485101821460425,13.72187024187595,13.541702345220198,13.340326190023617,13.687839360704656,13.690444128396994,12.369030734365339,13.093597724610168,14.512567274007393,13.672470927811768,13.64115745135836,13.007286075260453,13.478323650799103,12.857802483385715,13.717962460928687,13.16787606186434,14.139467736791193,13.068375298100099,11.994665628589742,13.51334437307568,13.308377284574483,13.85297007456175,13.413084424672094,13.251992470728764,13.37725739644388,14.23373505525232,12.472831089462376,13.729458646536692,12.676022145047014,14.062850053993712,12.855964393705108,13.0351588913921,13.478426096110693,13.23191038867226,12.92494877392139,12.252606129679759,13.799852280330116,13.98449319774881,13.838309231691516,13.517314455475441,13.56233316762634,13.362077078870035,13.428420720345434,13.644908714042527,12.859567364417378,13.480213727973071,13.70641811297255,14.003509661098308,14.041297433355311,13.12169476783299,12.797094676027847,13.80652806603994,13.258952397870635,13.529669841922852,13.141504164092561,13.615071693100763,13.12690301374117,13.925116872026145,13.61501146795092,12.693134729607888,14.000183758003365,12.826223369407911,14.097081674111775,13.681244962275514,13.720522310580444,13.825896346458673,13.54336625345417,13.697709143064705,13.626120790717128,13.593508517772083,12.048474506091928,13.851382865794278,12.23766715618707,13.856872861862492,13.358470975743293,13.618023310686603,13.566757340696803,13.554091522142583,12.794797977776655,13.140402189924918,13.35748577063934,13.525365689971428,13.648876911788955,14.783443626306974,13.338747655740475,13.208634777083176,14.085131295172268,13.78515597014632,13.015359697811384,14.1409284490521,13.755816537630153,12.793814071688157,13.501163450995389,13.740170046017717,12.692393344818651,13.217136127557513,13.932439547340802,12.486799324751962,13.403215030954481,13.623106683823512,14.243298636325843,14.275206965022125,13.703621373191012,13.83478192737452,12.438014803352377,12.888839291490566,14.326220551056494,13.786120254012756,13.194451873136982,12.520590886693917,13.424493644061842,13.786052646438481,13.451648905871835,13.364026835805637,12.104232071457371,13.7811489204304,13.222203909929101,13.30342730597617,13.180031291122962,13.50864643315319,13.892725478853707,13.895347106544486,12.807932375687253,13.788738415472832,14.093144863743225,12.47631465978153,13.882936080858324,13.533406126711018,12.971818803244824,12.985794107096607,13.115469848618897,14.057335127653312,12.81440064747321,13.417361630809653,12.260251215173133,13.308899185019436,14.32923574244573,14.547622544074114,13.38208409456686,13.755072098238253,13.708564609137404,14.321718123213431,13.663731041186988,13.857647276894875,13.587659379007532,14.101754072914813,13.365920475842993
GRPEL1,10.361711290864138,10.469604814984576,11.45440220356382,11.137996550276439,10.754384591715281,10.38088267710245,11.062579067947295,10.561767014571078,10.725613277765714,11.374589549640426,10.03022966672781,10.694773407088611,10.018992719899032,10.632132406516352,9.983774070859164,10.683233108024549,11.201903624516982,10.704176167079932,10.908293287907243,10.677519299613369,10.761249544673321,11.080664159686581,10.261440173534174,11.100647680296966,10.875523083491666,10.596190244247964,10.3481542059243,11.678804702844179,10.533605647000188,10.359973396371496,11.202371156178723,10.893576283172841,10.1401080520432,11.30810953405597,10.803331492931042,11.9442332523499,10.555637287316513,9.960307980848253,10.159582863019667,10.548292982337474,10.91661736706597,11.156230396831667,10.592924786464978,10.811064199194584,11.319800488841405,9.650071113824367,11.5624707093187,10.96264967912774,11.345451506206851,9.8190314775405,10.544832463024708,10.64904176229726,10.6300116937672,9.717232593059613,10.054305985566781,10.177376866966206,11.328329724852203,11.764955280090179,10.66755091801622,11.011103763591379,10.362109872096159,10.244758484902777,10.649020982039463,10.621688061899375,10.739475629657406,11.39444396622586,10.722057947482853,10.86286880699767,10.773675655101972,11.533185552082038,10.473004451132063,11.246745736742223,10.72479170953858,10.781765599468692,10.083005701618289,10.443552642258913,10.828912619439446,12.335545571105058,10.01613248457572,11.221377621224857,10.173441529236234,11.168498004502,10.349346798651299,11.17993425295629,10.523676680167195,10.937719896233942,10.179256786321266,10.742391746778347,10.867645147399651,9.896848786728423,10.5987021225332,9.85451989711555,11.119300454320483,11.092234090441453,11.189951254057542,10.463447561762905,11.060583964543326,10.43819020732636,10.896498422267213,10.737715134126152,10.498513330468676,10.586680778421314,11.048540919455565,10.683660571058569,10.273809086383144,11.071307067199314,11.24487655289596,10.269166277532047,10.316358307301027,10.336780853303301,10.35551876272489,10.542140422811517,10.323116419657556,9.831043034130454,10.28812834468822,11.386908498400834,10.676771804413892,10.896333174895172,11.022946703195494,11.284784978593487,11.424654302640866,10.914597163593061,11.260415611453169,10.135890598605197,10.455351435817862,11.624029182743143,11.102227401460027,10.606730601382775,9.634783278189811,10.916184541019243,10.704059334344421,10.35613277550539,10.410982320184766,10.89293343778474,10.817562859037976,10.794388729700888,11.335507745974205,10.146752492425994,11.077646333991227,10.66176226127498,11.567014372453466,10.097603895589085,10.749604631091765,10.167365605530152,10.601263505709197,11.435093387675149,10.375662843782804,10.54510025708238,10.77477459348345,9.871093941545238,10.917071273753816,11.349900873562715,10.247090857827702,9.922824907815015,9.838152598912028,11.783010048994838,10.673859657992182,11.403205416714203,10.413999427112477,10.510676499247227,11.14390644867782,10.853528493831035,11.40243568246661,10.886105178238093,9.255016138789179,10.811056286909018
GRPEL2,9.554170726306385,9.075579821195179,9.346724584903521,9.530321311532424,9.43094346215041,9.652157169788776,9.6137153064741,10.434288513837243,9.774768113172327,10.326531516750434,9.440173631916192,9.866490715872715,9.34653807918465,8.88026673789615,10.164372346065065,9.70564300034811,10.191359393723618,9.62825219706282,9.24290428267866,9.840455594480053,9.447843808159963,9.56717426212511,9.2460856667146,9.97769747953292,10.04000540244734,8.65945704421762,9.486528086243453,10.357488867458006,9.374044995490236,9.814171268614349,9.184377179248212,9.719739342144312,9.14763126933047,9.762555466413001,9.343867380587698,9.52203144853528,9.753073755483785,7.833540544144594,9.585389164411495,9.225305126514879,9.880384465464122,9.71337359730219,9.482053717887311,8.860872653955859,10.334213177938578,8.746335704220906,9.689119233893376,9.194052638983345,9.651462428081336,9.083026741588368,9.080888870780743,8.908159102931318,9.124706021452202,9.361251495300383,8.92524943711106,10.04410643334463,10.061095592801745,9.917011558665783,10.145882494411529,9.675596325788224,10.292745312199688,9.093184774258589,9.807034222957434,9.818075132069874,9.61981846000542,10.306499181240646,9.759859511827752,9.706042075012038,9.620874610699149,9.29459137598675,9.979427199921908,10.333868814801086,10.042624751517799,9.37907746329235,9.06482683517416,8.395113392030481,9.69868251082648,9.725795068675376,9.32019649326263,9.979317649832623,9.707301987697871,10.02260057799183,9.031902853188567,9.29147625128028,9.194223434067483,9.68820564672357,9.380054100776919,9.457883913193484,9.215560927759652,7.472002067794075,9.75010370289718,8.953263994498654,10.595548510351355,9.55209753897781,9.81616256019322,9.480852924598633,9.37952324244978,9.284893311681428,9.47928578542946,9.416271962079815,9.720530580883601,9.923749127831972,10.378912302649592,9.121605074466599,9.016372347866055,10.092334928084405,9.69602607878362,9.255686656477197,10.011919011939742,9.627469028731069,9.112289492058295,9.352827723116327,9.5742389893091,8.149462596466156,9.315698366988764,10.824212045200898,9.109068134131572,9.608862480552734,9.395096278930513,10.448261554357737,9.839779430101478,10.014970298484867,10.102821603653316,9.377571050023247,9.572675072183683,10.320872013837368,10.339237608522646,8.185085807183011,8.823370480298983,9.570244661755776,9.47436985867929,9.32397017085496,9.64443225459888,9.65697875272525,9.665205933981037,9.192502082836551,10.609580935456526,9.476309795342667,9.419969566786596,9.936270367042654,10.66036762923749,9.365183444668004,9.478066794153852,10.038163410618596,9.409310387099818,9.894691565981292,9.690804102704151,9.341669613268069,9.147555605702115,10.187990405744118,10.596717178927294,9.804191131809521,9.513759511932196,7.9582077181143704,9.575853680513825,10.344375971845457,10.450537568123883,9.635223269274906,9.739784122269041,9.613217860698098,10.483754423409035,9.834113855500151,9.79875660458782,9.670570967725988,9.732429898641687,9.267985804980809
DNAJA3,11.56380450468458,11.512567988473151,11.839358867403192,11.880110717862193,10.870694045827873,11.582701653616386,12.401388096991765,11.203030653613318,12.10176476609862,12.662946929157926,12.015128331271471,11.411409028368531,11.599466750951391,12.386803535118597,11.075096307374894,11.70671509448368,12.213081799156253,11.582052816142463,11.756929431295088,11.35307134863688,12.23415150176021,11.930223312912272,12.598953123599054,11.992019217276214,11.725587915054623,11.73822723049849,11.74492130681263,11.94773499817458,12.165444148212654,11.560460861044483,11.71632915870937,10.871525994423687,10.893954064720711,12.35924920576874,11.869022171555205,11.628543038693516,11.525584455071515,12.222712783434046,11.312177558160212,12.218081216809065,12.99632445856919,11.997113043458905,12.011329728766787,11.668512347817362,12.508655778768214,11.0904881146778,12.42844267731272,11.627706647548335,11.978882533058355,11.444721795254253,11.338004013732222,11.494696436243446,12.202271188145382,10.718639612277371,12.15905422121469,11.174169007686606,12.501328169977002,13.08771705526146,11.149017009621277,12.039225768876607,11.190875768917815,12.01642858023167,11.840724163769966,11.570104911475065,11.514009503880724,12.051604108438722,12.135277998758362,11.845082668912053,11.61696715255096,11.997060778690802,11.502399035243869,11.797917452894623,11.124910579103592,11.285631529506041,12.707174953169078,12.872900777940005,11.787618611962591,10.89375163949083,11.568168291743234,11.661354223646049,11.116288306385666,11.821474916569752,12.254493166229967,12.0028038292182,11.488372164287524,12.18275113277368,11.843559888960497,11.560943786284986,12.721334598259158,11.946924941442633,12.402705191529629,12.064774017978978,12.09937587291761,11.257032968562948,11.930292160485234,12.099876457367628,11.573645395010919,11.588879622608175,11.524682489937646,11.525723974292669,11.654135833822233,10.783439910505198,11.976789249782708,12.291780133338298,10.94694260077288,11.952389523947607,12.042759639741986,11.876715242978683,12.05347259094414,12.005596913341439,12.253618999886777,11.415830854487467,11.882270955910684,11.744369472202498,11.382102798007589,12.229240131403412,11.105753841711694,12.099225803674706,11.512820957436828,12.327259160356922,11.498472799843679,12.296582948304689,11.543510759693905,10.607141504642097,11.879956791768347,11.709013628277047,11.567232840931798,12.921873340019616,10.879994737442297,11.551969658030991,11.426570543550117,11.511060015836428,11.86629441086826,11.931338043771586,11.460399939511772,11.666468316773546,12.822340862503468,11.999424944897934,12.224781181698376,11.8918423500001,11.198330370926316,11.124718610329408,12.339137375787033,11.893950480318587,11.513708491912261,12.623096725159787,12.070284515675258,12.711477486606064,11.984351041194726,11.736195618729981,12.280662717350143,12.242930559961929,11.737119024844906,11.83468039852491,11.552377214827606,12.072524455011466,12.340168457893451,12.434295006013466,11.807144690780468,11.625197773717527,11.523456204026285,12.090532266456615,11.90356800665979,11.937594844704957,11.52510440440202,11.959498834798158
