Project,Cluster,n_patients,pct_of_total,mean_expr,median_expr,min_expr,max_expr,sd_expr
TCGA-READ,1,148,89.2,11.034,10.821,3.995,17.528,2.789
TCGA-READ,2,18,10.8,11.376,10.758,6.971,16.057,2.226
