gene_id,module
AC004870.2,grey
AC004877.1,yellow
AC004877.2,yellow
AC004882.3,grey
AC004884.2,green
AC004888.1,grey
AC004890.1,lightcyan
AC004890.2,yellow
AC004900.1,grey
AC004908.1,pink
AC004908.2,pink
AC004908.3,yellow
AC004917.1,blue
AC004918.1,pink
AC004918.3,purple
AC004921.1,brown
AC004921.2,blue
AC004923.1,blue
AC004923.4,yellow
AC004925.1,turquoise
AC004938.2,cyan
AC004943.1,grey
AC004943.2,darkgreen
AC004943.3,grey
AC004947.1,magenta
AC004947.2,tan
AC004947.3,grey
AC004948.1,grey
AC004951.2,yellow
AC004951.3,yellow
AC004951.4,yellow
AC004967.1,black
AC004967.2,yellow
AC004969.1,grey
AC004975.1,pink
AC004975.2,blue
AC004980.1,cyan
AC004980.2,pink
AC004980.3,grey
AC004982.1,yellow
AC004982.2,yellow
AC004990.1,grey
AC005005.3,turquoise
AC005009.1,yellow
AC005013.1,grey
AC005014.2,yellow
AC005014.3,turquoise
AC005014.4,pink
AC005019.1,lightcyan
AC005034.4,grey
AC005034.5,black
AC005034.6,grey
AC005041.1,tan
AC005041.2,grey
AC005041.3,yellow
AC005041.4,blue
AC005046.1,magenta
AC005050.1,blue
AC005050.2,turquoise
AC005052.1,yellow
AC005052.2,grey
AC005062.1,grey
AC005064.1,blue
AC005070.3,pink
AC005076.1,cyan
AC005077.4,blue
AC005081.1,greenyellow
AC005082.1,turquoise
AC005083.1,grey
AC005089.1,grey
AC005099.1,salmon
AC005100.2,grey
AC005104.1,pink
AC005144.1,turquoise
AC005154.1,pink
AC005154.2,yellow
AC005154.4,pink
AC005162.1,turquoise
AC005162.2,grey
AC005165.1,magenta
AC005165.2,salmon
AC005180.1,grey
AC005180.2,magenta
AC005183.1,grey
AC005197.1,grey
AC005208.1,grey
AC005220.1,grey
AC005224.2,brown
AC005224.3,brown
AC005225.2,grey
AC005225.3,grey
AC005225.4,blue
AC005229.4,cyan
AC005252.3,midnightblue
AC005253.1,yellow
AC005261.1,grey
AC005261.2,ivory
AC005261.5,red
AC005274.1,grey
AC005280.1,grey
AC005281.1,grey
AC005288.1,thistle1
AC005291.1,greenyellow
AC005291.2,greenyellow
AC005301.2,grey
AC005324.2,grey
AC005324.4,yellow
AC005329.1,yellow
AC005329.3,pink
AC005330.1,grey
AC005332.1,yellow
AC005332.2,pink
AC005332.3,paleturquoise
AC005332.4,grey
AC005332.5,red
AC005332.6,paleturquoise
AC005332.7,grey
AC005336.1,green
AC005336.2,grey
AC005336.3,grey
AC005343.4,grey
AC005343.7,grey
AC005355.1,grey
AC005383.1,green
AC005387.1,yellow
AC005387.2,yellow
AC005392.2,brown
AC005393.1,grey
AC005394.2,grey
AC005400.1,grey
AC005476.2,cyan
AC005479.1,grey
AC005479.2,grey
AC005481.1,grey
AC005487.1,grey
AC005498.1,grey
AC005498.2,grey
AC005498.3,grey
AC005519.1,pink
AC005520.2,purple
AC005520.5,yellow
AC005523.1,red
AC005532.1,turquoise
AC005534.1,yellow
AC005537.1,midnightblue
AC005544.1,blue
AC005546.1,pink
AC005550.2,magenta
AC005562.1,grey
AC005586.1,grey
AC005592.1,grey
AC005606.2,yellow
AC005609.5,grey
AC005618.1,maroon
AC005618.4,maroon
AC005622.1,blue
AC005632.6,grey
AC005670.1,grey
AC005670.3,lightcyan
AC005674.1,yellow
AC005682.1,turquoise
AC005695.1,grey
AC005696.1,black
AC005696.3,grey
AC005696.4,royalblue
AC005697.2,grey
AC005699.1,grey
AC005703.5,grey
AC005703.6,grey
AC005722.3,grey
AC005725.1,greenyellow
AC005726.2,pink
AC005730.2,grey
AC005730.3,grey
AC005740.4,green
AC005740.5,yellow
AC005746.1,pink
AC005746.2,magenta
AC005753.1,yellow
AC005753.2,yellow
AC005753.3,green
AC005757.1,pink
AC005759.1,purple
AC005775.1,cyan
AC005776.2,yellow
AC005785.1,yellow
AC005785.2,yellow
AC005790.1,grey
AC005796.1,grey
AC005803.1,pink
AC005821.1,grey
AC005821.2,grey
AC005828.1,pink
AC005828.4,paleturquoise
AC005828.5,grey
AC005828.6,pink
AC005829.1,cyan
AC005829.2,grey
AC005831.1,blue
AC005833.1,grey
AC005833.2,brown
AC005837.1,cyan
AC005838.2,pink
AC005839.1,paleturquoise
AC005840.1,salmon
AC005840.2,grey
AC005840.3,grey
AC005840.4,mediumpurple2
AC005856.1,paleturquoise
AC005863.1,blue
AC005865.1,grey
AC005865.2,blue
AC005899.1,thistle1
AC005899.5,grey
AC005899.6,yellow
AC005899.7,grey
AC005899.8,grey
AC005906.2,magenta
AC005906.3,grey
AC005911.1,cyan
AC005912.1,lightcyan
AC005914.1,grey
AC005920.1,plum1
AC005920.3,cyan
AC005921.3,grey
AC005962.1,grey
AC005962.2,grey
AC005972.3,greenyellow
AC005993.1,midnightblue
AC006001.2,black
AC006008.1,purple
AC006017.1,pink
AC006026.3,blue
AC006033.1,grey
AC006033.2,brown
AC006042.1,pink
AC006042.2,grey
AC006042.3,grey
AC006058.1,turquoise
AC006058.3,turquoise
AC006058.4,turquoise
AC006059.1,pink
AC006059.4,magenta
AC006059.5,grey
AC006062.1,magenta
AC006064.2,mediumpurple2
AC006064.3,grey
AC006077.2,red
AC006111.2,yellow
AC006111.3,yellow
AC006112.1,blue
AC006115.2,grey
AC006116.1,ivory
AC006116.2,grey
AC006116.4,ivory
AC006116.6,green
AC006116.7,grey
AC006116.9,ivory
AC006128.1,yellow
AC006130.3,blue
AC006141.1,grey
AC006144.2,grey
AC006148.1,grey
AC006160.1,red
AC006197.2,grey
AC006206.2,midnightblue
AC006207.1,grey
AC006213.1,thistle2
AC006213.2,thistle2
AC006213.3,thistle2
AC006213.4,thistle2
AC006213.5,thistle2
AC006213.6,thistle2
AC006213.7,thistle2
AC006230.1,turquoise
AC006238.1,grey
AC006238.2,lightgreen
AC006252.1,cyan
AC006254.1,yellow
AC006262.1,turquoise
AC006262.2,darkslateblue
AC006262.3,turquoise
AC006262.4,turquoise
AC006270.1,grey
AC006273.1,yellow
AC006277.1,yellow
AC006296.3,blue
AC006299.1,grey
AC006305.1,turquoise
AC006329.1,blue
AC006330.1,yellow
AC006357.1,grey
AC006369.1,brown
AC006372.1,royalblue
AC006372.2,royalblue
AC006372.3,royalblue
AC006378.1,grey
AC006398.1,turquoise
AC006427.2,grey
AC006435.2,yellow
AC006441.1,pink
AC006441.4,magenta
AC006445.2,pink
AC006449.1,pink
AC006449.2,thistle1
AC006449.5,grey
AC006449.6,thistle1
AC006452.1,pink
AC006460.1,brown
AC006460.2,turquoise
AC006480.2,yellow
AC006483.1,green
AC006486.2,grey
AC006487.1,magenta
AC006487.2,grey
AC006504.1,grey
AC006504.3,grey
AC006504.5,grey
AC006504.7,grey
AC006511.3,salmon
AC006511.6,grey
AC006517.2,grey
AC006518.1,pink
AC006525.1,midnightblue
AC006538.1,grey
AC006538.4,grey
AC006539.2,pink
AC006547.1,yellow
AC006557.1,yellow
AC006557.5,grey
AC006557.6,grey
AC006566.1,grey
AC006566.2,darkgrey
AC006581.2,royalblue
AC006946.2,turquoise
AC006946.3,turquoise
AC006963.1,magenta
AC006970.1,grey
AC006971.1,purple
AC006974.2,brown
AC006978.1,blue
AC006978.2,grey
AC006994.1,turquoise
AC007000.1,yellow
AC007001.1,grey
AC007014.1,white
AC007014.2,green
AC007036.1,brown
AC007036.2,grey
AC007036.5,blue
AC007038.1,yellow
AC007040.2,black
AC007040.3,turquoise
AC007066.2,grey
AC007066.3,cyan
AC007098.1,turquoise
AC007114.1,cyan
AC007114.2,black
AC007128.1,midnightblue
AC007128.2,midnightblue
AC007182.1,turquoise
AC007182.2,salmon
AC007191.1,tan
AC007216.3,yellow
AC007220.1,yellow
AC007224.2,yellow
AC007225.1,turquoise
AC007240.1,black
AC007240.3,grey
AC007255.1,blue
AC007262.2,green
AC007277.1,grey
AC007278.1,brown
AC007279.1,yellow
AC007285.1,red
AC007292.1,purple
AC007298.2,grey
AC007317.1,grey
AC007318.1,grey
AC007319.1,blue
AC007326.1,turquoise
AC007336.1,brown
AC007336.2,brown
AC007342.3,grey
AC007342.4,grey
AC007342.5,grey
AC007342.6,pink
AC007342.7,grey
AC007342.8,grey
AC007342.9,grey
AC007362.1,purple
AC007365.1,grey
AC007368.1,turquoise
AC007376.2,brown
AC007383.1,yellow
AC007384.1,brown
AC007387.1,grey
AC007387.2,grey
AC007389.1,magenta
AC007389.3,magenta
AC007390.1,pink
AC007391.2,grey
AC007391.3,turquoise
AC007405.1,blue
AC007405.2,grey
AC007405.3,blue
AC007405.4,grey
AC007406.3,magenta
AC007406.4,pink
AC007423.1,darkgrey
AC007431.1,grey
