Gene,Gene_Cluster,Family
HSPD1,1,HSP60
HSPE1,2,HSP10
CCT6A,2,HSP60
HSPA9,1,HSP70
GRPEL1,2,HSP70
GRPEL2,3,HSP70
DNAJA3,2,HSP40
HSP90AA1,1,HSP90
HSP90AB1,1,HSP90
TRAP1,2,HSP90
DNAJC19,2,HSP40
HSCB,3,HSP40
SDHAF1,3,HSP40
CLPX,2,Other
HSPB1,1,sHSP
HSPB8,4,sHSP
HSPB7,5,sHSP
CRYAB,4,sHSP
