project_id,TCGA-ACC,TCGA-BLCA,TCGA-BRCA,TCGA-CESC,TCGA-CHOL,TCGA-COAD,TCGA-DLBC,TCGA-ESCA,TCGA-GBM,TCGA-HNSC,TCGA-KICH,TCGA-KIRC,TCGA-KIRP,TCGA-LGG,TCGA-LIHC,TCGA-LUAD,TCGA-LUSC,TCGA-MESO,TCGA-OV,TCGA-PAAD,TCGA-PCPG,TCGA-PRAD,TCGA-READ,TCGA-SARC,TCGA-SKCM,TCGA-STAD,TCGA-TGCT,TCGA-THCA,TCGA-THYM,TCGA-UCEC,TCGA-UCS,TCGA-UVM
TCGA-ACC,5.860827432676723,2.397313737052415,2.5390063006707195,2.48951269826295,1.65029973517177,1.3422415449017793,0.8349977609768695,1.9854964565234097,1.565951669919306,2.3134536809898942,1.7368966741369567,1.8083451722808146,1.7728405141312242,2.078538101608273,2.2749967288776434,2.33686206678275,2.3798753992654267,2.036603963153748,2.4767212080636414,1.8817862869353918,2.0550840136905526,1.5455825293643493,1.4026733311043733,2.371912542973321,1.596267268683751,1.7048037321865248,0.9324678360649941,1.5022202744517035,0.6645339436110973,2.2058298428786447,2.173423963165418,0.3868487251623298
TCGA-BLCA,2.397313737052415,5.860827432676723,3.9753732840498515,3.8941445460143562,2.5361734458640472,2.7065705146606858,2.2909976753195944,3.001347431499574,2.5066783354238744,3.837920528722761,2.5405058822809123,3.0855819835884373,2.823603574693434,3.033415406289755,3.511981743983775,3.7207600111578434,3.707706570538598,3.305005916344562,3.8207694794631277,3.450064498174696,2.906504750069959,3.1325668744311614,3.026866617609573,3.2188914878226065,2.934226244204181,3.2306004900334333,1.743146459043115,2.5381200639166277,1.6272508317323497,3.9813744972491216,3.3217975319962205,1.3694345161334684
TCGA-BRCA,2.5390063006707195,3.9753732840498515,5.860827432676723,3.5128972969389083,2.6887060339920787,2.6677436279347586,1.8847148787339392,2.63992464884332,2.444245809639572,3.2995257244921694,2.7314368343122624,3.1895752157933575,2.946487149261876,3.095867678130236,3.2871841923004004,3.919803973046595,3.4595554981339918,3.1309423197481685,3.5609046924172243,3.4302200098688815,2.9242455903666804,2.609538061564819,2.741087547405687,2.859437530400899,3.0536592968208818,2.762248768880845,1.6396206579503767,2.4618746771560827,1.6568548891200514,3.957592898508971,3.0628869602520283,1.468153619964034
TCGA-CESC,2.48951269826295,3.8941445460143562,3.5128972969389083,5.860827432676723,2.2506821936412216,2.1614552061458,2.037391836736149,3.2510706551417687,2.4694458309692773,4.112920816877989,2.3538718549744995,2.8236860241603465,2.6000696059001873,2.8867076741747164,3.333714490513032,3.2831006481675002,3.682690945659798,3.084912156237677,3.627944505440256,3.022055127504855,2.809588483228424,2.4479270006141682,2.4087917918272987,3.392099221880015,2.557593091329197,2.8724799741106524,1.454182349573962,2.2883796173291233,1.6164794875387622,3.513328483548263,3.231622856808381,0.7336492178100649
TCGA-CHOL,1.65029973517177,2.5361734458640472,2.6887060339920787,2.2506821936412216,5.860827432676723,1.8577032660137016,0.8686997088524713,2.0813117957913687,1.5375737891080723,2.3772914371857734,2.22551706983544,2.396045198401127,1.988313500618677,2.0180576744814136,2.5253082571199585,2.59881151690274,2.506028615545796,2.2138998542287345,2.5314965778737393,2.339868480792411,2.1197038337388174,1.5126036878537192,1.6749407643271388,1.9886729844220996,2.0142175154826742,1.7006953395362157,0.9436055558828196,1.908712296106899,0.9946747912125007,2.434617841694275,1.8572720710103683,0.640695779768433
TCGA-COAD,1.3422415449017793,2.7065705146606858,2.6677436279347586,2.1614552061458,1.8577032660137016,5.860827432676723,0.47996009226849257,2.571742293373162,1.847000083472575,2.3185903972890163,1.5676877361950936,2.0183447311088485,1.470691252013606,1.676946424129043,2.035855598022817,3.290751832216566,2.8281741093844044,1.7815450280300578,2.7252888384833955,2.4972485663607427,1.4586023693989016,1.7655474615358955,3.775281047958886,2.0378326344867945,2.346429615658418,2.8441174461519556,0.6566989784737824,1.0214969939096372,0.132433482216328,2.712799348204287,1.9502717062045334,1.1215869416553303
TCGA-DLBC,0.8349977609768695,2.2909976753195944,1.8847148787339392,2.037391836736149,0.8686997088524713,0.47996009226849257,5.860827432676723,0.8394787182509891,0.9558191178530597,2.0040781588722454,1.1929292759520456,1.9560051068594482,2.1525821411092516,2.10597152578624,1.842327967597079,1.445003800466683,1.2558950457495328,2.2539528768104913,1.5957877036341186,1.7519783107591165,2.137299161986284,2.5587682215381893,1.152320780616873,1.757987002769407,1.4168648809426907,1.4889511467334575,1.2375707073914448,2.3289679027532304,2.0508558590247166,2.3365353341203683,1.926273910907066,0.5056724189746191
TCGA-ESCA,1.9854964565234097,3.001347431499574,2.63992464884332,3.2510706551417687,2.0813117957913687,2.571742293373162,0.8394787182509891,5.860827432676723,2.0847401350852315,3.0366357692621793,1.708764830112882,1.959326502490188,1.5215689851146115,1.8097011730733632,2.410586030785312,3.033357981094455,3.5360535746951705,1.9937121992544982,2.8971143603244665,2.7015857915820445,1.821653869921164,1.7711954159751864,2.5179169091525737,2.949222304539638,1.9570552616604506,3.444198456721775,0.9926352190706895,1.126388529612809,0.32315178383985277,2.507665191615982,2.3362445231297864,0.4553007114629297
TCGA-GBM,1.565951669919306,2.5066783354238744,2.444245809639572,2.4694458309692773,1.5375737891080723,1.847000083472575,0.9558191178530597,2.0847401350852315,5.860827432676723,2.1589413798569654,1.6334058518011094,2.275051838743082,1.7162547572430764,2.483133203938979,2.4514608760986647,2.778878168263303,2.7888776278270737,1.995561179234199,2.9748571499451977,2.0809913811506306,1.6153692977134266,1.3864949442570627,1.909771256594492,2.039090990278143,1.9355867220400347,1.9480345572819853,0.842796290114256,1.295925315180411,0.39744198874703063,2.402519156500836,2.3277075570946537,0.30787603890228876
TCGA-HNSC,2.3134536809898942,3.837920528722761,3.2995257244921694,4.112920816877989,2.3772914371857734,2.3185903972890163,2.0040781588722454,3.0366357692621793,2.1589413798569654,5.860827432676723,2.14404324871726,2.762520171786481,2.608147096938849,2.5494788024697557,3.226957327925935,3.1158767749567238,3.51435940016205,3.0942917237102128,3.321258186444368,3.1537902998239344,2.7313004470193594,2.720866765328449,2.4496263523827464,3.0882767212550744,2.57876255108624,2.7075344201985887,1.4179258872978648,2.377857340015,1.634399327373714,3.34137896899019,2.9872129033788224,0.9565680853855918
