gene1,gene2,mean_correlation,n_projects
DNAJC15,DNAJB2,0.04996919756612229,32
DNAJC15,DNAJB6,0.026099205219690717,32
DNAJC15,DNAJC19,0.06330103175994323,32
DNAJC15,DNLZ,0.025784550946124196,32
DNAJC15,GRPEL1,0.019182428043599268,32
DNAJC15,GRPEL2,-0.04800318512673478,32
DNAJC15,HSCB,0.10887642639128381,32
DNAJC15,HSP90AA1,-0.07415942381654761,32
DNAJC15,HSP90AB1,-0.13713819378134978,32
DNAJC15,HSPA9,-0.12875065937655047,32
DNAJC15,HSPB1,-0.010915042434494595,32
DNAJC15,HSPB7,0.005547427910827999,32
DNAJC15,HSPB8,0.039343378564880946,32
DNAJC15,HSPD1,-0.1644507717870042,32
DNAJC15,HSPE1,0.0582467169092338,32
DNAJC15,SDHAF1,0.058457205696368586,32
DNAJC15,TRAP1,-0.2049507906029596,32
DNAJC19,CCT6A,-0.12031488030691544,32
DNAJC19,CLPX,-0.05787996624885349,32
DNAJC19,CRYAB,-0.040303934774612575,32
DNAJC19,DNAJA3,-0.051879354783736106,32
DNAJC19,DNAJB2,0.040272734471622926,32
DNAJC19,DNAJB6,-0.04554654617062347,32
DNAJC19,DNAJC15,0.06330103175994323,32
DNAJC19,DNLZ,0.0636662483258474,32
DNAJC19,GRPEL1,-0.042546817689514536,32
DNAJC19,GRPEL2,0.05970865423769437,32
DNAJC19,HSCB,0.20807586321088567,32
DNAJC19,HSP90AA1,-0.15418096361604275,32
DNAJC19,HSP90AB1,-0.11256058277466328,32
DNAJC19,HSPA9,-0.07476584529185022,32
DNAJC19,HSPB1,0.03889060173424597,32
DNAJC19,HSPB7,-0.06454586375747036,32
DNAJC19,HSPB8,-0.09535695780263984,32
DNAJC19,HSPD1,-0.12847785099035186,32
DNAJC19,HSPE1,0.2040899299721122,32
DNAJC19,SDHAF1,0.18281974629950978,32
DNAJC19,TRAP1,-0.18975123048303474,32
DNLZ,CCT6A,-0.06628976464070087,32
DNLZ,CLPX,-0.07697593520131366,32
DNLZ,CRYAB,-0.036245778928915624,32
DNLZ,DNAJA3,-0.006764806026013416,32
DNLZ,DNAJB2,0.1939706564598466,32
DNLZ,DNAJB6,0.030434088068804,32
DNLZ,DNAJC15,0.025784550946124196,32
DNLZ,DNAJC19,0.0636662483258474,32
DNLZ,GRPEL1,-0.007641272978794241,32
DNLZ,GRPEL2,-0.02321794334236032,32
DNLZ,HSCB,0.09533168761906333,32
DNLZ,HSP90AA1,-0.12637505925993991,32
DNLZ,HSP90AB1,-0.07145711903977908,32
DNLZ,HSPA9,-0.1731547189603226,32
DNLZ,HSPB1,0.06811711279663228,32
DNLZ,HSPB7,-0.006689535412988516,32
DNLZ,HSPB8,-0.0580217256662008,32
DNLZ,HSPD1,-0.13422989836513544,32
DNLZ,HSPE1,0.10891469316633329,32
DNLZ,SDHAF1,0.22210398222512523,32
DNLZ,TRAP1,-0.03557678623709747,32
GRPEL1,CCT6A,-0.03234078265708284,32
GRPEL1,CLPX,-0.0493379674718168,32
GRPEL1,CRYAB,-0.13443788934061576,32
GRPEL1,DNAJA3,0.04489737914734706,32
GRPEL1,DNAJB2,-0.008746985980356725,32
GRPEL1,DNAJB6,-0.17037490500750826,32
GRPEL1,DNAJC15,0.019182428043599268,32
GRPEL1,DNAJC19,-0.042546817689514536,32
GRPEL1,DNLZ,-0.007641272978794241,32
GRPEL1,GRPEL2,-0.013777322004625654,32
GRPEL1,HSCB,0.06907326767246709,32
GRPEL1,HSP90AA1,-0.0508911791738917,32
GRPEL1,HSP90AB1,-0.07706217712595824,32
GRPEL1,HSPA9,0.14052373140617166,32
GRPEL1,HSPB1,-0.013784033036002586,32
GRPEL1,HSPB7,-0.11617835621213668,32
GRPEL1,HSPB8,-0.08615686144485603,32
GRPEL1,HSPD1,0.08553292924257562,32
GRPEL1,HSPE1,0.10995924304314512,32
GRPEL1,SDHAF1,0.0852816570799105,32
GRPEL1,TRAP1,0.018424052643737837,32
GRPEL2,CCT6A,0.09412921065624903,32
GRPEL2,CLPX,0.2489179358051274,32
GRPEL2,CRYAB,-0.12399634992124278,32
GRPEL2,DNAJA3,-0.028037507887083313,32
GRPEL2,DNAJB2,-0.20038173763232378,32
GRPEL2,DNAJB6,0.08629827698790393,32
GRPEL2,DNAJC15,-0.04800318512673478,32
GRPEL2,DNAJC19,0.05970865423769437,32
GRPEL2,DNLZ,-0.02321794334236032,32
GRPEL2,GRPEL1,-0.013777322004625654,32
GRPEL2,HSCB,-0.03198058601070759,32
GRPEL2,HSP90AA1,0.061594841781694165,32
GRPEL2,HSP90AB1,-0.04440024808761421,32
GRPEL2,HSPA9,0.2979188339754293,32
GRPEL2,HSPB1,-0.24186639536482984,32
GRPEL2,HSPB7,-0.08811974756511505,32
GRPEL2,HSPB8,-0.08730701051122053,32
GRPEL2,HSPD1,0.021380208167609032,32
GRPEL2,HSPE1,-0.127669730497338,32
GRPEL2,SDHAF1,-0.16063036748427778,32
GRPEL2,TRAP1,-0.07630419412555241,32
HSCB,CCT6A,-0.09626081445226996,32
HSCB,CLPX,-0.14135406484906984,32
HSCB,CRYAB,0.006367799951452326,32
HSCB,DNAJA3,-0.24958211265653,32
HSCB,DNAJB2,0.2349862414448805,32
HSCB,DNAJB6,-0.08472383529347899,32
HSCB,DNAJC15,0.10887642639128381,32
HSCB,DNAJC19,0.20807586321088567,32
HSCB,DNLZ,0.09533168761906333,32
HSCB,GRPEL1,0.06907326767246709,32
HSCB,GRPEL2,-0.03198058601070759,32
HSCB,HSP90AA1,-0.1954422946459398,32
HSCB,HSP90AB1,-0.19139023349915774,32
HSCB,HSPA9,-0.2829133535949177,32
HSCB,HSPB1,0.16240702629604767,32
HSCB,HSPB7,-0.04305566046613259,32
HSCB,HSPB8,-0.0823274998773082,32
HSCB,HSPD1,-0.17607668261653908,32
HSCB,HSPE1,0.2726949972944559,32
HSCB,SDHAF1,0.3624651568470629,32
HSCB,TRAP1,-0.27180064221805933,32
HSP90AA1,CCT6A,0.20723222037037928,32
HSP90AA1,CLPX,0.08485839556129059,32
HSP90AA1,CRYAB,-0.16662943698245286,32
HSP90AA1,DNAJA3,-0.00951230210864578,32
HSP90AA1,DNAJB2,-0.18857359106384053,32
HSP90AA1,DNAJB6,0.05738434259885232,32
HSP90AA1,DNAJC15,-0.07415942381654761,32
HSP90AA1,DNAJC19,-0.15418096361604275,32
HSP90AA1,DNLZ,-0.12637505925993991,32
HSP90AA1,GRPEL1,-0.0508911791738917,32
HSP90AA1,GRPEL2,0.061594841781694165,32
HSP90AA1,HSCB,-0.1954422946459398,32
HSP90AA1,HSP90AB1,0.2535086785360759,32
HSP90AA1,HSPA9,0.1512142325604652,32
HSP90AA1,HSPB1,-0.13025210677242066,32
HSP90AA1,HSPB7,-0.09918920872023018,32
HSP90AA1,HSPB8,-0.1470555515567863,32
HSP90AA1,HSPD1,0.2759541415907967,32
HSP90AA1,HSPE1,-0.050871374401874454,32
HSP90AA1,SDHAF1,-0.29325955714202445,32
HSP90AA1,TRAP1,-0.04965203346170577,32
HSP90AB1,CCT6A,0.24048296343586253,32
HSP90AB1,CLPX,0.093879434217333,32
HSP90AB1,CRYAB,-0.1493963263552919,32
HSP90AB1,DNAJA3,0.07006123907755843,32
HSP90AB1,DNAJB2,-0.08131734636731906,32
HSP90AB1,DNAJB6,0.00821824068854582,32
HSP90AB1,DNAJC15,-0.13713819378134978,32
HSP90AB1,DNAJC19,-0.11256058277466328,32
HSP90AB1,DNLZ,-0.07145711903977908,32
HSP90AB1,GRPEL1,-0.07706217712595824,32
HSP90AB1,GRPEL2,-0.04440024808761421,32
HSP90AB1,HSCB,-0.19139023349915774,32
HSP90AB1,HSP90AA1,0.2535086785360759,32
HSP90AB1,HSPA9,0.10517599911537277,32
HSP90AB1,HSPB1,-0.16198887239060164,32
HSP90AB1,HSPB7,-0.13427315671229823,32
HSP90AB1,HSPB8,-0.1848031624847978,32
HSP90AB1,HSPD1,0.2658130981127109,32
HSP90AB1,HSPE1,-0.1646952194926791,32
HSP90AB1,SDHAF1,-0.13577410563927658,32
HSP90AB1,TRAP1,0.19630085753421722,32
HSPA9,CCT6A,0.14112198550721333,32
HSPA9,CLPX,0.22382326289776402,32
HSPA9,CRYAB,-0.22755147934147005,32
HSPA9,DNAJA3,0.2606149263191908,32
HSPA9,DNAJB2,-0.30322543237217053,32
HSPA9,DNAJB6,-0.07436724998825148,32
HSPA9,DNAJC15,-0.12875065937655047,32
HSPA9,DNAJC19,-0.07476584529185022,32
HSPA9,DNLZ,-0.1731547189603226,32
HSPA9,GRPEL1,0.14052373140617166,32
HSPA9,GRPEL2,0.2979188339754293,32
HSPA9,HSCB,-0.2829133535949177,32
HSPA9,HSP90AA1,0.1512142325604652,32
HSPA9,HSP90AB1,0.10517599911537277,32
HSPA9,HSPB1,-0.30495477354006306,32
HSPA9,HSPB7,-0.14578474387949844,32
HSPA9,HSPB8,-0.08231962741476731,32
HSPA9,HSPD1,0.31499456961081423,32
HSPA9,HSPE1,-0.17717976378740125,32
HSPA9,SDHAF1,-0.31191788387173375,32
HSPA9,TRAP1,0.2210851786599457,32
HSPB1,CCT6A,-0.24422513846899904,32
HSPB1,CLPX,-0.4647571372891142,32
HSPB1,CRYAB,0.24652968533418457,32
HSPB1,DNAJA3,-0.21881867244591086,32
HSPB1,DNAJB2,0.35932220346923743,32
HSPB1,DNAJB6,0.04189045002172446,32
HSPB1,DNAJC15,-0.010915042434494595,32
HSPB1,DNAJC19,0.03889060173424597,32
HSPB1,DNLZ,0.06811711279663228,32
HSPB1,GRPEL1,-0.013784033036002586,32
HSPB1,GRPEL2,-0.24186639536482984,32
HSPB1,HSCB,0.16240702629604767,32
HSPB1,HSP90AA1,-0.13025210677242066,32
HSPB1,HSP90AB1,-0.16198887239060164,32
HSPB1,HSPA9,-0.30495477354006306,32
HSPB1,HSPB7,0.13203105617875754,32
HSPB1,HSPB8,0.18741857359146158,32
HSPB1,HSPD1,-0.3286967046926346,32
HSPB1,HSPE1,0.22986398244007716,32
HSPB1,SDHAF1,0.2351016129312267,32
HSPB1,TRAP1,-0.2054850863872693,32
HSPB7,CCT6A,-0.2098663127411754,32
HSPB7,CLPX,-0.029815951099988344,32
HSPB7,CRYAB,0.35395661350371477,32
HSPB7,DNAJA3,-0.07355507697062605,32
HSPB7,DNAJB2,0.13810031196610895,32
HSPB7,DNAJB6,0.075962104552605,32
HSPB7,DNAJC15,0.005547427910827999,32
HSPB7,DNAJC19,-0.06454586375747036,32
HSPB7,DNLZ,-0.006689535412988516,32
HSPB7,GRPEL1,-0.11617835621213668,32
HSPB7,GRPEL2,-0.08811974756511505,32
HSPB7,HSCB,-0.04305566046613259,32
HSPB7,HSP90AA1,-0.09918920872023018,32
HSPB7,HSP90AB1,-0.13427315671229823,32
HSPB7,HSPA9,-0.14578474387949844,32
HSPB7,HSPB1,0.13203105617875754,32
HSPB7,HSPB8,0.37305423293798046,32
HSPB7,HSPD1,-0.29129939289961626,32
HSPB7,HSPE1,-0.23035987116930254,32
HSPB7,SDHAF1,0.001297080188868012,32
HSPB7,TRAP1,-0.09065430953262933,32
HSPB8,CCT6A,-0.20847926662065988,32
HSPB8,CLPX,-0.03281287993974317,32
HSPB8,CRYAB,0.39649008809016734,32
HSPB8,DNAJA3,-0.10993533533902866,32
HSPB8,DNAJB2,0.08465962815254642,32
HSPB8,DNAJB6,0.08284958607719496,32
HSPB8,DNAJC15,0.039343378564880946,32
HSPB8,DNAJC19,-0.09535695780263984,32
HSPB8,DNLZ,-0.0580217256662008,32
HSPB8,GRPEL1,-0.08615686144485603,32
HSPB8,GRPEL2,-0.08730701051122053,32
HSPB8,HSCB,-0.0823274998773082,32
HSPB8,HSP90AA1,-0.1470555515567863,32
HSPB8,HSP90AB1,-0.1848031624847978,32
HSPB8,HSPA9,-0.08231962741476731,32
HSPB8,HSPB1,0.18741857359146158,32
HSPB8,HSPB7,0.37305423293798046,32
HSPB8,HSPD1,-0.26338099796375947,32
HSPB8,HSPE1,-0.1781354172722024,32
HSPB8,SDHAF1,-0.07505160267400957,32
HSPB8,TRAP1,-0.10777695156247644,32
HSPD1,CCT6A,0.3104997019595519,32
HSPD1,CLPX,0.08346682581242285,32
HSPD1,CRYAB,-0.25396866013148794,32
HSPD1,DNAJA3,0.10897929235233372,32
HSPD1,DNAJB2,-0.29855939976348816,32
HSPD1,DNAJB6,-0.16417223487324148,32
HSPD1,DNAJC15,-0.1644507717870042,32
HSPD1,DNAJC19,-0.12847785099035186,32
HSPD1,DNLZ,-0.13422989836513544,32
HSPD1,GRPEL1,0.08553292924257562,32
HSPD1,GRPEL2,0.021380208167609032,32
HSPD1,HSCB,-0.17607668261653908,32
HSPD1,HSP90AA1,0.2759541415907967,32
HSPD1,HSP90AB1,0.2658130981127109,32
HSPD1,HSPA9,0.31499456961081423,32
HSPD1,HSPB1,-0.3286967046926346,32
HSPD1,HSPB7,-0.29129939289961626,32
HSPD1,HSPB8,-0.26338099796375947,32
HSPD1,HSPE1,0.2867500956327506,32
HSPD1,SDHAF1,-0.30686030498104366,32
HSPD1,TRAP1,0.15396320083021023,32
